straight_rpm,MASS,THRUST_COEF,DRAG_COEF,LINEAR_SURGE_DAMP,TURN_COEF,RUDDER_FORCE_SCALE,LINEAR_YAW_DAMP,surge_score,surge_err_peak_u_body_mps,surge_err_initial_accel_0_2_after_motion_mps2,surge_err_initial_accel_0_5_after_motion_mps2,surge_err_distance_at_10s_after_motion_m,surge_err_time_to_50pct_peak_u_after_motion_s,surge_err_time_to_90pct_peak_u_after_motion_s,surge_rpm_start_idx,surge_rpm_start_t_sec,surge_motion_start_idx,surge_motion_start_t_sec,surge_motion_lag_s,surge_u_body_at_2s_after_motion_mps,surge_u_body_at_5s_after_motion_mps,surge_u_body_at_10s_after_motion_mps,surge_distance_at_5s_after_motion_m,surge_distance_at_10s_after_motion_m,surge_initial_accel_0_2_after_motion_mps2,surge_initial_accel_0_5_after_motion_mps2,surge_peak_u_body_mps,surge_time_to_50pct_peak_u_after_motion_s,surge_time_to_90pct_peak_u_after_motion_s,surge_u_body_at_2s_after_rpm_mps,surge_u_body_at_5s_after_rpm_mps,surge_u_body_at_10s_after_rpm_mps,surge_distance_at_5s_after_rpm_m,surge_distance_at_10s_after_rpm_m
15.0,64.55,0.05,1.25,2.0,3.0,0.1,5.0,8.695503576051067,0.14027172619152478,0.5357706808276992,0.14591477337945136,0.3759981373813339,5.11891427198924,1.253636055191535,0,0.0,3,0.30000000000000004,0.30000000000000004,0.30564340496571746,0.6506229540483845,1.1423770404107538,1.8059894235763854,6.329512407713805,0.12639041570419102,0.11973247568918167,2.6269910152727167,12.1,30.8,0.2689206065313575,0.6178967699940597,1.115585687715006,1.625632985760784,6.000740881194618
14.0,64.55,0.05,1.5,1.5,3.0,0.1,5.0,8.715763290984182,0.04395309667747501,0.5942334501129022,0.003247746026150139,0.44049581607643445,5.270622890303024,1.2829040559083085,0,0.0,4,0.4,0.4,0.2780779667677333,0.5817688006154691,1.0206363527167066,1.635782330258562,5.675285422146526,0.11047342509629599,0.10482571579651506,2.405089368038248,12.4,31.200000000000003,0.23514780513362982,0.5431012476093797,0.9884312684944639,1.424624107369198,5.287289884654113
14.0,64.55,0.06,1.25,2.0,3.0,0.1,5.0,8.721280491747649,0.18878272343371583,0.5147373262665194,0.19774378266443768,0.3478219653038372,5.068344732551313,1.253636055191535,0,0.0,3,0.30000000000000004,0.30000000000000004,0.31949253877747785,0.6800496770348401,1.1937625615913223,1.8877650190273758,6.6153151295485975,0.13211692697103858,0.12514790076124688,2.73875205518098,12.0,30.8,0.28110713476949384,0.6458499942491787,1.165786192262827,1.6992513364921311,6.271755501896615
16.0,64.55,0.05,1.25,2.0,3.0,0.1,5.0,8.86811720829772,0.2869314652277044,0.47184892475365675,0.3034023718387903,0.2903945415065794,5.068344732551313,1.2463190550123417,0,0.0,3,0.30000000000000004,0.30000000000000004,0.3477321098998165,0.74003884225669,1.298441745427819,2.0544973666747635,7.197825556588642,0.14379366230900428,0.1361877832669612,2.9648699680703,12.0,30.7,0.30595687487580686,0.7028370759133653,1.2680566690503339,1.8493543714699305,6.8241407156461324
15.0,64.55,0.06,1.25,2.0,3.0,0.1,5.0,8.912848458229746,0.35241653407968576,0.44298410753834494,0.3744946073699541,0.2517640079961099,5.017775193113385,1.2390020548331486,0,0.0,3,0.30000000000000004,0.30000000000000004,0.36673815380257513,0.780402368033848,1.3688182073225736,2.1667016285435032,7.589671247793805,0.15165235648535097,0.14361595293556711,3.1157363655764816,11.9,30.6,0.32268174017823315,0.7411820054589536,1.3368177593955373,1.9503696546108322,7.195733137531118
14.0,64.55,0.07,1.25,2.0,3.0,0.1,5.0,8.944913092874293,0.37290308927764904,0.43391270265661724,0.3968338743580868,0.23962672476104768,5.017775193113385,1.2390020548331486,0,0.0,3,0.30000000000000004,0.30000000000000004,0.37271125595525645,0.7930857559435025,1.3909231383335598,2.201962596773044,7.7127847983044875,0.15412212430627795,0.14595010186505739,3.16293388455618,11.9,30.6,0.3279379733301939,0.7532313156410269,1.358415975636716,1.982114722478681,7.312485243374355
15.0,64.55,0.05,1.5,1.5,3.0,0.1,5.0,8.960852507333733,0.18694314540647602,0.5334462030386402,0.15723316243535249,0.3690070603791665,5.270622890303024,1.275587055729115,0,0.0,3,0.30000000000000004,0.30000000000000004,0.3069426514316289,0.6565819883384347,1.1610993474825153,1.8172052037349402,6.4004258316622575,0.127023274728645,0.12091509308268973,2.73451398206345,12.4,31.1,0.2699251548723882,0.6232650389340635,1.1334206316670514,1.63515535858923,6.066176083067531
14.0,64.55,0.06,1.5,1.5,3.0,0.1,5.0,9.039449391934275,0.2366080432399968,0.5123099259739404,0.2095490793723016,0.3405399442079047,5.270622890303024,1.275587055729115,0,0.0,3,0.30000000000000004,0.30000000000000004,0.3208492757609952,0.6862637094988884,1.2132371641337663,1.8994683563693897,6.68917972137291,0.13277780753025561,0.12638139336812668,2.8489334115610663,12.4,31.1,0.2821562739910778,0.6514487872186814,1.1843406520654385,1.7091886892850678,6.339921333657771
16.0,64.55,0.05,1.5,1.5,3.0,0.1,5.0,9.132572827414368,0.33689962521158057,0.4692123020079186,0.3161935756594917,0.28252610162515324,5.220053350865096,1.2609530553707284,0,0.0,3,0.30000000000000004,0.30000000000000004,0.3492057043625722,0.7467688273636638,1.3194250929694182,2.0671893481261545,7.2776384399185625,0.14451150547643526,0.1375242897298117,3.0799880616897717,12.3,30.900000000000002,0.3070966898212877,0.7089025271531818,1.288054959177256,1.860133487025595,6.89781242681923
15.0,64.55,0.06,1.5,1.5,3.0,0.1,5.0,9.187126512302948,0.40367352880644153,0.4402071596079191,0.38794411639582743,0.2435060470412946,5.169483811427168,1.2609530553707284,0,0.0,3,0.30000000000000004,0.30000000000000004,0.36829011673197387,0.7874765772070721,1.3907979789953349,2.1800548230099754,7.673435206616892,0.1524084043884459,0.14502124332005417,3.2338237139901804,12.2,30.900000000000002,0.3238823944506195,0.7475589647033465,1.3577702301123091,1.9617119654949577,7.273063650889172
