MASS,straight_rpm,turn_rpm,turn_rudder_deg,THRUST_COEF,DRAG_COEF,LINEAR_SURGE_DAMP,TURN_COEF,RUDDER_FORCE_SCALE,LINEAR_YAW_DAMP,surge_score,turn_score,joint_score,surge_err_peak_u_body_mps,surge_err_initial_accel_0_2_after_motion_mps2,surge_err_initial_accel_0_5_after_motion_mps2,surge_err_distance_at_10s_after_motion_m,surge_err_time_to_50pct_peak_u_after_motion_s,surge_err_time_to_90pct_peak_u_after_motion_s,turn_err_peak_abs_yaw_rate_degps,turn_err_time_to_90deg_after_turn_s,turn_err_time_to_180deg_after_turn_s,turn_err_radius_first_90deg_m,turn_err_radius_first_180deg_m,turn_err_u_body_10s_after_turn_mps,surge_rpm_start_idx,surge_rpm_start_t_sec,surge_motion_start_idx,surge_motion_start_t_sec,surge_motion_lag_s,surge_u_body_at_2s_after_motion_mps,surge_u_body_at_5s_after_motion_mps,surge_u_body_at_10s_after_motion_mps,surge_distance_at_5s_after_motion_m,surge_distance_at_10s_after_motion_m,surge_initial_accel_0_2_after_motion_mps2,surge_initial_accel_0_5_after_motion_mps2,surge_peak_u_body_mps,surge_time_to_50pct_peak_u_after_motion_s,surge_time_to_90pct_peak_u_after_motion_s,surge_u_body_at_2s_after_rpm_mps,surge_u_body_at_5s_after_rpm_mps,surge_u_body_at_10s_after_rpm_mps,surge_distance_at_5s_after_rpm_m,surge_distance_at_10s_after_rpm_m,turn_rudder_start_idx,turn_rudder_start_t_sec,turn_turn_start_idx,turn_turn_start_t_sec,turn_turn_lag_s,turn_yaw_rate_at_2s_after_rudder_degps,turn_yaw_rate_at_5s_after_rudder_degps,turn_yaw_rate_at_10s_after_rudder_degps,turn_u_body_2s_after_rudder_mps,turn_u_body_5s_after_rudder_mps,turn_u_body_10s_after_rudder_mps,turn_time_to_30deg_after_rudder_s,turn_time_to_60deg_after_rudder_s,turn_time_to_90deg_after_rudder_s,turn_time_to_180deg_after_rudder_s,turn_peak_abs_yaw_rate_degps,turn_yaw_rate_at_2s_after_turn_degps,turn_yaw_rate_at_5s_after_turn_degps,turn_yaw_rate_at_10s_after_turn_degps,turn_u_body_2s_after_turn_mps,turn_u_body_5s_after_turn_mps,turn_u_body_10s_after_turn_mps,turn_time_to_30deg_after_turn_s,turn_time_to_60deg_after_turn_s,turn_time_to_90deg_after_turn_s,turn_time_to_180deg_after_turn_s,turn_radius_first_90deg_m,turn_radius_first_180deg_m,turn_diameter_first_90deg_m,turn_diameter_first_180deg_m
64.55,14.0,20.0,25.0,0.06,1.5,2.0,5.0,0.15,5.0,7.822892197543069,2.6943414225336593,10.517233620076729,0.06323135997112773,0.5197120447286863,0.17292158124312051,0.363514082341315,4.512079798734109,1.1585150528620223,0.5428310547153561,0.001398335591149589,0.33208453543983485,0.39840379775041,0.0798893889550897,0.4302607531801914,0,0.0,3,0.30000000000000004,0.30000000000000004,0.31671046425357646,0.6669292237743246,1.1507819125766354,1.8633813198404179,6.456143409971999,0.13076251718157153,0.1225543190243914,2.4495031891470433,10.9,29.5,0.2789623445462714,0.6340619866404755,1.1249388760450774,1.6785917446184881,6.125146441534335,0,0.0,13,1.3,1.3,2.7037825824478015,14.993041568031336,10.617878302396695,0.564076259946979,0.8340737260968217,0.7404933741770888,5.1000000000000005,7.6000000000000005,10.700000000000001,18.900000000000002,15.038602054231552,8.015387392983113,12.154614393415532,11.463159830179512,0.8405547771538143,0.6295989073341712,0.7299295962928944,3.8000000000000007,6.300000000000001,9.4,17.7,4.069228448436014,3.8625379652701324,8.138456896872029,7.725075930540265
64.55,14.0,20.0,25.0,0.07,1.5,2.0,4.0,0.15,6.0,8.00749119738738,2.5178749816463144,10.525366179033693,0.2274820764514869,0.4397260070394035,0.3677902064156133,0.2579992044911805,4.4615102592961815,1.1438810525036356,0.5287064154419752,0.012051509374034122,0.3621881407605092,0.3223741887266307,0.031462087246288184,0.37805355053729767,0,0.0,3,0.30000000000000004,0.30000000000000004,0.3694601256441259,0.7777317683514685,1.3405780503977518,2.1734450139665777,7.526425036613501,0.1525394023040025,0.1429154344127901,2.8279087450641036,10.8,29.3,0.32543202236358476,0.7394381030692727,1.3105704714168338,1.9579550164793815,7.140840609245451,0,0.0,13,1.3,1.3,2.7858755641287902,15.503232977619607,10.156879496543299,0.6585964037992612,0.9066073948542368,0.807041388715945,5.0,7.5,10.8,19.400000000000002,15.503232977619607,8.51607672533666,11.472197365771162,11.21370148890872,0.9783625404641749,0.6333740579784677,0.7968156017092654,3.7,6.300000000000001,9.5,18.1,4.583496734715312,4.329981008697552,9.166993469430624,8.659962017395104
64.55,14.0,20.0,30.0,0.07,1.5,2.0,5.0,0.15,6.0,8.00749119738738,2.519423121355846,10.526914318743225,0.2274820764514869,0.4397260070394035,0.3677902064156133,0.2579992044911805,4.4615102592961815,1.1438810525036356,0.5515245971431465,0.019908011974619663,0.3170327327794978,0.33445622316939577,0.01411812092647023,0.38520634827050315,0,0.0,3,0.30000000000000004,0.30000000000000004,0.3694601256441259,0.7777317683514685,1.3405780503977518,2.1734450139665777,7.526425036613501,0.1525394023040025,0.1429154344127901,2.8279087450641036,10.8,29.3,0.32543202236358476,0.7394381030692727,1.3105704714168338,1.9579550164793815,7.140840609245451,0,0.0,12,1.2000000000000002,1.2000000000000002,3.4225019286472653,14.513182792107798,11.097393124516826,0.6551738436915638,0.8552876752813265,0.8057956861430695,4.9,7.4,10.3,18.6,14.752627413211883,9.16106455760357,11.102133182753448,11.196268770546105,0.933963632231365,0.7050139493248858,0.7876516924456743,3.7,6.3,9.2,17.5,4.501773216372545,4.25717266633686,9.00354643274509,8.51434533267372
64.55,14.0,20.0,30.0,0.07,1.5,2.0,3.0,0.1,4.0,8.00749119738738,2.5221019199702477,10.529593117357628,0.2274820764514869,0.4397260070394035,0.3677902064156133,0.2579992044911805,4.4615102592961815,1.1438810525036356,0.49406375564380756,0.03335785693980337,0.38476584475101494,0.34668328000219584,0.027235311817477348,0.34284969585573233,0,0.0,3,0.30000000000000004,0.30000000000000004,0.3694601256441259,0.7777317683514685,1.3405780503977518,2.1734450139665777,7.526425036613501,0.1525394023040025,0.1429154344127901,2.8279087450641036,10.8,29.3,0.32543202236358476,0.7394381030692727,1.3105704714168338,1.9579550164793815,7.140840609245451,0,0.0,15,1.5,1.5,2.1868022957682043,15.840371159687471,7.256493127751063,0.6606934335484911,1.0271589550321598,0.6990919274389671,5.2,7.300000000000001,11.200000000000001,19.900000000000002,16.642805514595835,8.148430903545881,13.929036471579131,10.010248963032994,1.0422606129152114,0.5345498818311434,0.8419175243503708,3.8000000000000007,5.9,9.700000000000001,18.400000000000002,4.419068758933115,4.08357483793409,8.83813751786623,8.16714967586818
64.55,14.0,20.0,30.0,0.07,1.5,2.0,4.0,0.15,6.0,8.00749119738738,2.527632188527541,10.53512338591492,0.2274820764514869,0.4397260070394035,0.3677902064156133,0.2579992044911805,4.4615102592961815,1.1438810525036356,0.5392284610347534,0.001398335591149589,0.35466223943034053,0.3345375154599986,0.013128261168332598,0.3994507017718932,0,0.0,3,0.30000000000000004,0.30000000000000004,0.3694601256441259,0.7777317683514685,1.3405780503977518,2.1734450139665777,7.526425036613501,0.1525394023040025,0.1429154344127901,2.8279087450641036,10.8,29.3,0.32543202236358476,0.7394381030692727,1.3105704714168338,1.9579550164793815,7.140840609245451,0,0.0,13,1.3,1.3,3.139274469437637,15.066750632513127,10.392416531690028,0.6569453542219885,0.8573387932621501,0.7859660840451108,4.9,7.5,10.700000000000001,19.3,15.157109606602464,9.251081119937751,10.926265991747973,11.050922496120863,0.9619879776325866,0.631593290949998,0.7694023349391319,3.6000000000000005,6.2,9.4,18.0,4.501223351030439,4.253017328000138,9.002446702060878,8.506034656000276
64.55,15.0,20.0,30.0,0.06,1.5,2.0,5.0,0.1,4.0,7.979778105752196,2.5810127201820148,10.56079082593421,0.20921104575173397,0.4487031503549896,0.34592597215107623,0.26983472175615847,4.4615102592961815,1.1438810525036356,0.5687725971765272,0.02270468315691865,0.3546622394303408,0.31417520046543435,0.03639703725817367,0.35840496241328695,0,0.0,3,0.30000000000000004,0.30000000000000004,0.3635397490324567,0.7652997442865634,1.3193025188015126,2.138649043676386,7.406372424805563,0.15009529800331764,0.14063091992850532,2.785815415565937,10.8,29.3,0.32021638021017396,0.7276144400371651,1.289760401567268,1.9266036242382887,7.026907026409535,0,0.0,14,1.4000000000000001,1.4000000000000001,2.249426683427679,13.384340351626152,9.765762961904048,0.5651333817515141,0.9703793302690237,0.7940815386513814,5.5,7.9,11.0,19.400000000000002,14.185253335403766,6.982033270643542,13.160766512229868,10.878071543100058,0.8746660453924101,0.7786730859554811,0.8219886718060503,4.1,6.5,9.6,18.000000000000004,4.638955123840932,4.350697465554811,9.277910247681865,8.701394931109622
64.55,15.0,20.0,25.0,0.06,1.5,2.0,5.0,0.1,4.0,7.979778105752196,2.5831391219177315,10.562917227669928,0.20921104575173397,0.4487031503549896,0.34592597215107623,0.26983472175615847,4.4615102592961815,1.1438810525036356,0.5612429459087062,0.03335785693980337,0.3621881407605092,0.3012513551929828,0.06056640463803004,0.33821186765244426,0,0.0,3,0.30000000000000004,0.30000000000000004,0.3635397490324567,0.7652997442865634,1.3193025188015126,2.138649043676386,7.406372424805563,0.15009529800331764,0.14063091992850532,2.785815415565937,10.8,29.3,0.32021638021017396,0.7276144400371651,1.289760401567268,1.9266036242382887,7.026907026409535,0,0.0,15,1.5,1.5,1.9910939097047606,13.073502914408715,9.398003538467051,0.5660975261762606,1.012628156698892,0.8035045476573125,5.6000000000000005,8.0,11.100000000000001,19.5,14.4329417013609,6.756187966136472,13.5026348747787,10.80390943582657,0.9025489031694786,0.7956055172930527,0.847859344379442,4.1000000000000005,6.5,9.700000000000001,18.1,4.7263726950443266,4.452158200797544,9.452745390088653,8.904316401595088
64.55,14.0,20.0,30.0,0.06,1.5,2.0,4.0,0.1,4.0,7.822892197543069,2.759056838444337,10.581949035987407,0.06323135997112773,0.5197120447286863,0.17292158124312051,0.363514082341315,4.512079798734109,1.1585150528620223,0.5616133906814708,0.06531737828845698,0.41486945007168907,0.31463142532171057,0.03743560473652801,0.37350838267785386,0,0.0,3,0.30000000000000004,0.30000000000000004,0.31671046425357646,0.6669292237743246,1.1507819125766354,1.8633813198404179,6.456143409971999,0.13076251718157153,0.1225543190243914,2.4495031891470433,10.9,29.5,0.2789623445462714,0.6340619866404755,1.1249388760450774,1.6785917446184881,6.125146441534335,0,0.0,15,1.5,1.5,2.0168633539988146,13.170129381583346,8.428491904650413,0.5659636113002963,0.9903556356464067,0.7298070463218469,5.6000000000000005,8.0,11.4,20.200000000000003,14.420755896576615,6.892151393849036,13.387315639464648,9.991505129693907,0.899876549705443,0.7299664106903977,0.80263870861167,4.1000000000000005,6.5,10.0,18.8,4.635869194845535,4.355057274328327,9.27173838969107,8.710114548656653
64.55,14.0,20.0,25.0,0.06,1.5,2.0,4.0,0.1,4.0,7.822892197543069,2.764860458078425,10.587752655621495,0.06323135997112773,0.5197120447286863,0.17292158124312051,0.363514082341315,4.512079798734109,1.1585150528620223,0.5544502556648718,0.0759705520713417,0.42239535140185747,0.30311464311761005,0.05985294440997639,0.35590090641682054,0,0.0,3,0.30000000000000004,0.30000000000000004,0.31671046425357646,0.6669292237743246,1.1507819125766354,1.8633813198404179,6.456143409971999,0.13076251718157153,0.1225543190243914,2.4495031891470433,10.9,29.5,0.2789623445462714,0.6340619866404755,1.1249388760450774,1.6785917446184881,6.125146441534335,0,0.0,16,1.6,1.6,1.783613568727194,12.718937592674921,8.00469836320326,0.5667253121871562,1.0330831801110352,0.7251368664751235,5.7,8.1,11.600000000000001,20.400000000000002,14.656387686719953,6.653661984514096,13.767045556977399,9.73845138045884,0.9274019173862637,0.7460709107002353,0.8251967790108776,4.1,6.5,10.100000000000001,18.9,4.713769317226833,4.449163161739753,9.427538634453667,8.898326323479505
64.55,15.0,20.0,25.0,0.07,1.5,2.0,5.0,0.1,4.0,8.273421935474039,2.318371663330698,10.591793598804736,0.3941609182397359,0.35399647425789205,0.5731144157153846,0.1633391077321377,4.4615102592961815,1.1292470521452491,0.5003041341819406,0.05186753332327326,0.24929962080798085,0.3450150330445025,0.0006956264940444343,0.32186072104750024,0,0.0,2,0.2,0.2,0.40731715272195473,0.8778231639044709,1.5251907518443037,2.412392584928364,8.486602069479025,0.17588000325031994,0.16436901583916788,3.2119082863631285,10.8,29.1,0.3735540939311511,0.8484873882585958,1.5022800077613152,2.247174781968107,8.19126904596666,0,0.0,14,1.4000000000000001,1.4000000000000001,2.5619474794710366,16.226693964296725,11.032035569314584,0.6596678642906347,1.005258044316999,0.8778309579179533,5.1000000000000005,7.2,10.200000000000001,18.0,16.437527858554873,8.541509092845141,13.253692463540212,12.537173040331353,1.011797892670561,0.7091141037891037,0.8688078500456621,3.7,5.8,8.9,16.6,4.430352869361136,4.200826294812034,8.860705738722272,8.401652589624067
