policy,class,width,dcpa_m,ct_deg,crossing_side,dcpa_below_floor,outcome,collided,collided_target,steps,return,colregs_integral,frames_v_port,frames_v_bow,frames_v_side,frames_v_hold,frames_v_r8,integral_v_port,integral_v_bow,integral_v_side,integral_v_hold,integral_v_r8,mean_speed,max_speed,min_target_range,estops,estop_reasons,estop_then_target_collision,first_engaged_cls,engaged_frames,p_port_sense,ever_port_sense_non_overtaking,r_path_max,set,scenario
model,crossing,6.791254452278463,1.3867036468224696,202.19120555738766,starboard,,collision:target,True,True,21,-329.7843895035923,-14.937594597663711,4,1,0,0,8,0.8570280405159837,0.3803785303936042,0.0,0.0,1.9583182381469448,0.38382332657443463,0.5483102201485249,0.8961734163267558,0,,False,crossing,19,0.0,False,0.0,development,25
model,crossing,7.618572716555467,0.2983096088221926,73.39891847527933,port,,collision:target,True,True,18,-379.48966390378536,-90.11892568415898,9,15,0,0,15,4.031884969241774,7.359414733284585,0.0,0.0,7.495998257034112,0.6281988337434667,0.7476027654976252,1.2364798436250264,0,,False,crossing,15,1.0,True,0.0,development,26
model,crossing,8.61263148724731,1.063209475296138,68.91040871652827,port,,goal,False,False,57,-290.52226966856585,-42.6822590026103,12,20,0,0,20,2.968260513155327,3.027733772243253,0.0,0.0,2.8893527310860723,0.7052369231732054,0.9419891170354157,1.9502232395665497,0,,False,crossing,20,1.0,True,0.0,development,27
model,crossing,7.715636756725871,0.015920309608921934,125.05212011493529,port,,goal,False,False,70,-57.48236329410878,-54.64332557230705,7,11,0,0,11,4.431521676378122,2.154945160242622,0.0,0.0,4.897847718007636,0.5882150227226092,0.8301500383331568,1.7516775705043501,0,,False,crossing,11,1.0,True,0.0,development,28
model,crossing,7.643066319700785,0.9005926304107195,232.04698227358332,starboard,,goal,False,False,57,107.94998410163245,-20.476697227108,9,13,0,0,3,2.7209940512831543,1.165149297379562,0.0,0.0,0.2756194780505674,0.6840381341016474,0.7512925620760669,2.3536970656532383,0,,False,crossing,13,0.0,False,0.0,development,29
model,crossing,7.958885684444756,2.3471367729985007,99.26568482874778,port,,collision:target,True,True,25,-361.02414808989124,-61.79773354609365,15,3,0,0,19,4.467013251590997,1.677274478147042,0.0,0.0,6.974113174197856,0.5403852300606292,0.6562651908758136,1.2986389662851145,0,,False,crossing,23,1.0,True,0.0,development,30
model,crossing,8.919597231476935,2.22514847495875,94.45670133270548,port,,goal,False,False,53,38.9314013008705,-23.906923853083608,9,9,0,0,7,2.9579255185324365,0.7906280414277465,0.0,0.0,1.1892408291734902,0.7307084887839468,1.0238547326447798,3.3804087696904745,0,,False,crossing,10,1.0,True,0.0,development,31
model,crossing,6.8745535936065325,0.9980912249888607,258.34957664951156,starboard,,goal,False,False,57,77.88328267678253,-58.62262869039289,9,12,0,0,11,4.795647446272034,2.9828344981727897,0.0,0.0,4.470920681198,0.6723204986747927,0.737214884104538,1.9018459326043673,0,,False,crossing,12,0.0,False,0.0,development,32
model,crossing,7.392424952880393,1.3377756696400032,103.21517361238475,port,,goal,False,False,57,105.8163510926314,-33.05722090478351,8,12,0,0,12,2.644042941152418,1.5582751758726108,0.0,0.0,2.723499161224359,0.6735296752390193,0.7710792132375118,2.4662671932434224,0,,False,crossing,12,1.0,True,0.0,development,33
model,crossing,8.211625632198505,0.5369332056133689,273.7473360838418,starboard,,goal,False,False,66,-36.459486435526316,-46.63977129207025,7,14,0,0,13,2.8829624831931655,3.120610936059676,0.0,0.0,3.7604628592819282,0.5998786564933462,0.8866450349333708,1.9727098613243648,0,,False,crossing,14,0.0,False,0.0,development,34
model,crossing,6.670301727029801,1.6220604567556773,68.95766081799397,port,,collision:target,True,True,25,-411.59668342471,-70.78359188636523,8,13,0,0,17,4.039874103906657,5.923499560100527,0.0,0.0,5.087466109939224,0.6684080583946423,0.7803483384284833,1.3864238966489735,0,,False,crossing,19,1.0,True,0.0,development,35
model,crossing,5.356479981505558,0.055795907234700015,271.8698730463921,starboard,,collision:target,True,True,26,-363.6749234073154,-29.179712205119802,14,3,0,0,1,3.945514785931374,1.9346100410613594,0.0,0.0,0.016243180334614665,0.3673723202243944,0.6677535303781367,1.3649578540481313,1,"8(e) in extremis: crossing, compliant alteration inadmissible (DCPA 0.84 m, TCPA 4.9 s)",True,crossing,15,0.0,False,0.0,development,36
model,crossing,5.304665427323811,0.017848296443167266,117.25907155972246,port,,collision:boundary,True,False,19,-396.7911181301224,-69.1934953175828,10,15,0,0,12,6.036340378349083,4.599829225719798,0.0,0.0,3.6765457283204075,0.6207959880576749,0.7232097817279068,1.557012523685368,0,,False,crossing,15,1.0,True,0.0,development,37
model,crossing,9.457641443617554,1.2551967616775108,235.78733738494202,starboard,,goal,False,False,57,114.16888199412948,-15.372424455513004,7,5,0,0,3,2.3988640870754083,0.5329149399846906,0.0,0.0,0.19113739368122515,0.6862456581470705,0.7401470904630364,2.9937134893295982,0,,False,crossing,8,0.0,False,0.0,development,38
model,crossing,7.939459934530462,2.4303101927483763,253.60508731238923,starboard,,goal,False,False,66,60.258705293268925,-7.367894569706975,8,0,0,0,4,0.8004654704247642,0.0,0.0,0.0,0.7567978869120868,0.5881890193438971,0.9206389052443973,2.138647282413669,0,,False,crossing,15,0.0,False,0.0,development,39
model,overtaking,9.556232149411287,0.16856401487441053,10.868192576999832,,,goal,False,False,55,50.09189032653313,-52.452248111338065,10,1,27,0,7,3.326698640936743,0.001132953162596343,8.649881216027055,0.0,1.075535409521987,0.703686874080993,0.9118208858453183,1.9731512529671715,0,,False,overtaking,27,0.0,False,0.0,development,40
model,overtaking,5.7479461611789,1.2248627607666025,-16.93834482636391,,,goal,False,False,76,17.599940212954536,-52.39933950974905,19,0,48,0,3,1.2724518606945878,0.0,12.785252837357932,0.0,0.016398352182724975,0.5005933567907425,0.9050810448345894,2.7401873715292426,0,,False,overtaking,59,0.0,False,0.0,development,41
model,overtaking,7.111260720178818,1.545817447677813,3.7007841951845677,,,goal,False,False,63,82.96543399352701,-0.7277906889196049,8,0,0,0,0,0.14702842200396057,0.0,0.0,0.0,0.0,0.6174706081484874,0.9177174564055766,3.721161016634707,0,,False,overtaking,39,0.0,False,0.0,development,42
model,overtaking,9.924433511599638,0.5577780141895179,11.720631678627527,,,goal,False,False,54,25.028476371520668,-79.26186301593374,12,10,42,0,20,2.8570450264346317,1.3704188128517105,13.028224451504432,0.0,2.5409575524556405,0.7071629478730955,0.9633434497825029,1.773686298101376,0,,False,overtaking,42,0.0,False,0.0,development,43
model,overtaking,7.777153961253272,1.5401458527507434,7.176268164230322,,,goal,False,False,54,26.01814767342178,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.7119532085096192,0.9780394835547151,3.133523897791136,0,,False,never,0,0.0,False,0.0,development,44
model,overtaking,9.472351939506785,0.6293837659105992,10.760110377370978,,,goal,False,False,57,11.888056048888899,-33.76887875507551,11,10,26,0,0,1.5678855414167285,0.10310101196589813,7.0826375877309715,0.0,0.0,0.6758274126870754,0.8756326344768453,2.7972570468975775,0,,False,overtaking,32,0.0,False,0.0,development,45
model,overtaking,6.791254452278463,1.9286740819227624,7.381996928413358,,,goal,False,False,49,70.84459059647041,-7.537636592217084,8,0,16,0,0,0.4844366922099742,0.0,1.4276874904938086,0.0,0.0,0.7883147075638222,0.9103803798457839,3.5157481364425744,0,,False,overtaking,32,0.0,False,0.0,development,46
model,overtaking,7.618572716555467,0.80683254823558,-26.65182120749268,,,goal,False,False,57,12.34061675749632,-70.03349142291604,21,0,22,0,15,6.076119422765123,0.0,7.430740581893996,0.0,2.9346742634245104,0.6806025896032541,0.9511633217857746,1.9884024201052237,0,,False,overtaking,31,0.0,False,0.0,development,47
model,overtaking,8.61263148724731,0.5951515892589716,-22.89682838569677,,,goal,False,False,61,66.94646043650155,-11.94447140509783,23,7,0,0,6,2.0875921636035435,0.0922727119187307,0.0,0.0,0.2564756158361265,0.6680121415581644,0.8486586144496477,2.908155199422946,0,,False,overtaking,48,0.0,False,0.0,development,48
