scenario,t,dpsi,tracked,state,cls,sense,tcpa,range,bearing,panels_near
21,9.0,17.70950135768217,1,clearing,crossing,1,-0.9466260392225767,2.2737915342726436,128.64840983166044,0
21,9.5,14.107599715666169,1,clearing,crossing,1,-1.5954776858176667,2.5735041458460097,143.3279204075032,0
21,10.0,10.693095877158783,1,clearing,crossing,1,-2.065603870886427,2.940001291988296,155.0393983523067,0
21,10.5,9.202060223975849,1,clearing,crossing,1,-2.555729306415943,3.346990421491172,162.80554054084513,0
21,11.0,9.884991246008468,1,clearing,crossing,1,-2.6594402800780665,3.7745695371488766,167.01516458148433,0
21,11.5,12.254233925491718,1,clearing,crossing,1,-3.3244645218038174,4.2132825882225955,168.6235626109368,0
21,12.0,15.512919496409836,1,clearing,crossing,1,-3.445579126002842,4.659092490305244,168.71476401980908,0
21,12.5,18.669683822927595,1,idle,none,0,-4.490663449898079,5.108779819127409,168.44235884288764,0
21,13.0,20.712845348607715,1,idle,none,0,-4.672644565680993,5.559449059164564,168.8983746436856,0
21,13.5,20.790816228786326,1,idle,none,0,-5.66300074347599,6.008681699455543,170.96865452251103,0
21,14.0,18.8145312967344,1,idle,none,0,-6.141704187451998,6.457270840991232,174.76610767114573,0
21,14.5,15.237999415454993,1,idle,none,0,-6.735871114662193,6.90597933746098,179.8621884158265,0
21,15.0,10.949512362946052,1,idle,none,0,-6.880924435516909,7.3543754232430905,-174.5969601310681,0
21,15.5,6.7079276450077145,1,idle,none,0,-7.129370540374928,7.800436943909792,-169.32454282409478,0
21,16.0,3.018057175518635,1,idle,none,0,-8.975425156530253,8.243719047526488,-164.78009303382146,0
21,16.5,0.3076854359158858,1,idle,none,0,-8.72019117880438,8.687224242573896,-161.35458680509703,0
21,17.0,-1.379957533483207,1,idle,none,0,-8.790499881222745,9.131640177548027,-159.06002798631698,0
21,17.5,-1.9877817826682076,1,idle,none,0,-10.004111481910712,9.576324398814833,-157.92341969419442,0
21,18.0,-1.4547349830769463,1,idle,none,0,-10.922634773116547,10.025443567868791,-157.98732839160175,0
21,18.5,0.15193607493745276,1,idle,none,0,-11.343001587644538,10.482538066921162,-159.16654766935858,0
21,19.0,2.5701972575241427,1,idle,none,0,-12.744695654727643,10.947790391088464,-161.17772083268412,0
21,19.5,5.199853402024445,1,idle,none,0,-11.95912978110133,11.421160090645374,-163.4103037156273,0
21,20.0,7.388592654457227,1,idle,none,0,-12.560245481323935,11.897160509488783,-165.2061900451833,0
21,20.5,8.64489055627746,0,none,,0,,12.369216973256343,-166.07675511579868,0
21,21.0,8.711792951089762,0,none,,0,,12.838272923074305,-165.78049119856925,0
21,21.5,7.72690399598622,0,none,,0,,13.31050072926184,-164.47250770751623,0
21,22.0,5.884029089831273,0,none,,0,,13.783664562792286,-162.35107831265537,0
21,22.5,3.437292114267649,0,none,,0,,14.25185041313426,-159.66721116796109,0
21,23.0,0.8392284052155219,0,none,,0,,14.713877998392412,-156.86966824440853,0
21,23.5,-1.171380506253513,0,none,,0,,15.171293273387825,-154.68997936396045,0
