scenario,t,dpsi,tracked,state,cls,sense,tcpa,range,bearing,panels_near
24,9.5,-13.242432616405495,1,idle,none,0,0.16901859910183245,2.4631866678750844,-59.00609129115776,0
24,10.0,-6.5751455425610175,1,idle,none,0,-0.6585314282041711,2.672250291935596,-77.0849290555633,0
24,10.5,1.116526669053485,1,idle,none,0,-1.1134038543738265,2.990817223332204,-94.88211695142854,0
24,11.0,5.7479772947799574,1,idle,none,0,-1.775354862900327,3.402190667307196,-107.62805820652763,0
24,11.5,5.703146721955704,1,idle,none,0,-1.9116757226519314,3.8695605790990943,-113.78841073953181,0
24,12.0,2.503272672857861,1,idle,none,0,-2.6067791198066845,4.365599273140071,-115.38910467487207,0
24,12.5,-1.9134361948565584,0,none,,0,,4.87482891738697,-114.79121438012493,0
24,13.0,-5.676659195538377,0,none,,0,,5.38906360342591,-114.09253222482585,0
24,13.5,-7.893440734695446,0,none,,0,,5.908633111855576,-114.40169322647972,0
24,14.0,-6.887379845713099,0,none,,0,,6.442692664586733,-117.57041744895116,0
24,14.5,-1.9089197885223257,0,none,,0,,6.996098344871523,-124.3091624358126,0
24,15.0,5.589871476603264,0,none,,0,,7.57432635579887,-133.2101612641597,0
24,15.5,13.921321691109995,0,none,,0,,8.171360841973412,-142.5851239869522,0
24,16.0,21.352366783415732,0,none,,0,,8.779561840084394,-150.73683160188517,0
24,16.5,26.866188834735908,0,none,,0,,9.390349835790957,-156.71652618804197,0
24,17.0,29.534878651091645,0,none,,0,,9.98695992165192,-159.6479321374002,0
24,17.5,28.70105722827637,0,none,,0,,10.571140293612231,-158.97488644349582,0
24,18.0,24.530718078936218,0,none,,0,,11.144924505319981,-154.93617690836777,0
24,18.5,17.910843155126315,0,none,,0,,11.723539619999608,-148.50216137502125,0
24,19.0,9.897354131078743,0,none,,0,,12.303173495841461,-140.74711539666217,0
24,19.5,2.437003666952535,0,none,,0,,12.874986911032128,-133.59740990370278,0
24,20.0,-2.95846466287162,0,none,,0,,13.454096530414562,-128.60789372547777,0
24,20.5,-5.951464122194693,0,none,,0,,14.03614070376319,-126.07027786161166,0
24,21.0,-6.404578529843434,0,none,,0,,14.615493433627607,-126.05880162984846,0
24,21.5,-4.264073072504516,0,none,,0,,15.20531739024862,-128.64839819268644,0
24,22.0,-0.4990523955956405,0,none,,0,,15.809525272570177,-132.8458290108755,0
24,22.5,3.2366435928684325,0,none,,0,,16.42800801686307,-136.98113089728574,0
24,23.0,6.103475706655843,0,none,,0,,17.054163934839643,-140.20164569803245,0
24,23.5,7.532030907522227,0,none,,0,,17.67312694189907,-141.9164629885724,0
24,24.0,7.697502433308301,0,none,,0,,18.286193045362346,-142.3273294250412,0
24,24.5,6.753036836861867,0,none,,0,,18.895393070728662,-141.6080125731505,0
24,25.0,4.655553000103538,0,none,,0,,19.497952171058245,-139.72488879512682,0
24,25.5,1.8540559245427914,0,none,,0,,20.090875028566966,-137.1296792175752,0
24,26.0,-1.1642380505720666,0,none,,0,,20.680492672668514,-134.33044030591952,0
24,26.5,-3.936427964421,0,none,,0,,21.27632991362523,-131.81644574989195,0
24,27.0,-5.883917186235067,0,none,,0,,21.875308860584752,-130.1516444365928,0
24,27.5,-6.655703535412158,0,none,,0,,22.47215586828216,-129.6598688872498,0
