policy,class,width,dcpa_m,ct_deg,crossing_side,dcpa_below_floor,crossing_escapable,outcome,collided,collided_target,steps,return,colregs_integral,frames_v_port,frames_v_bow,frames_v_side,frames_v_hold,frames_v_r8,integral_v_port,integral_v_bow,integral_v_side,integral_v_hold,integral_v_r8,mean_speed,max_speed,min_target_range,estops,estop_reasons,estop_then_target_collision,first_engaged_cls,engaged_frames,p_port_sense,ever_port_sense_non_overtaking,r_path_max,scenario
follower,null,9.924433511599638,6.062334617550908,-2.036564089612069,,,,goal,False,False,68,183.10034290734916,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.5542954264105129,0.5579600596001368,5.565410232160222,0,,False,never,0,0.0,False,0.0,50
follower,null,7.777153961253272,8.559003963480428,7.264527238106524,,,,goal,False,False,67,183.75,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.5585634147471735,0.5586250973196059,8.492720974565314,0,,False,never,0,0.0,False,0.0,51
follower,null,9.472351939506785,9.596358425588157,-3.940947096756009,,,,goal,False,False,67,183.75,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.5631508182926687,0.5640206121260078,8.237479363738894,0,,False,never,0,0.0,False,0.0,52
follower,null,8.61263148724731,1.9887933450307789,-1.1270768060442258,,,,goal,False,False,67,183.51111520230813,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.5575331562799272,0.5581516832419999,8.969813921290392,0,,False,never,0,0.0,False,0.0,53
follower,null,7.715636756725871,2.762014081009041,-0.40637360625555274,,,,goal,False,False,67,183.75,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.5594419922919416,0.5596523800907534,8.929417308796214,0,,False,never,0,0.0,False,0.0,54
follower,null,7.643066319700785,6.330355979488411,5.301646114803592,,,,goal,False,False,69,179.5482168343944,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.5457599234348617,0.5575025757615211,9.026833494682302,0,,False,never,0,0.0,False,0.0,55
follower,null,7.958885684444756,4.951431692942184,6.252128618956611,,,,goal,False,False,68,181.48687533226087,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.5513665849471281,0.5578001340230037,6.736072728252552,0,,False,never,0,0.0,False,0.0,56
follower,null,8.919597231476935,0.626960535485727,-3.3771176787976476,,,,goal,False,False,69,177.8054884130691,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.5426446216100869,0.5572710041158868,8.542365018636099,0,,False,never,0,0.0,False,0.0,57
follower,null,7.392424952880393,0.37408620081980476,0.7022053571200253,,,,goal,False,False,67,183.75,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.5597440856417707,0.5599808578171732,8.55617726490927,0,,False,never,0,0.0,False,0.0,58
follower,null,8.211625632198505,1.93888858249201,-1.3615912338901808,,,,goal,False,False,68,181.57536152378216,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.5515263473941917,0.5577890440509781,10.239452805363253,0,,False,never,0,0.0,False,0.0,59
compliant,head_on,9.556232149411287,0.7589141160070894,188.5960326544994,,,,collision:target,True,True,31,-296.6579710698957,-19.575221902557754,7,0,7,0,3,2.8840274140367894,0.0,1.3083540949059043,0.0,0.13093588031430906,0.5227167160395739,0.5576958521762974,1.5554618236985502,0,,False,head_on,19,0.0,False,0.0,0
compliant,head_on,5.7479461611789,1.2248627607666025,177.49061558127943,,,,collision:boundary,True,False,29,-322.27889380700265,-5.002636885254027,7,0,0,0,5,0.5710205827284308,0.0,0.0,0.0,0.48357444461073207,0.5237220189372558,0.5574844451973853,3.253614521143517,0,,False,head_on,26,0.0,False,0.0,1
compliant,head_on,7.111260720178818,0.8488119099963607,179.77841623459886,,,,collision:boundary,True,False,39,-430.50035795204474,-18.51967157718156,11,0,6,0,7,2.1376300181377332,0.0,1.280893733390936,0.0,0.739374566042757,0.5247821290967186,0.5572649370173868,1.821430676984167,0,,False,head_on,31,0.0,False,0.0,2
compliant,head_on,9.924433511599638,0.5577780141895179,181.73638987831518,,,,collision:boundary,True,False,106,-440.17421655725843,-17.748791880744392,6,0,7,0,6,1.7079069220686627,0.0,0.7513368079032025,0.0,1.4644089129006626,0.5064023812189733,0.5579682112984838,1.2325819621137366,0,,False,head_on,24,0.0,False,0.0,3
compliant,head_on,7.777153961253272,0.23241010159911024,174.96382864421315,,,,collision:boundary,True,False,100,-1186.3597045372655,-8.410480605812268,9,0,1,0,5,1.4015892523075448,0.0,0.06757634157790153,0.0,0.27318643937988313,0.5259100526460219,0.5615282713144726,2.726787076016533,0,,False,head_on,29,0.0,False,0.0,4
compliant,head_on,9.472351939506785,1.2005729403251244,185.37459793469242,,,,collision:target,True,True,31,-308.0138202316354,-25.93027106541443,7,0,11,0,6,2.6807163868755466,0.0,2.197555475332025,0.0,1.0554500531522628,0.5089104269280729,0.5578765815395261,1.8926864794505618,0,,False,head_on,22,0.0,False,0.0,5
compliant,head_on,6.791254452278463,0.4570427385228544,170.45725794523702,,,,collision:boundary,True,False,108,-1178.5679683974477,-19.475313079937003,7,0,7,0,7,2.032961917697033,0.0,0.6529999665472511,0.0,1.5691892683925746,0.49531720654590333,0.5575835827011653,1.3479916356101402,0,,False,head_on,26,0.0,False,0.0,6
compliant,head_on,7.618572716555467,1.9112000156973665,175.31745985542278,,,,collision:boundary,True,False,114,-762.2959339291449,-0.5994254519931382,1,0,0,0,3,0.006194759552782562,0.0,0.0,0.0,0.12639142049041432,0.5019865766653298,0.5625978327228442,4.286966076149917,0,,False,head_on,29,0.0,False,0.0,7
compliant,head_on,8.61263148724731,1.840716953859967,178.36331706632063,,,,collision:target,True,True,25,-313.78623489483704,-26.704513299030488,7,0,17,0,1,2.384291805531683,0.0,3.9620045567637945,0.0,0.14201165717755543,0.5157079505208777,0.557847510425062,1.747470878946028,0,,False,head_on,20,0.0,False,0.0,8
