policy,class,width,dcpa_m,ct_deg,crossing_side,dcpa_below_floor,crossing_escapable,outcome,collided,collided_target,steps,return,colregs_integral,frames_v_port,frames_v_bow,frames_v_side,frames_v_hold,frames_v_r8,integral_v_port,integral_v_bow,integral_v_side,integral_v_hold,integral_v_r8,mean_speed,max_speed,min_target_range,estops,estop_reasons,estop_then_target_collision,first_engaged_cls,engaged_frames,p_port_sense,ever_port_sense_non_overtaking,r_path_max,scenario,start,who
follower,crossing,4.54979421904873,1.3867036468224696,202.19120555738766,starboard,,True,collision:target,True,True,23,-367.41152211502146,-41.93239429162619,0,2,0,0,16,0.0,1.0625868292525977,0.0,0.0,8.149464330405738,0.27186455262153353,0.45261411216636027,0.8301574973359779,0,,False,crossing,16,0.0,False,0.0,26,rest,follower
follower,crossing,9.679268550899316,0.5087939358206104,67.81442945798263,port,,True,goal,False,False,80,143.47242418800715,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.4686997213593861,0.5614088355698641,3.2776861947146227,0,,False,crossing,21,1.0,True,0.0,27,rest,follower
follower,crossing,6.058594996054423,0.9795735001537526,250.52553445208008,starboard,,True,collision:obstacle,True,False,50,-324.06955674854146,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.42173919303411467,0.5565195756476236,2.508675500099396,0,,False,never,0,0.0,False,0.0,28,rest,follower
follower,crossing,5.474427570062953,0.4460543842171416,107.4313409364459,port,,True,goal,False,False,82,138.27782910639036,-1.1186443501307843,0,0,0,0,3,0.0,0.0,0.0,0.0,0.24858763336239648,0.4601457179267756,0.5468535863709576,2.2073539132050044,0,,False,crossing,5,1.0,True,0.0,29,rest,follower
follower,crossing,3.9950540465771436,1.7781064429160531,255.25704639569454,starboard,,True,collision:obstacle,True,False,49,-332.0500348621839,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.3984009997979519,0.5382330186530382,3.4490990911992565,0,,False,never,0,0.0,False,0.0,30,rest,follower
follower,crossing,7.735291501066443,0.8388778432043928,94.48823574345055,port,,True,collision:obstacle,True,False,42,-338.7778283799711,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.3876609443301444,0.5623039783136363,2.9365028803218554,0,,False,crossing,16,1.0,True,0.0,31,rest,follower
follower,crossing,7.0168699613170915,1.3350829370449335,259.65497700971713,starboard,,True,goal,False,False,82,138.17742302257213,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.45832332657739644,0.5419860763719697,3.4496552058772,0,,False,crossing,3,0.0,False,0.0,32,rest,follower
follower,crossing,5.7425453375411974,2.4838158273022763,81.51973469732295,port,,True,goal,False,False,79,145.4241154075948,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.47838304175657925,0.5752006485494476,5.074227597663699,0,,False,crossing,13,1.0,True,0.0,33,rest,follower
follower,crossing,4.158950744671773,1.7839877353952436,251.91684018788132,starboard,,True,collision:obstacle,True,False,51,-326.6145664505641,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.4042795881314048,0.5424235668834321,3.8369089395633464,0,,False,crossing,20,0.0,False,0.0,34,rest,follower
follower,crossing,7.317595379330987,0.8351865361628191,113.10816249444454,port,,True,collision:obstacle,True,False,45,-328.4559126528742,-0.08795332210713114,0,0,0,0,1,0.0,0.0,0.0,0.0,0.019545182690473586,0.3959958551605709,0.5612632585019064,2.8251058696928384,0,,False,crossing,19,1.0,True,0.0,35,rest,follower
follower,crossing,4.125240439053129,1.0096759554242565,290.7369904682177,starboard,,True,goal,False,False,82,136.04197661294955,-3.6583786295208762,0,0,4,0,0,0.0,0.0,1.0162162859780213,0.0,0.0,0.4606487227317748,0.5365891831795864,3.4160258208218472,0,,False,overtaking,4,0.0,False,0.0,36,rest,follower
follower,crossing,3.80127026892346,2.2456241657517846,68.44938096346765,port,,True,goal,False,False,81,142.5447574488094,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.46568338061072995,0.558075596543695,5.056759920221283,0,,False,never,0,0.0,False,0.0,37,rest,follower
follower,crossing,4.882180392282005,0.8698810019652079,96.53683227753992,port,,True,goal,False,False,80,142.91800127505346,-0.12766619776190727,0,0,0,0,1,0.0,0.0,0.0,0.0,0.02837026616931273,0.46732458054496095,0.5586905396188797,3.076820452814501,0,,False,crossing,11,1.0,True,0.0,38,rest,follower
follower,crossing,4.159052935705747,1.804027892232582,217.08416514541523,starboard,,True,collision:target,True,True,27,-371.45426477770656,-50.454961118260826,0,8,0,0,20,0.0,1.9371173464564884,0.0,0.0,9.0813845007336,0.29850270273192225,0.4808141541558726,1.0001423952786517,0,,False,crossing,20,0.0,False,0.0,39,rest,follower
follower,overtaking,9.556232149411287,0.16856401487441053,1.6101026039999748,,,,collision:target,True,True,49,-318.0761312615405,-21.871942021279615,0,0,7,0,14,0.0,0.0,0.5920188071742001,0.0,4.386816514544999,0.42255933120020095,0.5508624310498682,1.8646382609496588,0,,False,overtaking,24,0.0,False,0.0,40,rest,follower
follower,overtaking,5.7479461611789,1.2248627607666025,-2.509384418720579,,,,goal,False,False,82,46.57484625322613,-94.05504463985949,0,0,50,0,35,0.0,0.0,15.284559962619,0.0,8.673473060984689,0.46131096505319774,0.5489768285068806,1.4030045894392094,0,,False,overtaking,51,0.0,False,0.0,41,rest,follower
follower,overtaking,7.111260720178818,1.545817447677813,0.5482643252125285,,,,goal,False,False,82,103.5964864580648,-33.78695416100956,0,1,0,0,33,0.0,0.002203380560970278,0.0,0.0,7.505788317162835,0.4570853474007026,0.5509131545729815,1.5811374517955574,0,,False,overtaking,48,0.0,False,0.0,42,rest,follower
follower,overtaking,9.924433511599638,0.5577780141895179,1.7363898783151903,,,,collision:target,True,True,69,-289.8339606989394,-12.06826477151475,0,0,1,0,13,0.0,0.0,0.014350312985693,0.0,2.6703563655036118,0.44165275620516636,0.5557060970082404,1.961835473298337,0,,False,overtaking,31,0.0,False,0.0,43,rest,follower
follower,overtaking,7.777153961253272,0.17836430215336274,-2.1298098963724676,,,,collision:target,True,True,70,-304.57223307930315,-24.352465551561078,0,0,17,0,16,0.0,0.0,1.2476331515236827,0.0,4.413552490239072,0.4461555964302176,0.5535388739890976,1.8792638415964087,0,,False,overtaking,34,0.0,False,0.0,44,rest,follower
follower,overtaking,9.472351939506785,0.6293837659105992,1.594090426277182,,,,collision:target,True,True,67,-310.96740746845643,-34.890360922658445,0,0,32,0,19,0.0,0.0,5.728409514646992,0.0,3.1706859266509486,0.4470459501220489,0.5593079899974711,1.9517236946640035,0,,False,overtaking,35,0.0,False,0.0,45,rest,follower
follower,overtaking,6.791254452278463,0.4570427385228544,-9.542742054762993,,,,collision:target,True,True,57,-314.23515846344947,-19.397876757460175,0,0,11,0,17,0.0,0.0,1.301740210660548,0.0,3.2692471109071572,0.4210415916427446,0.5499515425367072,1.886761545640304,0,,False,overtaking,27,0.0,False,0.0,46,rest,follower
follower,overtaking,7.618572716555467,1.9884273638462515,8.064555095613034,,,,goal,False,False,81,133.93166047072546,-8.042617818288168,0,0,0,0,27,0.0,0.0,0.0,0.0,1.7872484040640368,0.4647595276595452,0.5561695967133105,2.436175083993647,0,,False,overtaking,44,0.0,False,0.0,47,rest,follower
follower,overtaking,8.61263148724731,0.8361574141727877,8.499933444466564,,,,goal,False,False,83,120.49469198796591,-15.318022284012212,0,0,1,0,23,0.0,0.0,0.14528070481392683,0.0,3.287780388151573,0.454133722013101,0.5391992908746062,1.3568063990026793,0,,False,overtaking,37,0.0,False,0.0,48,rest,follower
follower,overtaking,7.715636756725871,0.7429086685850401,-4.659870018711645,,,,goal,False,False,81,91.13109909128649,-47.60858419226236,0,0,40,0,21,0.0,0.0,9.996465762115973,0.0,2.5825127663655265,0.4632332905904986,0.5540391130275992,1.1162000942630554,0,,False,overtaking,41,0.0,False,0.0,49,rest,follower
follower,overtaking,7.643066319700785,1.7056406923796066,-4.163139131686235,,,,collision:obstacle,True,False,27,-353.7703557612389,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.3019807784485267,0.48281319830318736,7.386969796593495,0,,False,overtaking,5,0.0,False,0.0,50,rest,follower
follower,overtaking,7.958885684444756,0.5220743990799206,-6.99317287503974,,,,collision:target,True,True,58,-311.74084757440727,-22.4277681348356,0,0,9,0,15,0.0,0.0,0.7381088723247836,0.0,4.393461376548083,0.4311212877482375,0.5558642730388677,1.9206056620753822,0,,False,overtaking,28,0.0,False,0.0,51,rest,follower
follower,overtaking,8.919597231476935,0.7654242004525413,6.942858355735275,,,,collision:target,True,True,61,-313.81448751852616,-27.433157210276864,0,1,23,0,13,0.0,0.04265432860443379,3.514551821615844,0.0,3.2376959390817492,0.4299816770707696,0.5609887876993547,1.9519967709999648,0,,False,overtaking,30,0.0,False,0.0,52,rest,follower
follower,overtaking,6.8745535936065325,1.7843068933306978,-9.842023706633043,,,,goal,False,False,81,70.19426011311162,-73.66372572759703,0,0,49,0,29,0.0,0.0,17.23471782738324,0.0,2.581942566448311,0.4676490428254839,0.5572104087995342,2.356333406306234,0,,False,overtaking,49,0.0,False,0.0,53,rest,follower
follower,overtaking,7.392424952880393,1.4530951074163598,-9.662034232505992,,,,goal,False,False,81,104.24042993401524,-35.22426146945476,0,19,1,0,26,0.0,2.0774903084962597,0.09927828143242119,0.0,5.462951695387016,0.4666828326040032,0.5593731013237857,0.9977348366925048,0,,False,overtaking,36,0.0,False,0.0,54,rest,follower
follower,overtaking,8.211625632198505,1.3168745938909003,6.239889037475514,,,,goal,False,False,84,103.15043950086266,-30.392496298900856,0,0,0,0,29,0.0,0.0,0.0,0.0,6.753888066422412,0.4501561114212602,0.5432107720866242,1.6429272749904709,0,,False,overtaking,46,0.0,False,0.0,55,rest,follower
follower,overtaking,6.670301727029801,0.3400603298527174,1.041112989169072,,,,collision:target,True,True,62,-310.58035612799733,-18.398922528000735,0,0,6,0,15,0.0,0.0,0.4365420944476123,0.0,3.7394157751087405,0.42280280629089023,0.5476860430347088,1.9049219729246967,0,,False,overtaking,29,0.0,False,0.0,56,rest,follower
