tag,width,outcome,stbd_admissible,peak_stbd,peak_port,first_turn_t,first_turn_dir,min_range,speed_at_min
run8,8,goal,True,31.24672946594754,29.930267619747326,3.5,port,2.3115487923341647,0.8251643140669724
run8,8,goal,True,39.42431602766186,28.89688758548249,2.5,port,1.9988027185714536,0.8550033035476323
run8,8,goal,False,24.887116696171233,17.542933641216564,2.5,port,2.872471555932335,0.8557903092635433
run8,8,goal,False,33.35345127672886,23.636950693745348,2.5,port,1.8929929298881618,0.8819746061982893
run8,8,goal,True,24.385501064349484,26.893305860802684,2.5,port,1.491490556432526,0.9792611633214436
run8,10,goal,True,25.0754974052185,18.05314404000228,3.5,port,2.122063921491497,0.8900293765669838
run8,10,goal,True,21.66641848784394,28.975937357187036,3.0,port,2.29274037195441,0.8094717178353187
run8,10,goal,True,23.83494021663799,25.34211002676318,3.0,port,2.2894751590465345,0.8635546864995751
run8,10,goal,True,24.763772196594033,32.170104608899635,3.0,port,1.9202166583748588,0.7792653952971086
run8,8,goal,True,22.481192182277113,33.28118900753424,8.0,stbd,1.5780492410783782,1.0328918476029194
run8,10,goal,True,24.810083380611047,13.648587395397044,9.0,port,2.3542258346271345,0.9150989005728162
run8,10,goal,True,27.306875124573992,40.24555448047602,10.0,port,1.6345933081745585,0.7865940792476791
run8,10,goal,True,19.91131524314048,29.274300024452316,7.5,stbd,2.9631555256202513,0.7735577938850074
run8,10,goal,True,15.608372051550873,22.718472442488974,2.5,port,3.0744751615335804,0.7914891285078544
run8,10,goal,True,31.82732510370002,34.542138849497746,8.5,stbd,2.057018590412607,0.8583104996137767
run8,10,goal,True,23.595092921430023,22.157408700790484,2.5,port,2.978766227200826,0.8651562015576517
run8,10,goal,True,24.331897751709022,37.56934986117392,8.5,port,1.9453188574499425,0.7539034119153752
run8,10,goal,True,29.568389098774418,29.94891817758179,2.5,port,1.7921555957664796,0.8617264064922961
run8,10,goal,True,23.450159903779877,28.428971409465703,5.0,stbd,2.876570778610377,0.7091108637215602
run8,10,goal,True,21.20200995585597,25.547422604332382,7.0,port,2.7747115714179147,0.8487216772077256
run8,10,goal,True,25.05741639545232,25.762459771820545,6.5,stbd,2.536328828370449,0.8238709610509607
run8,10,goal,True,26.944466342185706,30.62875330153753,2.5,port,1.9077941899967505,0.8363681231244708
run8,10,goal,True,22.960575212419116,22.71221458049024,2.5,port,2.9438811713604727,0.8550764459896993
run8,10,goal,True,34.363598148008236,26.15980102772653,2.0,port,1.5733757756675013,0.8161009063666297
run8,10,collision:target,True,13.197377196457182,15.88735867255241,2.5,port,0.9296236295744937,0.3875171176102663
run11s0,5,collision:boundary,True,41.66016034034476,3.133700927083055,8.5,stbd,0.9609756207198782,0.14379446212342417
run11s0,5,goal,True,15.544896942220277,31.42781193143844,6.0,stbd,2.0520655781068102,0.9596092020267614
run11s0,5,collision:boundary,False,27.05730488836346,13.040561047504298,5.5,stbd,1.0030330400327907,0.749752852787967
run11s0,5,goal,False,34.43712055902563,44.58873596754313,7.0,stbd,1.115565228870522,0.8504697333291428
run11s0,5,goal,False,23.115444901611312,37.95189592125979,5.0,stbd,1.4986439963291531,0.9777012488113168
run11s0,5,goal,False,31.76694237691882,48.96278758734627,7.5,stbd,0.7156708694116383,0.807924517069149
run11s0,5,goal,False,32.13751300894285,37.97579555578301,5.5,stbd,1.172362558158053,0.900594287693288
run11s0,5,goal,True,15.855004229530607,25.145223502299814,16.0,port,2.6964948244002147,0.8458578166556329
run11s0,5,goal,False,26.88905342289675,31.73960131813749,3.5,stbd,1.6438151406429575,0.9882023539358903
run11s0,5,goal,True,18.991502014550207,34.45112523843534,3.5,stbd,1.9305685687531637,0.8843439212666608
run11s0,5,collision:boundary,False,35.59286694578324,0.0,8.0,stbd,1.860336154646755,0.6993919146490309
run11s0,5,goal,False,29.290212931952453,40.52015531987189,5.0,stbd,1.1370685755096963,0.9114214409402179
run11s0,5,goal,False,17.038935782018115,40.18019790271427,3.5,stbd,1.2834813646737513,0.951955302024621
run11s0,5,goal,True,17.16143997956874,24.878985989158764,3.5,stbd,2.6071790522115372,0.863275487422805
run11s0,5,collision:boundary,False,37.163589809225954,0.0,6.0,stbd,2.256937457887551,0.7969663355311497
run11s0,5,goal,True,18.78116159701554,28.518892175068345,4.5,stbd,2.3162393676390978,0.853468454748958
run11s0,5,collision:boundary,False,26.42971554724909,2.0581936988160123,4.0,stbd,1.0537922651964424,0.9190047683562228
run11s0,5,collision:boundary,True,30.21075547152492,0.0,4.5,stbd,3.9122714647291734,0.4381319629566152
run11s0,5,goal,False,31.36048717855803,32.14268269600842,7.5,stbd,2.3208998789031887,0.7550403286414474
run11s0,5,goal,False,20.761141171063713,29.16480786727709,5.5,stbd,1.547134757024203,0.9936074589822183
run11s0,6,collision:boundary,True,28.170755665782167,11.36958698565968,4.5,stbd,1.3488710040791807,0.9569342287046032
run11s0,6,goal,True,21.43232427411985,26.48294877814203,3.5,stbd,2.3864571949732003,0.8939508087540404
run11s0,6,goal,False,29.222725134798253,49.319651826870654,4.5,stbd,1.0871644804552285,0.9108859648106493
run11s0,6,goal,True,29.35745068877958,42.489303473096356,5.0,stbd,1.173470329772609,0.9695293029674935
run11s0,5,goal,False,18.93767522145552,32.985538721192995,4.0,stbd,1.5069980393719586,0.9936128923313406
run11s0,6,collision:target,False,29.32759727906796,0.0,6.0,stbd,0.7920476863155199,0.8140255796736178
run11s0,6,goal,False,28.184268981871355,38.278871535717485,3.5,stbd,1.2014252011647681,0.9332870783645505
run11s0,6,goal,True,9.557289866952061,14.687656567226327,16.5,port,2.6067940306997643,0.9092237549551401
run11s0,6,goal,True,29.555768900193755,32.01206761905763,4.0,stbd,1.8953288759935378,0.9129745696802171
run11s0,6,goal,True,21.363058466868154,37.48052240744124,3.5,stbd,2.075433895936443,0.8800053661552606
run11s0,6,collision:target,True,36.66133144217295,0.12998704490109958,5.5,stbd,1.7604924213617006,0.8658276336314706
run11s0,6,goal,False,33.66425347702261,40.619125125152664,4.5,stbd,1.377807077455028,0.8704170556926475
run11s0,5,goal,False,26.462881781274007,41.84606190009225,7.0,stbd,1.4308790983215969,0.9638189651874433
run11s0,6,goal,True,19.732921765614805,20.415845769689554,2.5,stbd,2.755828380038604,0.7720644335979534
run11s0,6,collision:target,False,40.85573148781981,2.899587815330733,4.0,stbd,1.8377787993501842,0.1666170392891811
run11s0,6,goal,True,20.729177493219794,28.09902702700191,4.0,stbd,2.5553070570587333,0.8147300437248989
run11s0,6,collision:boundary,False,33.04983613432617,20.428628259960306,5.0,stbd,1.1105589220212082,0.9110414819413301
run11s0,6,collision:target,False,30.79746565672488,0.0,4.0,stbd,1.858046890445782,0.18047607396217014
run11s0,6,goal,False,29.50487170314352,31.15081849365822,5.0,stbd,2.577805403070188,0.7923941561920346
run11s0,6,goal,False,22.94735172103657,30.382723297111056,6.0,stbd,1.6325029710285115,0.9829873768481151
run11s0,7,goal,True,27.840665063592525,44.92645006225786,4.0,stbd,1.473377137116673,0.9602754856502291
run11s0,7,goal,True,20.75517194988396,26.950037252136553,3.5,stbd,2.4343078929640614,0.8288829995856872
run11s0,7,goal,True,39.5179234993937,68.32166508008856,4.5,stbd,1.1588943492114117,0.8053163250135128
run11s0,7,goal,True,35.398542376122236,40.15597061517127,5.5,stbd,1.402950901038841,0.8372045743425541
run11s0,6,goal,True,25.455979014401493,36.812040396418126,3.5,stbd,1.6586397469096532,0.9708670194757973
run11s0,7,collision:target,True,34.65736503864403,0.0,4.5,stbd,1.7722890386698356,0.17587625920017944
run11s0,7,goal,False,33.619897481092096,37.84659051392953,3.5,stbd,1.4230329766152103,0.8809123474056858
run11s0,7,goal,True,9.059421156470279,14.042658337395324,17.0,port,2.717915872965524,0.8939562921203162
run11s0,7,collision:target,True,36.42693858429533,0.0,3.5,stbd,1.6312935434095295,0.8658405394981522
run11s0,7,goal,True,25.20105818438566,32.646651559476595,3.0,stbd,2.329942518402779,0.8225262842673284
run11s0,7,collision:target,True,32.580503826613665,0.0,5.0,stbd,1.8718202715320391,0.5102137944901194
run11s0,7,goal,True,36.53762530014592,38.00727134693386,4.5,stbd,1.3273898440958471,0.8601795006750776
run11s0,6,collision:target,False,20.24266729887634,4.175708832752207,10.5,stbd,1.7853886317051262,0.1991970432137045
run11s0,7,goal,True,33.89586854876188,30.65632374758036,3.0,stbd,3.0545256708233497,0.7778699373368182
run11s0,7,collision:target,True,32.94212032605071,0.0,3.5,stbd,0.785207616308749,0.4717255293598378
run11s0,7,goal,True,22.62028620072587,24.309950435639394,3.5,stbd,2.614834285589179,0.7839298788729876
run11s0,7,goal,True,31.510898136585297,38.41965362805331,3.5,stbd,1.506401999585059,0.8965080211424238
run11s0,7,collision:boundary,False,25.45781675894628,0.0,4.0,stbd,0.80767350248977,0.8046364726828054
run11s0,7,goal,True,28.199218901976167,26.138054826411917,6.0,stbd,2.6097597730716724,0.723608592443459
run11s0,7,goal,True,25.208403417171724,32.61318936127793,5.5,stbd,2.0130889184537506,0.8210785351451816
run11s0,8,goal,True,42.57628253905932,45.24595871606948,9.0,stbd,1.3387723769697786,0.8776674920371853
run11s0,8,goal,True,22.088586467175844,29.807331915141845,3.0,stbd,2.455314310560931,0.8422244381203542
run11s0,8,goal,True,42.48215808708596,56.38593511977382,4.5,stbd,1.328497150137919,0.9009637083987545
run11s0,8,goal,True,37.266306346522526,42.37585233659354,4.5,stbd,1.58143401937746,0.8121734432112441
run11s0,7,goal,True,28.50147717724974,32.75878998348094,3.5,stbd,2.0520951995412595,0.8518623771912357
run11s0,8,goal,True,39.108679443265146,47.93158887973061,4.0,stbd,1.2455300733680206,0.8533152013745842
run11s0,8,goal,True,36.45088915847896,42.478167441485596,3.0,stbd,1.3765925252774214,0.85306557123291
run11s0,8,goal,,12.19792570147817,13.326529478327984,10.5,stbd,2.9606399608604668,0.7324952485185542
run11s0,8,collision:target,True,36.7326365046375,0.0,4.0,stbd,1.7374158087647606,0.17627365023509836
run11s0,8,goal,True,25.23164336539392,30.98366400740906,3.0,stbd,2.389136230475596,0.8166453516466917
run11s0,8,collision:target,True,30.716338501524064,0.0,4.0,stbd,1.1789756483205753,0.3774301442127321
