scenario,file,class,mode,slant_deg,width_m,w_eff_at_cpa_m,start,goal,panels,crossing_side,dcpa_m,tcpa_s,speed_ratio,ct_deg,spawn_range_m,dcpa_below_floor,crossing_escapable,run8_final,run8_best,run7,reference
104,scenarios/104_no_target_basin.png,no_target,basin,-12.4,9.42,9.42,"[7.49, 2.0]","[3.09, 22.0]",3,,,,,,,,,goal,goal,goal,goal
105,scenarios/105_no_target_basin.png,no_target,basin,0.98,9.2,9.2,"[4.85, 2.0]","[5.2, 22.0]",3,,,,,,,,,goal,goal,goal,goal
106,scenarios/106_no_target_basin.png,no_target,basin,10.36,9.35,9.35,"[3.64, 2.0]","[7.29, 22.0]",2,,,,,,,,,goal,goal,goal,goal
107,scenarios/107_no_target_basin.png,no_target,basin,-4.32,9.23,9.23,"[7.03, 2.0]","[5.52, 22.0]",3,,,,,,,,,collision:obstacle,goal,goal,collision:boundary
108,scenarios/108_no_target_basin.png,no_target,basin,4.47,9.23,9.23,"[4.99, 2.0]","[6.55, 22.0]",1,,,,,,,,,goal,goal,goal,goal
109,scenarios/109_no_target_basin.png,no_target,basin,0.37,9.2,9.2,"[4.01, 2.0]","[4.14, 22.0]",2,,,,,,,,,goal,goal,goal,goal
110,scenarios/110_no_target_basin.png,no_target,basin,9.9,9.34,9.34,"[3.1, 2.0]","[6.59, 22.0]",2,,,,,,,,,goal,goal,goal,goal
111,scenarios/111_no_target_basin.png,no_target,basin,-1.17,9.2,9.2,"[5.92, 2.0]","[5.51, 22.0]",2,,,,,,,,,goal,goal,goal,goal
112,scenarios/112_no_target_basin.png,no_target,basin,-4.06,9.22,9.22,"[5.21, 2.0]","[3.79, 22.0]",0,,,,,,,,,goal,goal,goal,goal
113,scenarios/113_no_target_basin.png,no_target,basin,0.94,9.2,9.2,"[4.23, 2.0]","[4.55, 22.0]",0,,,,,,,,,goal,goal,goal,goal
114,scenarios/114_no_target_basin.png,no_target,basin,8.58,9.3,9.3,"[2.99, 2.0]","[6.0, 22.0]",3,,,,,,,,,goal,goal,goal,goal
115,scenarios/115_no_target_basin.png,no_target,basin,-2.03,9.21,9.21,"[5.44, 2.0]","[4.73, 22.0]",0,,,,,,,,,goal,goal,goal,goal
116,scenarios/116_no_target_basin.png,no_target,basin,12.58,9.43,9.43,"[2.98, 2.0]","[7.44, 22.0]",0,,,,,,,,,goal,goal,goal,goal
117,scenarios/117_no_target_basin.png,no_target,basin,2.56,9.21,9.21,"[2.72, 2.0]","[3.62, 22.0]",2,,,,,,,,,goal,goal,goal,goal
118,scenarios/118_no_target_basin.png,no_target,basin,-1.97,9.21,9.21,"[3.56, 2.0]","[2.88, 22.0]",1,,,,,,,,,goal,goal,goal,goal
119,scenarios/119_no_target_basin.png,no_target,basin,9.94,9.34,9.34,"[3.01, 2.0]","[6.51, 22.0]",1,,,,,,,,,goal,goal,goal,goal
