src,case,side,response,engaged,sense,trigger_step,steps_after,outcome,min_range,vport_frames,heading_dev_3s,pre_return,dcpa,tcpa,ct,u_pf,d_pf,u_prog,d_prog,u_exist,d_exist,u_smooth,d_smooth,u_obs,d_obs,u_bnd,d_bnd,u_dom,d_dom,u_col,d_col,u_terminal,d_terminal,u_total,d_total
dev,2,port,stand_on,True,-1,3.0,13,target,1.4791883584436905,0,-0.44273459731186904,2.307676202942061,1.4601377428364724,8.377208724734128,82.39726623201037,-0.015667038423046065,-0.011733363089417331,19.177881736495067,14.434289810726387,-3.25,-2.4467453872682734,-0.03513068479635344,-0.025094450055510264,0.0,0.0,0.0,0.0,-7.182805351443221,-4.219527049496982,-2.3507894398980946,-1.7732485518338534,-300.0,-164.14699271722827,-293.65651077806564,-158.18905170824593
dev,2,port,compliant_30,True,-1,3.0,69,goal,1.9859580952522478,0,-18.967073623469048,2.307676202942061,1.4601377428364724,8.377208724734128,82.39726623201037,-43.01807424600861,-8.425935960612584,96.65409663367456,27.080930536230372,-17.25,-4.941858199159086,-4.351358663719365,-2.23828865697148,0.0,0.0,0.0,0.0,-0.19715989477080342,-0.13739467530296268,-0.31153119937489115,-0.22586976401361875,100.0,3.2806973148697316,131.5259726298009,14.392280595040374
dev,2,port,wrong_30,True,-1,3.0,15,target,1.3257089406361857,0,18.812021541348997,2.307676202942061,1.4601377428364724,8.377208724734128,82.39726623201037,-4.753432985371846,-2.7532341506329168,19.914312679462697,14.652371606868744,-3.75,-2.7005401828309017,-2.4477125881166897,-1.6456867504115262,0.0,0.0,0.0,0.0,-3.6885579243791167,-1.8544076006247376,-57.41144925217041,-35.57502244013352,-300.0,-148.451597880062,-352.1368400705754,-178.32811739782687
dev,2,port,compliant_60,True,-1,3.0,83,goal,2.0057686521844094,0,-18.967073623469048,2.307676202942061,1.4601377428364724,8.377208724734128,82.39726623201037,-115.83191141239864,-16.298842144260846,103.08256425047554,25.46867810927848,-20.75,-5.022253005137024,-2.655282005435415,-0.8341494180116824,0.0,0.0,-38.93501975713356,-0.8428165878252846,-0.1933865270699794,-0.13486535909254294,-0.1551216512149523,-0.1402892408045706,100.0,1.6234158618441348,24.561842897222988,3.8188782159906633
dev,2,port,wrong_60,True,-1,3.0,17,target,1.2846461257416846,0,18.812021541348997,2.307676202942061,1.4601377428364724,8.377208724734128,82.39726623201037,-8.590873480502523,-4.581398358738211,21.210242258210737,15.22082229850256,-4.25,-2.9300676466682667,-1.0912100657944155,-0.6018861920879652,0.0,0.0,0.0,0.0,-3.6156660029697214,-1.673585796268926,-70.73315784294981,-41.322122989265495,-300.0,-134.25696412914309,-367.0706651340057,-170.14520281366939
dev,3,port,stand_on,False,0,,0,target,1.3923856471774323,0,,-291.71206898232657,0.8128280920360667,10.13576215092496,70.71932239246014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dev,3,port,compliant_30,False,0,,0,target,1.3923856471774323,0,,-291.71206898232657,0.8128280920360667,10.13576215092496,70.71932239246014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dev,3,port,wrong_30,False,0,,0,target,1.3923856471774323,0,,-291.71206898232657,0.8128280920360667,10.13576215092496,70.71932239246014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dev,3,port,compliant_60,False,0,,0,target,1.3923856471774323,0,,-291.71206898232657,0.8128280920360667,10.13576215092496,70.71932239246014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dev,3,port,wrong_60,False,0,,0,target,1.3923856471774323,0,,-291.71206898232657,0.8128280920360667,10.13576215092496,70.71932239246014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dev,4,starboard,stand_on,False,0,,0,goal,2.509249648765573,0,,179.84576260522914,2.4658059993829493,8.556858237844443,249.48839528708197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dev,4,starboard,compliant_30,False,0,,0,goal,2.509249648765573,0,,179.84576260522914,2.4658059993829493,8.556858237844443,249.48839528708197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dev,4,starboard,wrong_30,False,0,,0,goal,2.509249648765573,0,,179.84576260522914,2.4658059993829493,8.556858237844443,249.48839528708197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dev,4,starboard,compliant_60,False,0,,0,goal,2.509249648765573,0,,179.84576260522914,2.4658059993829493,8.556858237844443,249.48839528708197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dev,4,starboard,wrong_60,False,0,,0,goal,2.509249648765573,0,,179.84576260522914,2.4658059993829493,8.556858237844443,249.48839528708197,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
dev,5,starboard,stand_on,True,1,3.0,13,target,1.7503996417243397,0,0.44536940719294194,2.2681363971852457,0.011672841727625172,9.689499897718894,217.56740935493644,-0.01926266827710954,-0.014898867676590205,19.21156621572326,14.52265386265272,-3.25,-2.4467453872682734,-0.03319930814494535,-0.02410475777933953,0.0,0.0,0.0,0.0,-1.6552097271371022,-0.9156144670915703,-34.581960563634695,-25.726584816302914,-300.0,-164.14699271722827,-320.3280660514706,-178.75228715069423
dev,5,starboard,compliant_30,True,1,3.0,69,goal,1.1070731454387288,0,19.971582147155658,2.2681363971852457,0.011672841727625172,9.689499897718894,217.56740935493644,-65.04964821894087,-12.262999713828785,97.78656509798564,27.272122389255188,-17.25,-4.941858199159086,-4.725643703867805,-2.336511929416022,0.0,0.0,0.0,0.0,-0.384173792038964,-0.1828260187470806,-16.81960249846525,-12.557686898013245,100.0,3.2806973148697316,93.55749688467274,-1.7290630550393007
dev,5,starboard,wrong_30,True,1,3.0,17,target,1.1189751268506343,0,-19.836882430448895,2.2681363971852457,0.011672841727625172,9.689499897718894,217.56740935493644,-5.39229308198581,-3.0599614318053114,22.00195027009493,15.680977930990208,-4.25,-2.9300676466682667,-3.2777185615964317,-2.0425952743256928,0.0,0.0,0.0,0.0,-0.1477547755239322,-0.06636281435946573,-114.02054547846586,-72.93241512343889,-300.0,-134.25696412914309,-405.0863616274771,-199.6073884887505
dev,5,starboard,compliant_60,True,1,3.0,47,other,1.3030535451608583,0,19.971582147155658,2.2681363971852457,0.011672841727625172,9.689499897718894,217.56740935493644,-68.41090620773848,-17.462883995302057,54.783976791301775,22.591367298908132,-11.75,-4.620247035021842,-2.31562402380096,-0.8746328035178921,0.0,0.0,-75.99666370755318,-9.139343433857956,0.0,0.0,-9.962151575270505,-9.037877630843347,-300.0,-29.731444655662333,-413.65136872306135,-48.2750622552973
dev,5,starboard,wrong_60,True,1,3.0,17,target,1.3299227290757685,0,-19.836882430448895,2.2681363971852457,0.011672841727625172,9.689499897718894,217.56740935493644,-7.302289031160261,-4.010920963073417,20.935898008070605,15.148813215313469,-4.25,-2.9300676466682667,-0.7614271505306505,-0.44364840997131744,0.0,0.0,0.0,0.0,0.0,0.0,-107.73518165760596,-69.7760398960184,-300.0,-134.25696412914309,-399.11299983122626,-196.26882782956102
dev,6,port,stand_on,True,-1,3.0,66,goal,2.4026930488924227,0,-0.4494879164394092,3.2826743174321606,2.4529873854013067,9.062939829678658,93.3183488559975,-4.010568023802069,-1.0183565464127398,97.06065249644715,29.00707211977472,-16.5,-4.915963137984165,-0.13300154324091468,-0.046307664495463294,0.0,0.0,0.0,0.0,0.0,0.0,-12.785849418599888,-10.242803166867864,100.0,3.8145054892676895,163.6312335108043,16.59814709328218
dev,6,port,compliant_30,True,-1,3.0,69,goal,1.549586925653223,0,-21.215477508903973,3.2826743174321606,2.4529873854013067,9.062939829678658,93.3183488559975,-40.26261527580502,-8.66809615738552,97.24333580325266,27.444882263542336,-17.25,-4.941858199159086,-4.084443724877912,-2.121518904861733,0.0,0.0,0.0,0.0,0.0,0.0,-17.590708207258338,-12.158991062965224,100.0,3.2806973148697316,118.0555685953114,2.835115254040504
dev,6,port,wrong_30,True,-1,3.0,69,goal,3.0006477708241923,0,21.130167746581748,3.2826743174321606,2.4529873854013067,9.062939829678658,93.3183488559975,-99.1886091840826,-19.041657418462602,97.2479269617806,27.44788295543999,-17.25,-4.941858199159086,-4.090564701803102,-2.1262108335559997,0.0,0.0,-4.870150425889682,-1.2667982789100294,0.0,0.0,-45.55304372934779,-32.279217782156564,100.0,3.2806973148697316,26.29555892065744,-28.927162241934564
dev,6,port,compliant_60,True,-1,3.0,93,other,1.3405334641292797,0,-21.215477508903973,3.2826743174321606,2.4529873854013067,9.062939829678658,93.3183488559975,-124.65888938726279,-16.9878566788434,103.00438498040785,25.682450758477962,-23.25,-5.05335956119959,-2.3575045011456295,-0.7125663665994805,0.0,0.0,-101.36095347689695,-1.158592832639235,0.0,0.0,-14.319112997756452,-10.360216138007369,-300.0,-2.9465293377090407,-462.94207538265397,-11.536670156520152
dev,6,port,wrong_60,True,-1,3.0,17,other,3.0631332759980108,0,21.130167746581748,3.2826743174321606,2.4529873854013067,9.062939829678658,93.3183488559975,-11.017592881986,-5.973142700575808,21.89153803780956,15.574364431195463,-4.25,-2.9300676466682667,-0.6341828972982739,-0.3901947445782958,0.0,0.0,-22.300612715757914,-10.169034236267654,0.0,0.0,-42.07960376789695,-30.38324171897513,-300.0,-134.25696412914309,-358.3904542251296,-168.52828074501278
dev,7,port,stand_on,True,-1,4.0,15,target,1.5119560495237954,0,0.0,3.505306866068736,0.17000430075675282,11.63413261725211,79.82436139105627,0.0,0.0,21.604704786723506,15.760214413701188,-3.75,-2.7005401828309017,0.0,0.0,0.0,0.0,0.0,0.0,-0.07801049470575042,-0.03863185150506224,-51.56146133232229,-36.536042347245704,-300.0,-148.451597880062,-333.78476704030453,-171.96659784794247
dev,7,port,compliant_30,True,-1,4.0,15,target,1.325599079454343,0,-20.366824600699147,3.505306866068736,0.17000430075675282,11.63413261725211,79.82436139105627,-4.409515401683544,-2.575539749706917,20.434963623814774,15.011125902954754,-3.75,-2.7005401828309017,-2.637142802732345,-1.7633241049250081,0.0,0.0,0.0,0.0,-7.782663674510896,-4.154598436972662,-26.111572744473065,-19.045828592149626,-300.0,-148.451597880062,-324.2559309995851,-163.68030304369236
dev,7,port,wrong_30,True,-1,4.0,21,target,1.221101002738146,0,20.36682460069912,3.505306866068736,0.17000430075675282,11.63413261725211,79.82436139105627,-10.010899690607564,-4.882649743324391,28.83364764369445,18.526637374238447,-5.25,-3.3253802757266895,-3.8459027818378004,-2.2972261626077524,0.0,0.0,0.0,0.0,-0.02675271516982368,-0.009792358969026386,-166.72491456082736,-98.75276369305298,-300.0,-109.80970238196865,-457.02482210474807,-200.55087724141106
dev,7,port,compliant_60,True,-1,4.0,16,target,1.324589707687971,0,-20.366824600699147,3.505306866068736,0.17000430075675282,11.63413261725211,79.82436139105627,-6.702445584779305,-3.7200402533225687,20.64521599483274,15.080340559850443,-4.0,-2.818186843227314,-0.5725099823173707,-0.35384580836894886,0.0,0.0,0.0,0.0,-2.0619972163280273,-1.1683108367922954,-13.838916613779991,-12.449090299280186,-300.0,-141.17599247569487,-306.53065340237197,-146.60512595683574
dev,7,port,wrong_60,True,-1,4.0,27,other,1.6923712454287527,0,20.36682460069912,3.505306866068736,0.17000430075675282,11.63413261725211,79.82436139105627,-27.6441865493728,-10.932310296304069,30.365481441548692,18.621354107196197,-6.75,-3.7875747257496717,-0.7416585868906012,-0.42415011211261183,0.0,0.0,-107.75470038411349,-34.301281454317675,0.0,0.0,-206.8715763854383,-110.66441138788292,-300.0,-81.22627785359812,-619.3966404642665,-222.71465172276885
