idx,policy,side,width,dcpa,tcpa,k,ct,range0,hit,label_escapable,kind,min_range
2,turn60,port,6.835819471068554,1.5587616535741629,11.975255248969773,0.7813639522810637,95.48905312983425,9.003949677606732,False,True,boundary,4.020489550479862
3,follower,starboard,8.158253975323385,0.44228992836946146,8.616306183976672,0.8823605439341616,258.61746858688855,7.0280253944509115,True,True,target,1.4023108038596395
3,stop,starboard,8.158253975323385,0.44228992836946146,8.616306183976672,0.8823605439341616,258.61746858688855,7.0280253944509115,True,True,target,1.4695497487619211
3,slow,starboard,8.158253975323385,0.44228992836946146,8.616306183976672,0.8823605439341616,258.61746858688855,7.0280253944509115,True,True,target,1.309135098815872
3,turn30,starboard,8.158253975323385,0.44228992836946146,8.616306183976672,0.8823605439341616,258.61746858688855,7.0280253944509115,False,True,boundary,1.5873174100600735
3,turn60,starboard,8.158253975323385,0.44228992836946146,8.616306183976672,0.8823605439341616,258.61746858688855,7.0280253944509115,False,True,boundary,1.914172033710966
4,follower,port,9.79861013596842,0.44328075371819986,12.373127689437545,0.8977000770435755,82.03474253870037,8.629594364975587,True,True,target,1.3397862637326992
4,stop,port,9.79861013596842,0.44328075371819986,12.373127689437545,0.8977000770435755,82.03474253870037,8.629594364975587,False,True,,2.704181787511801
4,slow,port,9.79861013596842,0.44328075371819986,12.373127689437545,0.8977000770435755,82.03474253870037,8.629594364975587,False,True,,1.976836011429553
4,turn30,port,9.79861013596842,0.44328075371819986,12.373127689437545,0.8977000770435755,82.03474253870037,8.629594364975587,False,True,,2.0100142690115907
4,turn60,port,9.79861013596842,0.44328075371819986,12.373127689437545,0.8977000770435755,82.03474253870037,8.629594364975587,False,True,boundary,2.8128939503731436
5,follower,port,6.794447015498243,0.5473514842917628,9.177621224103127,1.0969549842704684,131.07964188304754,9.795744162702984,True,True,target,1.5896716848794177
5,stop,port,6.794447015498243,0.5473514842917628,9.177621224103127,1.0969549842704684,131.07964188304754,9.795744162702984,False,True,,1.5369811155908404
5,slow,port,6.794447015498243,0.5473514842917628,9.177621224103127,1.0969549842704684,131.07964188304754,9.795744162702984,True,True,target,1.2657561453435449
5,turn30,port,6.794447015498243,0.5473514842917628,9.177621224103127,1.0969549842704684,131.07964188304754,9.795744162702984,False,True,boundary,1.9693412517113318
5,turn60,port,6.794447015498243,0.5473514842917628,9.177621224103127,1.0969549842704684,131.07964188304754,9.795744162702984,False,True,boundary,2.4569987046359576
6,follower,starboard,4.54979421904873,1.3867036468224696,8.683724357143424,0.9155445928868629,202.19120555738766,9.216678941711487,False,True,,1.398563781845087
6,stop,starboard,4.54979421904873,1.3867036468224696,8.683724357143424,0.9155445928868629,202.19120555738766,9.216678941711487,False,True,,1.0185585270523487
