idx,policy,side,width,dcpa,tcpa,k,ct,range0,hit,kind,min_range
4,stop,port,9.472351939506785,0.02908361676498966,13.53005959615351,0.6072866788078217,91.03611382454581,8.906578021226222,False,,2.366746640939802
4,slow,port,9.472351939506785,0.02908361676498966,13.53005959615351,0.6072866788078217,91.03611382454581,8.906578021226222,True,target,1.4940054129589466
4,turn30,port,9.472351939506785,0.02908361676498966,13.53005959615351,0.6072866788078217,91.03611382454581,8.906578021226222,False,,2.1366421889930893
4,turn60,port,9.472351939506785,0.02908361676498966,13.53005959615351,0.6072866788078217,91.03611382454581,8.906578021226222,False,boundary,3.185150669776107
5,follower,starboard,6.791254452278463,1.3867036468224696,8.683724357143424,0.9155445928868629,202.19120555738766,9.216678941711487,False,,1.399058559647097
5,stop,starboard,6.791254452278463,1.3867036468224696,8.683724357143424,0.9155445928868629,202.19120555738766,9.216678941711487,False,,0.9871493839255105
5,slow,starboard,6.791254452278463,1.3867036468224696,8.683724357143424,0.9155445928868629,202.19120555738766,9.216678941711487,False,,1.1227395790547183
5,turn30,starboard,6.791254452278463,1.3867036468224696,8.683724357143424,0.9155445928868629,202.19120555738766,9.216678941711487,True,target,1.869157088997859
5,turn60,starboard,6.791254452278463,1.3867036468224696,8.683724357143424,0.9155445928868629,202.19120555738766,9.216678941711487,True,target,1.34422791375561
6,follower,port,7.618572716555467,0.2983096088221926,9.29664544358041,0.922733019294232,73.39891847527933,5.978922576436344,True,target,1.349965034011198
6,stop,port,7.618572716555467,0.2983096088221926,9.29664544358041,0.922733019294232,73.39891847527933,5.978922576436344,False,,1.8846575767870406
6,slow,port,7.618572716555467,0.2983096088221926,9.29664544358041,0.922733019294232,73.39891847527933,5.978922576436344,True,target,1.4619480407904208
6,turn30,port,7.618572716555467,0.2983096088221926,9.29664544358041,0.922733019294232,73.39891847527933,5.978922576436344,True,target,1.4800656848226117
6,turn60,port,7.618572716555467,0.2983096088221926,9.29664544358041,0.922733019294232,73.39891847527933,5.978922576436344,False,boundary,1.7427062135465263
7,follower,port,8.61263148724731,1.063209475296138,10.090223471869812,1.0249098325422827,68.91040871652827,6.540455765471151,True,target,1.2892087720394787
7,stop,port,8.61263148724731,1.063209475296138,10.090223471869812,1.0249098325422827,68.91040871652827,6.540455765471151,True,target,1.401033740280277
7,slow,port,8.61263148724731,1.063209475296138,10.090223471869812,1.0249098325422827,68.91040871652827,6.540455765471151,True,target,1.3253641494583777
7,turn30,port,8.61263148724731,1.063209475296138,10.090223471869812,1.0249098325422827,68.91040871652827,6.540455765471151,True,target,1.6101495365342005
7,turn60,port,8.61263148724731,1.063209475296138,10.090223471869812,1.0249098325422827,68.91040871652827,6.540455765471151,True,target,1.5234298511712978
8,follower,port,7.715636756725871,0.015920309608921934,7.988639745503426,1.197360553168221,125.05212011493529,8.702870325187762,True,target,1.7480362484653673
8,stop,port,7.715636756725871,0.015920309608921934,7.988639745503426,1.197360553168221,125.05212011493529,8.702870325187762,True,target,1.5929548173770365
8,slow,port,7.715636756725871,0.015920309608921934,7.988639745503426,1.197360553168221,125.05212011493529,8.702870325187762,True,target,1.6131260346012488
8,turn30,port,7.715636756725871,0.015920309608921934,7.988639745503426,1.197360553168221,125.05212011493529,8.702870325187762,True,target,1.1171396983664552
8,turn60,port,7.715636756725871,0.015920309608921934,7.988639745503426,1.197360553168221,125.05212011493529,8.702870325187762,False,boundary,1.382968989451516
9,follower,starboard,7.643066319700785,0.9005926304107195,7.953183002116903,0.8744594352762242,232.04698227358332,7.535791979051938,True,target,1.1049009275608805
9,stop,starboard,7.643066319700785,0.9005926304107195,7.953183002116903,0.8744594352762242,232.04698227358332,7.535791979051938,True,target,1.665143330576025
9,slow,starboard,7.643066319700785,0.9005926304107195,7.953183002116903,0.8744594352762242,232.04698227358332,7.535791979051938,True,target,1.473745277226309
9,turn30,starboard,7.643066319700785,0.9005926304107195,7.953183002116903,0.8744594352762242,232.04698227358332,7.535791979051938,True,target,1.768448227566966
