policy,class,width,dcpa_m,ct_deg,crossing_side,dcpa_below_floor,crossing_escapable,outcome,collided,collided_target,steps,return,colregs_integral,frames_v_port,frames_v_bow,frames_v_side,frames_v_hold,frames_v_r8,integral_v_port,integral_v_bow,integral_v_side,integral_v_hold,integral_v_r8,mean_speed,max_speed,min_target_range,rms_cte,estops,estop_reasons,estop_then_target_collision,first_engaged_cls,engaged_frames,p_port_sense,ever_port_sense_non_overtaking,r_path_max,set,case_id,scenario,stratum,supervisor,behaviour
model,overtaking,8.985337490196263,1.1430350725217666,4.322931523118935,,,,goal,False,False,64,80.26609426421842,-17.053422631887535,31,0,0,0,0,3.4451358852298064,0.0,0.0,0.0,0.0,0.6099439019820803,0.6879871735320782,3.8157101184098994,1.9580149382687868,0,,False,overtaking,44,0.0,False,0.0,tier_b,B-21-04,424,channel-wide,off,nc
model,overtaking,7.624133937659979,0.2913564863429998,-9.987121092706577,,,,goal,False,False,63,12.77352284463352,-73.80464867746097,39,14,0,0,9,13.113257701921246,0.55949342367731,0.0,0.0,1.3610068012773642,0.6138178745305757,0.7017361044029947,2.3341386770195096,1.9809501321303025,0,,False,overtaking,50,0.0,False,0.0,tier_b,B-21-05,425,channel-wide,off,nc
model,overtaking,8.421515852901232,0.8560978279106035,-1.6080366736785194,,,,goal,False,False,64,56.2249110930352,-21.549012002913127,44,0,0,0,0,4.353335758164269,0.0,0.0,0.0,0.0,0.6140067606537929,0.7299760692589468,3.5402458863635933,2.1627887017397183,0,,False,overtaking,49,0.0,False,0.0,tier_b,B-21-06,426,channel-wide,off,nc
model,overtaking,9.092767431169143,0.6533809699687441,-5.724143649145588,,,,goal,False,False,73,-66.01307445501406,-152.73642189589447,58,16,0,0,28,24.83635220906505,2.3099189136192733,0.0,0.0,4.080528853023782,0.5752409857588792,0.6706273002348763,2.05216737126068,2.326710247790215,0,,False,overtaking,68,0.0,False,0.0,tier_b,B-21-07,427,channel-wide,off,nc
model,overtaking,9.296261209093764,0.7756114460540446,8.13760132006999,,,,goal,False,False,68,16.567074172927533,-67.58755685858316,33,0,0,0,0,13.654051890622863,0.0,0.0,0.0,0.0,0.5780333856852937,0.6558230126227638,3.854030084703538,2.3060549770201435,0,,False,overtaking,51,0.0,False,0.0,tier_b,B-21-08,428,channel-wide,off,nc
model,overtaking,10.353620285104466,1.1382303405482792,-1.232848140727043,,,,goal,False,False,132,-110.39060220006252,-47.32975333410029,14,1,55,0,0,1.5383498931957005,0.2173460439304254,10.733071790368324,0.0,0.0,0.2843666227088915,0.5450157163818605,3.8584915963247792,0.1940088485546912,0,,False,overtaking,94,0.0,False,0.0,tier_b,B-21-09,429,channel-wide,off,nc
model,overtaking,9.017789531701837,0.3608644895826651,6.902361284648158,,,,goal,False,False,81,-20.30990409036976,-98.20251421431136,39,7,9,0,4,17.29217297142344,0.5789882246933705,2.242914301890731,0.0,0.370172179272563,0.5575147493366619,0.6791370079357463,2.747326566641977,2.068892648092437,0,,False,overtaking,69,0.0,False,0.0,tier_b,B-21-10,430,channel-wide,off,nc
model,overtaking,9.667097571254333,0.1345952313955669,-4.98515215083321,,,,goal,False,False,66,52.48338085082292,-31.35561885921524,23,0,0,0,1,6.158718763322131,0.0,0.0,0.0,0.1933246623934847,0.6001724148393764,0.7409273031673722,3.122713217111296,2.331788823568905,0,,False,overtaking,36,0.0,False,0.0,tier_b,B-21-11,431,channel-wide,off,nc
model,overtaking,7.986782007228162,0.0008371971187062,3.7955657573828674,,,,goal,False,False,66,36.24259321313614,-48.194468276995565,35,0,0,0,0,9.73625621757486,0.0,0.0,0.0,0.0,0.5915440975829093,0.6813898819118136,2.930586823066781,2.27559894142243,0,,False,overtaking,56,0.0,False,0.0,tier_b,B-21-12,432,channel-wide,off,nc
model,overtaking,7.255804114526941,1.525241379421712,-6.500071617480816,,,,goal,False,False,63,72.75597409015343,-18.96234264918564,40,0,0,0,0,3.8307762927647753,0.0,0.0,0.0,0.0,0.6189813257120784,0.683770587337878,3.376812504445277,1.6791894966629106,0,,False,overtaking,44,0.0,False,0.0,tier_b,B-21-13,433,channel-wide,off,nc
model,overtaking,9.987862266636014,0.560584205389552,3.053956886962389,,,,collision:boundary,True,False,103,-444.1244916707101,-84.91328343678745,34,9,19,0,11,9.9103915473681,1.6425674329624975,4.796198358329432,0.0,2.324404976481113,0.4479980732885317,0.5474122028657976,1.5409905976125282,1.314881966952539,0,,False,overtaking,91,0.0,False,0.0,tier_b,B-21-14,434,channel-wide,off,nc
model,overtaking,9.883911040969082,1.8880968108508605,3.8409567095622874,,,,collision:target,True,True,100,-683.1995053060984,-257.53385894819763,72,12,0,0,8,47.33337496312635,3.8818767677526633,0.0,0.0,0.9716889985542044,0.4464028463670318,0.5603985595709515,1.1670273783726974,2.9838859345106097,0,,False,overtaking,72,0.0,False,0.0,tier_b,B-21-15,435,channel-wide,off,nc
model,overtaking,7.19528812386838,1.8932576976136384,-1.3394959825967163,,,,goal,False,False,116,-97.98113390910602,-94.41520123622688,21,1,55,0,4,7.892116320225612,0.0276104420371911,14.634442939989071,0.0,0.5619020397922927,0.3270045162215906,0.628749128799624,2.525400606399644,0.5468977508968992,0,,False,overtaking,90,0.0,False,0.0,tier_b,B-21-16,436,channel-wide,off,nc
model,overtaking,7.738069776104006,0.2784433353755646,-8.300198316240529,,,,goal,False,False,63,33.16487959603184,-51.9887082923808,38,3,0,0,2,10.444766174226404,0.0185971413741946,0.0,0.0,0.0433466400350777,0.6243528089440192,0.7264835206370365,2.918331178643912,2.048737635262572,0,,False,overtaking,49,0.0,False,0.0,tier_b,B-21-17,437,channel-wide,off,nc
model,overtaking,10.084461620184904,0.4205209528772882,0.9015131304951858,,,,collision:target,True,True,96,-497.5167321096524,-157.6476784682639,55,17,10,0,23,20.91854382795399,6.341654124651319,2.214027479673704,0.0,3.373078014520074,0.4936699234256756,0.5902604271712345,1.1829714290294917,1.9165825121640427,0,,False,overtaking,86,0.0,False,0.0,tier_b,B-21-18,438,channel-wide,off,nc
model,overtaking,9.547207582007758,0.7710360542284334,-4.574168504555141,,,,goal,False,False,66,43.60069200189978,-44.02581209015207,29,0,0,0,1,8.858437349661864,0.0,0.0,0.0,0.0392327131835234,0.5976912273182289,0.7029142449696074,4.004158930026327,2.3053336158961666,0,,False,overtaking,37,0.0,False,0.0,tier_b,B-21-19,439,channel-wide,off,nc
model,being_overtaken,9.176140960107354,1.9876231448331287,8.304486130195926,,False,,goal,False,False,90,-20.567241952437698,-8.33983915778973,0,0,0,4,0,0.0,0.0,0.0,2.0592195451332667,0.0,0.4383923022933179,0.6665215382739597,2.0178795171072044,1.772758823981745,0,,False,being_overtaken,18,0.0,False,0.0,tier_b,B-22-00,440,channel-wide,off,cv
model,being_overtaken,7.787487590991263,1.7160441962329505,2.1642800805827385,,False,,goal,False,False,65,89.53578855928512,-40.329388734943215,0,0,0,10,0,0.0,0.0,0.0,9.957873761714374,0.0,0.5908962854110799,0.7854968803549414,1.5927588418638785,0.6086800653163141,0,,False,being_overtaken,19,0.0,False,0.0,tier_b,B-22-01,441,channel-wide,off,cv
model,being_overtaken,7.830659890535026,1.8405923958576564,-3.566293229645105,,False,,goal,False,False,68,30.87593356693813,-29.779241510144285,7,0,1,14,0,0.1622807945890719,0.0,0.0244007791972226,7.132866363411945,0.0,0.5761857593993778,0.6802502708061406,3.0146495561226523,1.9091263343734604,0,,False,being_overtaken,22,0.0,False,0.0,tier_b,B-22-02,442,channel-wide,off,cv
model,being_overtaken,8.408735368317396,1.8561415582299683,0.7076318525954228,,False,,goal,False,False,71,37.952020347025645,-18.76668332977397,0,1,0,11,0,0.0,0.0738329141039422,0.0,4.543508741965297,0.0,0.5516245747682739,0.6837182023637133,2.908042522390712,1.5168286669306914,0,,False,being_overtaken,17,0.0,False,0.0,tier_b,B-22-03,443,channel-wide,off,cv
