config_id,is_default,episodes,success_rate,obstacle_collision_rate,border_collision_rate,timeout_rate,mean_rms_cte,mean_rms_cte_success,mean_min_obstacle_clearance,mean_min_border_clearance,mean_control_effort,mean_abs_rudder_rate,mean_completion_time_s,param_delta_lookahead,param_w_lookahead,param_max_los_deg,param_k_rep,param_c_threshold,param_rep_power,param_rep_sigma_deg,param_max_rep_deg,param_k_headon,param_headon_deg,param_side_tie,param_default_side,param_kp,param_ki,param_kd,param_integral_limit,param_throttle_base,param_k_speed_obs,param_k_speed_head,param_min_throttle,param_bearing_mode
46,0,100,0.36,0.17,0.47,0.0,1.1360793282045538,0.501112958421183,0.23994959720625814,0.49505203250219815,1.1412119588448346,2.8020622971975953,19.61111111111111,13.382430095565299,0.19819694815605846,58.565645558060524,15.503281365110205,0.44893614859892894,1.491333542832716,41.1023126600606,76.92706708556598,54.06389551289118,19.394887316051424,0.27817609655438164,-1.0,0.011318510010914893,0.0003629597512172333,0.008358970634778475,398.51655216269995,0.24422453148904008,2.1835961483289728,0.8416123531340476,,actual
47,0,100,0.52,0.45,0.03,0.0,0.58521479391432,0.6378313196832812,0.10857324392036538,0.9570871349679266,0.6591174237406343,2.731807938913799,20.015384615384615,11.74236514416907,0.30138994488043686,48.10372202397849,5.116436458809759,0.34091507511407854,2.795113425704502,65.025999465419,45.65338564587261,60.30713923504967,18.099320817244365,0.7766378577598017,-1.0,0.011606498620844152,0.0002796532251496905,0.002957077209334016,179.1882182767548,0.5158148191308405,1.7837072974752344,1.3023104364820048,,actual
48,0,100,0.58,0.24,0.18,0.0,0.9407085110433197,0.8182643598196555,0.23800235112314913,0.7997175176417533,1.0708964135170753,3.3589777131650713,20.76379310344828,9.784885618085845,0.19122481473345504,86.5597576086455,14.603284668055036,0.38804111539618824,1.1054908525613754,24.004263404641335,87.99445067648804,33.834149924975776,25.487531347989854,0.19422080704101483,1.0,0.01435101503605885,0.0005766773469083612,0.026110488736060537,235.0625044081401,0.5806357979311668,2.0602003955425388,0.9079470302740673,,actual
49,0,100,0.59,0.39,0.02,0.0,0.7912717127267179,1.083782981277404,0.22338410632314348,0.9689884797447545,2.471724592989558,8.25596919888539,20.2864406779661,6.4098432930100415,0.22484277752334134,77.57367390927028,51.315616077660984,0.5151787022366334,3.270952836191261,76.1094076208061,42.769208122912495,56.2978554264897,30.00916792230452,0.1503002137407316,1.0,0.031052089580614377,0.0013797278322965187,0.0314709917493639,170.29993698703558,0.6967497792928568,0.052403917836720826,0.5376943626165409,,actual
50,0,100,0.25,0.75,0.0,0.0,0.06313608377902953,0.06567996394317886,0.03999940606892584,0.9891575837035335,0.10925608873545085,1.4923703463206541,16.392,12.708783623455087,0.05685666176515844,48.828859110608086,13.93033683359099,0.6902892488485892,3.6645672035220693,64.44123738324537,83.34245213147375,43.19742556433066,21.922358911693095,0.09685207920219023,1.0,0.004558667962449815,0.0026066963482909867,0.03449536951585718,338.52150691568954,0.5476390451466328,0.16372653550854238,0.021844298532361917,,actual
51,0,100,0.26,0.74,0.0,0.0,0.08474293032215278,0.11037091212872438,0.04080302380903384,0.9888726233018166,0.023103656465154797,0.8621877015348146,16.99615384615385,7.254288006318737,0.0034878082966609326,86.15540434895591,35.66663667298253,0.39168468779894006,3.6281589651429593,35.760957367889525,60.045076524741994,8.789472019102206,32.044897018011305,0.29793148175362055,-1.0,0.0054252618372919465,0.0007811118052524731,0.03886099804537607,300.0320717941388,0.6595967128372039,1.7526287782136507,0.6013057440347152,,actual
52,0,100,0.34,0.66,0.0,0.0,0.2660723042377524,0.14423303645182825,0.024011588848451636,0.9888179107140899,2.2769963334979675,12.83416222837575,19.35,2.2855582075280334,0.03532094870413196,84.43738563804985,7.165989084907766,0.423035200813653,3.703153868624331,32.33186737368534,56.44311431646247,47.26607167119637,15.638921094072892,0.3691796691397693,1.0,0.03980036565846366,0.0024798427611070887,0.017862378930417734,153.33038507137616,0.5952994847874538,1.7142618501476292,1.9131215332315277,,actual
53,0,100,0.3,0.69,0.01,0.0,0.13923285128104324,0.20950348224318058,0.04336703936325812,0.978668898696301,0.4290758895685915,3.469221127524414,16.400000000000002,12.624701535522616,0.5089952404578775,53.84882056095028,50.02777260445071,0.4680579620801919,3.7419583469452538,43.93985665633459,71.20501455853653,22.301169996420953,28.186334157095878,0.5441572890862643,-1.0,0.013168894453937985,0.00011362028508483668,0.011279106991880764,86.5175349168135,0.7477880834630297,0.5988394820639711,0.3934157296880503,,actual
54,0,100,0.39,0.59,0.02,0.0,0.4107472038590715,0.6411451440496126,0.0638145909263636,0.9611007491145759,0.7101316338268018,2.2681251925157118,19.130769230769232,4.467826527715273,0.5210574185139959,51.71275517195676,10.64780750519523,0.31135426115286163,2.3050555722769,27.97739686930953,41.850831210003996,25.211401200283618,33.84390597692385,0.7492437531149512,1.0,0.008173574030987174,0.0026183390803719993,0.012958576856210349,173.19229274787997,0.23692514077383253,0.2717470054639784,0.011255869707645916,,nominal
55,0,100,0.22,0.7,0.08,0.0,0.2155596829555454,0.10998078701417838,0.021025478742245047,0.905144204904296,0.12096310562005214,0.6911623895441699,17.459090909090907,12.892721292008247,0.5230229482301118,85.7646202014283,7.9860115827114395,0.6568887462909578,1.4738445520174954,48.99622824136742,37.46907786625244,59.19749720905377,35.29969836687119,0.17600062846257516,-1.0,0.004855163918072368,0.0007943727550213084,0.03967433484083567,127.73526988328283,0.256778867723352,1.9643644200759431,1.5916402298182375,,actual
56,0,100,0.24,0.76,0.0,0.0,0.07898649647911199,0.08862535690739055,0.034372291695868216,0.9885630548196039,0.09054620416667379,1.4432649893142249,18.370833333333334,13.420127499461616,0.25333084131928524,84.57577733144754,34.59273116315055,0.5466172646961412,3.7990524889281976,87.4181368679643,85.13871675122942,9.738311372848743,34.11431721678195,0.7066514179687307,-1.0,0.005642997459139079,0.0005834452920707443,0.016235841547969452,364.7245478413382,0.12721765920073644,1.6479249029482483,1.7281877297611348,,nominal
57,0,100,0.25,0.75,0.0,0.0,0.06725014333566276,0.0666231510979852,0.040790176858439185,0.9888908674774233,0.04403390656913557,0.8985953807206002,16.996,9.555827081935888,0.1901492258879062,78.11767382162643,4.851770098844809,0.4615359690629,3.2458776670105904,53.16165066524877,40.59482529700315,9.004696977827368,11.281180460810788,0.7538828061265139,1.0,0.009107808046504816,0.0025013162958212043,0.023646286233279357,347.925302685769,0.5193398985575092,1.1886634264752707,1.389463781536561,,actual
58,0,100,0.23,0.55,0.22,0.0,0.5642208570475961,0.07403950167916007,0.09504720095819956,0.7627294648472812,0.7788045119301792,1.8930978539734786,18.178260869565225,7.1439992249549995,0.34509433425361524,75.62758489544085,47.76918841595258,0.37915405945860814,2.505978571485958,49.62763463548981,63.02975522684358,32.74317293887566,30.75006762996648,0.3455508261554235,1.0,0.0072887421320165105,0.0013434198083277476,0.030684450753231462,233.99338013260095,0.1485581538286241,1.3687776114679482,1.5051848120474562,,actual
59,0,100,0.25,0.75,0.0,0.0,0.05510412447608941,0.056776203678570066,0.03429545212770792,0.9888800214699127,1.3083998511033446,4.664331439555573,17.776,10.496809633104409,0.42934551816075245,86.17861710857623,48.3288260752532,0.7871594152688636,3.291266863655808,70.29054878782239,53.18164569962117,77.37448402154259,39.38485572854189,0.5314264955004097,1.0,0.03967593644121767,0.0022937967779446985,0.025399491580643422,141.14578471350177,0.21098002449691322,0.32680052443380403,0.611784027062781,,actual
60,0,100,0.21,0.65,0.14,0.0,0.39391824360637673,0.09598959191010238,0.04495861666805295,0.8412710354107314,0.1736817501265669,1.2525640680858168,17.02857142857143,9.112356159066193,0.2380141414711567,73.58793260225087,63.61296092675593,0.32504907446125336,3.145954080692605,84.3855495634178,60.23422255901477,67.17781625854128,38.04831122340855,0.32269319250341766,1.0,0.004843998604924361,0.0005618440045105368,0.03765485734801068,216.7217125290079,0.33057042819591453,0.08412862317625336,0.25228127764941743,,actual
61,0,100,0.25,0.75,0.0,0.0,0.060784981808610514,0.0374698268963918,0.04077843902126901,0.9889405737425744,0.2615821103914666,3.021884206674484,17.308,10.981650104669493,0.1451291927390398,57.41059666561692,7.590396710117828,0.5380464558870243,3.449021058637306,33.81150758821157,49.38194520047023,16.000692965715412,16.926093607060388,0.7334520323810895,-1.0,0.030585516457095275,0.0007623679794309913,0.03953529503320416,127.25600362457273,0.2654412086003613,0.22357962475401533,0.453918857586485,,nominal
62,0,100,0.21,0.64,0.15,0.0,0.32713223073066816,0.06739955973003003,0.047249240097427876,0.8301860051892114,0.4727581924574611,1.950750270074912,16.233333333333338,5.361943728840303,0.11842680145374149,83.89769528730817,28.93433240858316,0.6208188610946757,1.4142100672676534,26.11920782887569,70.7941309918039,59.70493444889626,23.39209136694241,0.41895188258661914,-1.0,0.004905179293357476,0.001867558663768147,0.02847608232540637,136.50851241010184,0.6328914248820369,1.45571746142373,1.2869495025475972,,nominal
63,0,100,0.25,0.75,0.0,0.0,0.07625651036017966,0.11172282267845995,0.03542320745299549,0.9887673931026028,0.41241726513941546,3.1118655839970817,18.272,3.521567917877255,0.13658600785271938,60.80680074158267,20.688786080422904,0.62311200109679,3.3260964898430894,66.30166886704077,68.2185684577679,17.71124332520288,34.759122953084514,0.23136021472708623,1.0,0.009605739603620437,0.0028440052335205737,0.00016879388102135186,145.97342939713238,0.12119734158102605,0.5377863603642158,1.8860890597034534,,actual
64,0,100,0.68,0.17,0.15,0.0,1.5718757102327043,1.8389207299380572,0.7184435631541781,0.7578824256455928,8.846067292280521,9.51029240790257,26.65,8.25800064985601,0.49990706522181316,84.49463236835902,48.58450255705181,0.5269554331317073,1.1390950105964373,85.92953427633772,56.06627226880315,8.852943670921936,37.29531222412335,0.3694173705643302,-1.0,0.04526819696490421,0.0025014796907679667,0.0014850252957326537,322.05983235974855,0.504555976602974,0.36208366345326065,1.2512790702995351,,actual
65,0,100,0.32,0.68,0.0,0.0,0.13267658429138085,0.23768673379065589,0.045930572459475,0.9891611321911136,0.2680322756174764,3.4888725959987426,16.653125000000003,10.997222242995086,0.5030086256266794,75.31386427241699,21.44904097814477,0.6098776785282751,1.629590673988754,48.49043842605483,45.77180923071748,10.84312767795068,16.459634529641466,0.35554350524262457,1.0,0.023323877654929454,0.0009789034935149983,0.0277174586692824,164.07831101517746,0.60486565368692,0.30463364051493996,0.3858282884765687,,nominal
66,0,100,0.35,0.5,0.15,0.0,0.6785698190032876,0.874596542719147,0.17624938946646976,0.817158121582344,1.600567503681866,4.185846146400306,22.205714285714286,9.708199370671558,0.017960267162272458,69.7107159161889,61.650105312248655,0.3623531001723545,2.010459172260952,47.884197992839496,73.57198191127821,12.41972069057427,39.84210679559156,0.7197947543888806,-1.0,0.013247402246473847,0.0026205524027150665,0.03501150243381467,358.7783114755839,0.12994239016833656,0.9694698583810007,1.3977317080500569,,nominal
67,0,100,0.69,0.31,0.0,0.0,0.7599426143987661,0.7520492573863324,0.19172418252593804,0.9843686728583388,1.860178971454453,5.580413664994096,20.717391304347824,5.968797055298332,0.49296677300138836,54.2496775028875,5.829361868303223,0.44347453895723,2.2132771565710376,69.06476279466447,60.04587063652485,72.27485182067345,13.087847304424457,0.4081806532766888,-1.0,0.019580020852431768,0.0013663805170698719,0.023477248855612785,272.09271593210383,0.6549417481030013,1.6341365809064747,0.07806704080476279,,actual
