src,case,side,mode,response,engaged,target_hit,other_hit,goal,min_range,dcpa,tcpa,ct,k
dev,8,port,basin,other_60_slow,True,True,False,False,1.7245652869290502,0.23622966892240083,8.507879150870341,151.61089879673176,0.9115353525745068
dev,9,starboard,basin,stand_on,False,True,False,False,1.6025527304863096,1.5379687920128267,9.281948455447523,257.9345989647785,0.7496557958899239
dev,9,starboard,basin,a17_30,False,True,False,False,1.6025527304863096,1.5379687920128267,9.281948455447523,257.9345989647785,0.7496557958899239
dev,9,starboard,basin,a17_60,False,True,False,False,1.6025527304863096,1.5379687920128267,9.281948455447523,257.9345989647785,0.7496557958899239
dev,9,starboard,basin,other_30,False,True,False,False,1.6025527304863096,1.5379687920128267,9.281948455447523,257.9345989647785,0.7496557958899239
dev,9,starboard,basin,other_60,False,True,False,False,1.6025527304863096,1.5379687920128267,9.281948455447523,257.9345989647785,0.7496557958899239
dev,9,starboard,basin,slow,False,True,False,False,1.6025527304863096,1.5379687920128267,9.281948455447523,257.9345989647785,0.7496557958899239
dev,9,starboard,basin,a17_60_slow,False,True,False,False,1.6025527304863096,1.5379687920128267,9.281948455447523,257.9345989647785,0.7496557958899239
dev,9,starboard,basin,other_60_slow,False,True,False,False,1.6025527304863096,1.5379687920128267,9.281948455447523,257.9345989647785,0.7496557958899239
dev,10,port,basin,stand_on,True,False,False,True,2.2469144467632263,2.226126868249491,9.64953455321088,165.26412353887025,0.7715115111227782
dev,10,port,basin,a17_30,True,False,False,True,1.1235909641544053,2.226126868249491,9.64953455321088,165.26412353887025,0.7715115111227782
dev,10,port,basin,a17_60,True,True,False,False,1.6397987698333536,2.226126868249491,9.64953455321088,165.26412353887025,0.7715115111227782
dev,10,port,basin,other_30,True,False,False,True,3.20846399854781,2.226126868249491,9.64953455321088,165.26412353887025,0.7715115111227782
dev,10,port,basin,other_60,True,False,True,False,3.3707672985663293,2.226126868249491,9.64953455321088,165.26412353887025,0.7715115111227782
dev,10,port,basin,slow,True,False,False,True,2.030710156125201,2.226126868249491,9.64953455321088,165.26412353887025,0.7715115111227782
dev,10,port,basin,a17_60_slow,True,False,False,True,1.2257344078123154,2.226126868249491,9.64953455321088,165.26412353887025,0.7715115111227782
dev,10,port,basin,other_60_slow,True,False,False,True,2.6638005504212607,2.226126868249491,9.64953455321088,165.26412353887025,0.7715115111227782
dev,11,port,basin,stand_on,True,True,False,False,1.6208633091517703,0.23366396928340888,10.766328830535238,123.49873427544586,0.8589974980184925
dev,11,port,basin,a17_30,True,False,False,True,1.3025147324985167,0.23366396928340888,10.766328830535238,123.49873427544586,0.8589974980184925
dev,11,port,basin,a17_60,True,False,True,False,1.5152215228986605,0.23366396928340888,10.766328830535238,123.49873427544586,0.8589974980184925
dev,11,port,basin,other_30,True,True,False,False,1.3987088539425006,0.23366396928340888,10.766328830535238,123.49873427544586,0.8589974980184925
dev,11,port,basin,other_60,True,True,False,False,1.3036896018483508,0.23366396928340888,10.766328830535238,123.49873427544586,0.8589974980184925
dev,11,port,basin,slow,True,True,False,False,1.4603471555368936,0.23366396928340888,10.766328830535238,123.49873427544586,0.8589974980184925
dev,11,port,basin,a17_60_slow,True,False,False,True,1.7021788965110716,0.23366396928340888,10.766328830535238,123.49873427544586,0.8589974980184925
dev,11,port,basin,other_60_slow,True,True,False,False,1.678943888332133,0.23366396928340888,10.766328830535238,123.49873427544586,0.8589974980184925
dev,12,port,basin,stand_on,True,False,False,True,1.637678374515448,1.624241388782099,8.020618658983967,169.30086923475568,0.6062300311189591
dev,12,port,basin,a17_30,True,True,False,False,1.4686478805277894,1.624241388782099,8.020618658983967,169.30086923475568,0.6062300311189591
dev,12,port,basin,a17_60,True,True,False,False,1.6030983337264564,1.624241388782099,8.020618658983967,169.30086923475568,0.6062300311189591
dev,12,port,basin,other_30,True,False,False,True,2.278341735027325,1.624241388782099,8.020618658983967,169.30086923475568,0.6062300311189591
dev,12,port,basin,other_60,True,False,False,True,2.2997922669389643,1.624241388782099,8.020618658983967,169.30086923475568,0.6062300311189591
dev,12,port,basin,slow,True,False,False,True,1.5424835527947784,1.624241388782099,8.020618658983967,169.30086923475568,0.6062300311189591
dev,12,port,basin,a17_60_slow,True,True,False,False,1.4278267140493681,1.624241388782099,8.020618658983967,169.30086923475568,0.6062300311189591
dev,12,port,basin,other_60_slow,True,False,False,True,2.0125919940269994,1.624241388782099,8.020618658983967,169.30086923475568,0.6062300311189591
dev,13,port,basin,stand_on,True,True,False,False,1.4310450430111379,1.4394070464462696,10.383855597374302,116.28327931154196,0.9456336824566314
dev,13,port,basin,a17_30,True,False,False,True,2.4468805711839923,1.4394070464462696,10.383855597374302,116.28327931154196,0.9456336824566314
dev,13,port,basin,a17_60,True,False,False,True,2.5770346112394953,1.4394070464462696,10.383855597374302,116.28327931154196,0.9456336824566314
dev,13,port,basin,other_30,True,True,False,False,1.3208390101108376,1.4394070464462696,10.383855597374302,116.28327931154196,0.9456336824566314
dev,13,port,basin,other_60,True,True,False,False,1.2953409189697846,1.4394070464462696,10.383855597374302,116.28327931154196,0.9456336824566314
dev,13,port,basin,slow,True,False,False,True,1.9901852610796698,1.4394070464462696,10.383855597374302,116.28327931154196,0.9456336824566314
dev,13,port,basin,a17_60_slow,True,False,False,True,2.7614520334502837,1.4394070464462696,10.383855597374302,116.28327931154196,0.9456336824566314
dev,13,port,basin,other_60_slow,True,False,False,True,2.1157217660394227,1.4394070464462696,10.383855597374302,116.28327931154196,0.9456336824566314
dev,14,port,basin,stand_on,False,True,False,False,1.2697686520441611,0.9180185044120603,12.325303409659567,89.27241364287374,0.6102879389829593
dev,14,port,basin,a17_30,False,True,False,False,1.2697686520441611,0.9180185044120603,12.325303409659567,89.27241364287374,0.6102879389829593
dev,14,port,basin,a17_60,False,True,False,False,1.2697686520441611,0.9180185044120603,12.325303409659567,89.27241364287374,0.6102879389829593
dev,14,port,basin,other_30,False,True,False,False,1.2697686520441611,0.9180185044120603,12.325303409659567,89.27241364287374,0.6102879389829593
dev,14,port,basin,other_60,False,True,False,False,1.2697686520441611,0.9180185044120603,12.325303409659567,89.27241364287374,0.6102879389829593
dev,14,port,basin,slow,False,True,False,False,1.2697686520441611,0.9180185044120603,12.325303409659567,89.27241364287374,0.6102879389829593
dev,14,port,basin,a17_60_slow,False,True,False,False,1.2697686520441611,0.9180185044120603,12.325303409659567,89.27241364287374,0.6102879389829593
dev,14,port,basin,other_60_slow,False,True,False,False,1.2697686520441611,0.9180185044120603,12.325303409659567,89.27241364287374,0.6102879389829593
dev,15,starboard,basin,stand_on,True,True,False,False,1.6017786767413897,1.622891763736585,9.608986499702809,262.9418030030328,0.6648299285704083
dev,15,starboard,basin,a17_30,True,False,False,True,2.1517012249259384,1.622891763736585,9.608986499702809,262.9418030030328,0.6648299285704083
dev,15,starboard,basin,a17_60,True,False,False,True,2.1517012249259384,1.622891763736585,9.608986499702809,262.9418030030328,0.6648299285704083
dev,15,starboard,basin,other_30,True,True,False,False,1.3542297070646607,1.622891763736585,9.608986499702809,262.9418030030328,0.6648299285704083
dev,15,starboard,basin,other_60,True,True,False,False,1.3542297070646607,1.622891763736585,9.608986499702809,262.9418030030328,0.6648299285704083
dev,15,starboard,basin,slow,True,False,False,True,1.8282532895895725,1.622891763736585,9.608986499702809,262.9418030030328,0.6648299285704083
dev,15,starboard,basin,a17_60_slow,True,False,False,True,2.2592240723824637,1.622891763736585,9.608986499702809,262.9418030030328,0.6648299285704083
dev,15,starboard,basin,other_60_slow,True,True,False,False,1.5531986225838246,1.622891763736585,9.608986499702809,262.9418030030328,0.6648299285704083
dev,16,starboard,basin,stand_on,True,False,False,True,2.4223843550380053,2.3463067862190936,8.140740085111329,256.19074597247004,0.9230963057357621
dev,16,starboard,basin,a17_30,True,False,False,True,2.8284187833888432,2.3463067862190936,8.140740085111329,256.19074597247004,0.9230963057357621
dev,16,starboard,basin,a17_60,True,False,False,True,2.830626637837696,2.3463067862190936,8.140740085111329,256.19074597247004,0.9230963057357621
dev,16,starboard,basin,other_30,True,False,False,True,2.040962950893858,2.3463067862190936,8.140740085111329,256.19074597247004,0.9230963057357621
dev,16,starboard,basin,other_60,True,False,False,True,2.0465356277119273,2.3463067862190936,8.140740085111329,256.19074597247004,0.9230963057357621
dev,16,starboard,basin,slow,True,False,False,True,2.7926130947897994,2.3463067862190936,8.140740085111329,256.19074597247004,0.9230963057357621
dev,16,starboard,basin,a17_60_slow,True,False,False,True,3.013333547694986,2.3463067862190936,8.140740085111329,256.19074597247004,0.9230963057357621
dev,16,starboard,basin,other_60_slow,True,False,False,True,2.593124817994141,2.3463067862190936,8.140740085111329,256.19074597247004,0.9230963057357621
dev,17,port,basin,stand_on,False,True,False,False,1.3112664523947755,1.0854240390193897,8.18335307064365,123.51645874137515,0.6574459729973647
dev,17,port,basin,a17_30,False,True,False,False,1.3112664523947755,1.0854240390193897,8.18335307064365,123.51645874137515,0.6574459729973647
dev,17,port,basin,a17_60,False,True,False,False,1.3112664523947755,1.0854240390193897,8.18335307064365,123.51645874137515,0.6574459729973647
dev,17,port,basin,other_30,False,True,False,False,1.3112664523947755,1.0854240390193897,8.18335307064365,123.51645874137515,0.6574459729973647
dev,17,port,basin,other_60,False,True,False,False,1.3112664523947755,1.0854240390193897,8.18335307064365,123.51645874137515,0.6574459729973647
dev,17,port,basin,slow,False,True,False,False,1.3112664523947755,1.0854240390193897,8.18335307064365,123.51645874137515,0.6574459729973647
dev,17,port,basin,a17_60_slow,False,True,False,False,1.3112664523947755,1.0854240390193897,8.18335307064365,123.51645874137515,0.6574459729973647
dev,17,port,basin,other_60_slow,False,True,False,False,1.3112664523947755,1.0854240390193897,8.18335307064365,123.51645874137515,0.6574459729973647
dev,18,starboard,basin,stand_on,True,False,False,True,2.2442979205906006,2.255702132700812,8.105535018521422,273.95202456626794,0.618172487161365
