idx,width,bend,step,cls,side,rng,ct_dev_perceived,ct_dev_true,tgt_heading_change,path_turn_since_start,alpha_path
24,5.298835854508,-18.827308416366577,23,crossing,port,1.851062248771535,-90.30199202093185,-7.1043996636988425,0.0,-1.1451134063345307,-27.10840743960955
24,5.298835854508,-18.827308416366577,24,crossing,none,1.3616137427375032,-158.64509761203107,-6.970786825445799,0.0,-1.278726244587574,-35.92930888875347
24,5.298835854508,-18.827308416366577,25,crossing,none,1.013424607507184,-158.79192992013827,-7.117619133553006,0.0,-1.1318939364803668,-48.80944619087688
27,6.044012620006167,18.827308416366577,28,overtaking,none,0.9798652979217629,-161.1903735384906,6.948680191631155,0.0,10.950975923617335,-93.92555071415701
27,6.044012620006167,18.827308416366577,29,overtaking,none,1.1880794026951567,-162.28495558303354,5.854098147088223,0.0,12.045557968160239,-122.89928579765545
28,5.591030207335043,22.09088059648826,24,overtaking,none,1.545064384481362,-148.9829321971543,19.76749520353067,0.0,1.7477516419582173,-15.38182336107954
30,5.9034460921538585,33.02159070968628,30,overtaking,none,0.9616476449268749,-164.775287355053,5.939628688559964,0.0,27.34750153819448,-53.918253255348674
30,5.9034460921538585,33.02159070968628,31,overtaking,none,0.7946793892426722,-165.87780115002812,4.83711489358484,0.0,28.450015333169603,-83.74312266704095
30,5.9034460921538585,33.02159070968628,32,overtaking,none,0.8816230706305302,-167.03596501227497,3.678951031337988,0.0,29.608179195416454,-116.56719313381733
35,5.912042667153984,-9.245457058804845,27,crossing,port,1.1209633563917665,-100.67690032707185,1.9035896786444653,0.0,-8.04289079246351,-96.5217698687869
37,6.004268040872987,-35.9333860874176,5,crossing,port,12.071351711411948,-30.661163285316945,-35.93952755681164,0.0,-0.0003037894856561252,-15.431422066872017
37,6.004268040872987,-35.9333860874176,6,crossing,port,11.488553458458552,-32.06277513498645,-35.93952755681164,0.0,-0.0003037894856561252,-15.191501470336107
37,6.004268040872987,-35.9333860874176,7,crossing,port,10.906734858028639,-37.34181316010856,-35.9397802737048,0.0,-5.107259249825802e-05,-14.92363717790542
37,6.004268040872987,-35.9333860874176,8,crossing,port,10.325816913896627,-37.548418279510145,-35.939831005708044,0.0,-3.4058925280078256e-07,-14.622260133163536
37,6.004268040872987,-35.9333860874176,9,crossing,port,9.745743807594,-37.05987728298496,-35.93972954169814,0.0,-0.00010180459915432039,-14.28099397452604
37,6.004268040872987,-35.9333860874176,10,crossing,port,9.16648446744946,-39.814599219642304,-35.939831005708044,0.0,-3.4058925280078256e-07,-13.891988377176318
37,6.004268040872987,-35.9333860874176,11,crossing,port,8.588037196154419,-35.820687616902234,-35.93972954169814,0.0,-0.00010180459915432039,-13.44419444827011
37,6.004268040872987,-35.9333860874176,12,crossing,port,8.0104421567188,-35.56514396722824,-35.939831005708044,0.0,-3.4058925280078256e-07,-12.924125480258482
37,6.004268040872987,-35.9333860874176,13,crossing,port,7.433793629587715,-36.21570260209799,-35.93907064127805,0.0,-0.0007607050192461884,-12.312168072404859
37,6.004268040872987,-35.9333860874176,14,crossing,port,6.8582691411082495,-36.36968026877892,-35.92674337988504,0.0,-0.013087966412257401,-11.572648684883546
37,6.004268040872987,-35.9333860874176,15,crossing,port,6.2841673480263305,-34.67228585220883,-35.86605802059111,0.0,-0.07377332570618478,-10.634569814703042
37,6.004268040872987,-35.9333860874176,16,crossing,none,5.711964941043112,-35.084140873901305,-35.752513411293165,0.0,-0.1873179350041312,-9.44530231302798
37,6.004268040872987,-35.9333860874176,17,crossing,none,5.142416199021806,-32.80534626474238,-35.561947573702696,0.0,-0.3778837725946005,-7.9114059042208
37,6.004268040872987,-35.9333860874176,18,crossing,none,4.576716340934632,-31.811987817014796,-35.206170867515,0.0,-0.7336604787822978,-5.841963034561672
37,6.004268040872987,-35.9333860874176,19,none,none,4.016794250645998,-32.55459878185957,-34.78657122569331,0.0,-1.1532601206039885,-3.1802794313418303
38,6.0973137753682645,-12.579800621547006,8,crossing,port,11.883698722846232,-14.810916746796153,-13.03737849091101,0.0,2.04360075031218e-05,-10.409772899808473
38,6.0973137753682645,-12.579800621547006,9,crossing,port,11.368664194650522,-13.89410974581628,-13.037357721480191,0.0,-3.334232872020948e-07,-10.597515565088912
38,6.0973137753682645,-12.579800621547006,10,crossing,port,10.853926580504178,-10.064753902485279,-13.037338641412077,0.0,-1.941349140111015e-05,-10.800740728586476
38,6.0973137753682645,-12.579800621547006,11,crossing,port,10.339466009623587,-12.096532899199048,-13.036415793986833,0.0,-0.0009422609166449547,-11.020458400727108
38,6.0973137753682645,-12.579800621547006,12,crossing,port,9.825265420640271,-15.820264214457296,-13.025563431788896,0.0,-0.011794623114582237,-11.249878981071333
38,6.0973137753682645,-12.579800621547006,13,crossing,port,9.31131034429899,-14.65760321364536,-12.999811800950653,0.0,-0.03754625395282574,-11.48665501749403
38,6.0973137753682645,-12.579800621547006,14,crossing,port,8.79759127231203,-12.813116710340353,-12.93791733512586,0.0,-0.09944071977761837,-11.71272814472033
38,6.0973137753682645,-12.579800621547006,15,crossing,port,8.284104547612706,-12.307263362255867,-12.853074211294938,0.0,-0.18428384360856853,-11.945213340617045
38,6.0973137753682645,-12.579800621547006,16,crossing,port,7.770853008257075,-11.848558823911645,-12.702725231592183,0.0,-0.3346328233112956,-12.146425684922036
38,6.0973137753682645,-12.579800621547006,17,crossing,none,7.257848440854205,-5.259326489166256,-12.5316185250596,0.0,-0.5057395298438792,-12.367302657065238
38,6.0973137753682645,-12.579800621547006,18,crossing,port,6.745114094773099,-12.560029718312109,-12.265957614845604,0.0,-0.7714004400578744,-12.542052439622296
38,6.0973137753682645,-12.579800621547006,19,crossing,port,6.232689609071983,-20.945717067355105,-11.992141730329564,0.0,-1.0452163245739428,-12.76770554080133
38,6.0973137753682645,-12.579800621547006,20,crossing,port,5.720636372377938,-19.493130031822346,-11.66853768933234,0.0,-1.3688203655711675,-13.01704602707224
38,6.0973137753682645,-12.579800621547006,21,crossing,port,5.209048836009883,-17.070349923241366,-11.215931068401943,0.0,-1.8214269865015353,-13.231076595932848
38,6.0973137753682645,-12.579800621547006,22,crossing,port,4.698068202039768,-13.746576492843246,-10.786680278831682,0.0,-2.250677776071825,-13.591234147476769
38,6.0973137753682645,-12.579800621547006,23,crossing,none,4.1879085376215865,-9.249067535803562,-10.21354716104139,0.0,-2.8238108938621167,-13.97358487536863
38,6.0973137753682645,-12.579800621547006,24,crossing,none,3.6789057485198082,-9.899340659200249,-9.670785158810475,0.0,-3.3665728960930323,-14.619739679315899
38,6.0973137753682645,-12.579800621547006,25,crossing,none,3.1716085625260155,-7.866822118783091,-8.991799234595902,0.0,-4.045558820307576,-15.473120103824044
38,6.0973137753682645,-12.579800621547006,26,crossing,port,2.666979648552245,-14.656440052819164,-8.262946643043932,0.0,-4.774411411859575,-16.812349041308494
38,6.0973137753682645,-12.579800621547006,27,crossing,port,2.166870908189228,-85.66621648736876,-7.4907803519579375,0.0,-5.546577702945569,-19.01065265213623
38,6.0973137753682645,-12.579800621547006,28,crossing,none,1.77260038603315,-159.47347763757801,-6.993087830137938,0.0,-6.044270224765569,-22.038698484479454
