width,bend,has_bend,dcpa_drawn,offset_frac,spawn_off_centre,outcome,collided_target,steps,min_range,lat_at_min,snaps,first_snap_step,max_jump,max_dh,coll_within_3s_of_snap,frac_not_head_on_near,clamp,policy,idx
9.839076820256432,0.0,False,1.8533873149793867,0.2119228017218523,0.5328625598898333,goal,False,66,1.883044362873449,-1.866055038247212,3,65.0,1.1232394728138793,1.7368293025648143,False,0.9615384615384616,on,follower,90
10.0,0.0,False,1.3472959214865994,0.1106670748556778,1.0528402982276404,goal,False,68,1.3570390506673273,-1.3561344544175549,40,60.0,0.5512748410226507,1.9391607946309648,False,0.9,on,follower,91
9.937502239057377,0.0,False,0.04001909622158317,-0.10071937986940316,2.059432831484826,collision:target,True,22,1.8581978497114868,-0.20739269067838045,0,,0.0,0.0,False,0.0,on,follower,92
9.82909500208929,0.0,False,1.7471811503729884,0.019123959235535268,2.0150091874499196,goal,False,67,1.7374494003134346,1.7372488636396133,0,,0.0,0.0,False,0.9642857142857143,on,follower,93
10.011075420279257,0.0,False,1.3391572103818132,0.3,2.008477160655289,goal,False,68,1.3975113508319283,1.391172627145286,9,66.0,3.9040710103085465,6.002964966280018,False,0.7586206896551724,on,follower,94
9.853404445256638,0.0,False,1.3960193236397112,0.19971112737063357,1.1028896637731784,goal,False,67,1.3696500313105169,-1.334992582588677,72,52.0,0.44333118030952695,5.497289590538202,False,1.0,on,follower,95
10.0,0.0,False,1.8290081990792668,0.11979964498546779,2.5747585071736596,goal,False,68,1.8304248639581007,1.8225747731607016,48,58.0,2.261727166512785,1.2531670596640367,False,1.0,on,follower,96
10.007113401454978,0.0,False,0.3852504113926303,-0.013329980841127687,1.1399368522414053,collision:target,True,31,1.8819785397527475,-0.4452800052942683,0,,0.0,0.0,False,0.0714285714285714,on,follower,97
10.162189625613772,0.0,False,0.6135191627434522,0.2429982697362038,1.4962639873200398,collision:target,True,29,1.54145927592363,0.6128987606668106,0,,0.0,0.0,False,0.0,on,follower,98
10.0,0.0,False,0.14137351270705856,-0.1248821710963407,1.755689821729227,collision:target,True,26,1.8693183595875822,-0.2598455248839313,0,,0.0,0.0,False,0.2857142857142857,on,follower,99
5.044964366615236,22.396864207356074,True,1.1610102603999974,0.13992918412351865,1.8675115443117916,goal,False,73,1.195518211534791,1.0831572343342422,92,54.0,0.32083093034319365,7.995603524884132,False,1.0,on,model,0
4.999999999999998,-31.14206403956255,True,1.1532522249845545,-0.015742392875975175,0.4530804999395687,goal,False,51,2.5227356999774884,-2.505877874820386,0,,0.0,0.0,False,0.8333333333333334,on,model,1
5.0,8.138851896814414,False,1.0548264325212529,0.3,1.9191923453505302,goal,False,52,1.7977650229410023,-1.7544555346537134,0,,0.0,0.0,False,1.0,on,model,2
4.999999999999999,30.305572616163474,True,0.03670725630003924,0.2069063688023984,1.243484512023715,collision:target,True,31,1.727995959832042,-0.6527275073006634,0,,0.0,0.0,False,0.1578947368421053,on,model,3
4.415696545423335,-19.25205912183695,False,0.7870190103627532,0.202885344932914,0.204593198287048,collision:boundary,False,28,1.8948674923931539,-1.8925694594000269,0,,0.0,0.0,False,0.75,on,model,4
5.032907986875176,38.869121074676514,True,1.1594090426277182,-0.20986959781168124,1.5602484607147946,collision:target,True,35,1.1116445057324413,0.8584630430460901,0,,0.0,0.0,False,0.8421052631578947,on,model,5
4.869448784480107,44.811705350875854,True,0.4570427385228544,-0.015184296403768172,2.132333492479263,goal,False,52,1.317295274479615,-1.2084668264989975,2,0.0,2.0987082240393407,41.488082050303746,False,1.0,on,model,6
5.0366771833384725,33.02159070968628,True,0.8932258039252212,0.2402799145861965,2.3311329304691903,goal,False,64,1.6064734511349996,-1.604541794843179,11,0.0,2.308236381769067,30.02340019012084,False,1.0,on,model,7
4.659191839445868,22.09088059648826,True,0.5419955389240594,-0.07790998302950011,1.357491189928689,collision:target,True,30,1.111577783590876,-1.102245515975791,0,,0.0,0.0,False,0.7222222222222222,on,model,8
4.999999999999999,-4.9761759547219375,False,0.37413948972481004,0.2614786597960627,0.27780067760778837,collision:boundary,False,39,1.217989408276196,-1.2149109326171237,0,,0.0,0.0,False,0.8333333333333334,on,model,9
5.0,27.74596505443528,True,1.3472959214865994,0.1106670748556778,1.4386908199627622,goal,False,52,2.4684427005747795,-2.3297509949210085,0,,0.0,0.0,False,0.8333333333333334,on,model,10
4.968751119528688,-16.78141914067757,False,0.04001909622158317,-0.10071937986940316,0.9083117904456524,collision:target,True,30,1.0457202126685492,-0.9466712836872333,0,,0.0,0.0,False,0.5789473684210527,on,model,11
4.914547501044645,-41.82861685752869,True,1.1675514419324189,0.019123959235535268,1.737416984116433,collision:target,True,27,1.8662020815119256,0.640926447780742,2,0.0,1.9275410673094504,36.028473420874775,True,1.0,on,model,12
5.005537710139628,24.46288421027566,True,1.3391572103818132,0.3,0.3525620446318018,goal,False,58,2.299599740538992,2.29933243272445,1,37.0,2.3144132183917208,6.214334879054746,False,1.0,on,model,13
4.926702222628319,-9.245457058804845,False,1.3960193236397112,0.19971112737063357,0.2010431885509626,goal,False,52,2.1709239161608447,-2.1647488671792905,0,,0.0,0.0,False,1.0,on,model,14
5.0,27.337535062502525,True,1.8290081990792668,0.11979964498546779,2.179815200492832,goal,False,57,2.2463564812737467,2.169102437993047,0,,0.0,0.0,False,0.962962962962963,on,model,15
5.081094812806886,-12.579800621547006,False,0.014278637154533813,0.2429982697362038,2.155613237001119,collision:target,True,31,1.92477336200905,0.8120764128715846,0,,0.0,0.0,False,0.7222222222222222,on,model,16
5.0,47.818204164505005,True,1.0531590099560793,-0.1248821710963407,2.428734295492583,collision:target,True,29,1.1396691724053822,-0.7349789365617089,2,0.0,2.398077345125812,40.953449856856565,True,1.0,on,model,17
