estop,idx,width,dcpa,coll_target,outcome,estops,u_min
on,28,5.591030207335043,0.011739362685243115,False,goal,0,0.5100722705591992
on,29,6.0,0.37413948972481004,False,goal,1,0.02229617026532167
on,30,5.9034460921538585,1.4743688155362717,False,goal,1,0.04886286021412184
on,31,6.0,1.3472959214865994,False,goal,0,0.5476006242634214
on,32,5.962501343434427,0.04001909622158317,True,target,2,0.007198282551292136
on,33,5.897457001253573,0.8918293425608059,True,target,2,0.023108179578809916
on,34,6.006645252167553,1.3391572103818132,False,goal,0,0.47110340402860784
on,35,5.912042667153984,1.3960193236397112,False,goal,0,0.5557332601543952
on,36,5.999999999999998,1.8290081990792668,False,goal,0,0.49966688968888817
on,37,6.004268040872987,1.2199365365344372,False,goal,0,0.45089299471467403
on,38,6.0973137753682645,0.6135191627434522,False,goal,0,0.5514287881500098
on,39,5.999999999999999,0.14137351270705856,False,goal,0,0.5285077206334516
on,40,7.06295011326133,1.1610102603999974,False,goal,0,0.5397643406863026
on,41,6.999999999999999,0.5309420280403896,False,goal,0,0.522734047180536
on,42,6.999999999999998,1.0548264325212529,False,goal,0,0.5367985688185826
on,43,6.999999999999999,0.03670725630003924,True,target,1,0.010013206466629577
on,44,6.181975163592668,0.7870190103627532,False,goal,0,0.5597593100871319
on,45,7.046071181625245,1.1594090426277182,True,target,1,0.029755627919434417
on,46,6.817228298272148,0.4570427385228544,False,boundary,1,0.004680586964861872
on,47,7.05134805667386,1.8903711810709838,False,goal,0,0.5325844070575114
on,48,6.522868575224217,0.660787727619307,False,goal,0,0.5373081830581157
on,49,7.0,0.37413948972481004,True,target,1,0.04354057202101494
on,50,6.887353774179502,0.8568397995754622,False,goal,0,0.4010676105515988
on,51,6.999999999999998,1.3472959214865994,False,goal,0,0.5436079864205989
on,52,6.956251567340164,0.04001909622158317,False,goal,0,0.5716605648864985
on,53,6.880366501462503,0.8918293425608059,True,target,1,0.04146663365046131
on,54,7.007752794195478,1.3391572103818132,False,goal,0,0.5211720648311301
on,55,6.897383111679649,1.3960193236397112,False,goal,0,0.5745238845722683
on,56,6.999999999999999,1.8290081990792668,False,goal,0,0.5278355208877247
on,57,7.004979381018484,0.3852504113926303,True,target,0,0.4296003032844696
on,58,7.113532737929641,0.6135191627434522,False,goal,0,0.5220543049441373
on,59,6.999999999999999,0.14137351270705856,False,goal,0,0.57086338158838
on,60,8.071942986584375,1.1610102603999974,False,goal,0,0.557528999802512
on,61,7.999999999999998,0.5309420280403896,True,target,0,0.46724650068419715
on,62,7.999999999999998,1.0548264325212529,False,goal,0,0.4852291976122853
on,63,7.999999999999998,0.03670725630003924,True,target,0,0.523539816184481
on,64,7.065114472677336,0.7870190103627532,False,goal,0,0.555212097249133
on,65,8.052652779000283,1.1594090426277182,True,target,0,0.5895288800446311
on,66,7.7911180551681705,0.4570427385228544,False,goal,0,0.5593545456790641
on,67,8.058683493341555,1.8903711810709838,False,goal,0,0.5507664897097887
on,68,7.45470694311339,0.660787727619307,False,goal,0,0.570978349652383
on,69,8.0,0.5039496003729844,False,goal,0,0.4962373587861972
on,70,7.871261456205144,1.8533873149793867,False,goal,0,0.5624498294918703
on,71,7.999999999999998,1.3472959214865994,False,goal,0,0.565584209326898
on,72,7.950001791245903,0.04001909622158317,False,goal,0,0.5673621856061783
on,73,7.863276001671432,1.7471811503729884,False,goal,0,0.5296516337238458
on,74,8.008860336223405,1.3391572103818132,False,goal,0,0.5694994203885243
on,75,7.882723556205311,1.3960193236397112,False,goal,0,0.5694151526923951
on,76,7.999999999999998,1.8290081990792668,False,goal,0,0.5413394618345686
on,77,8.005690721163983,0.3852504113926303,False,goal,0,0.5514534707597472
on,78,8.129751700491019,0.6135191627434522,False,goal,0,0.5205229419677011
on,79,7.999999999999998,0.14137351270705856,False,goal,0,0.5728041272125339
on,80,10.089928733230472,1.1610102603999974,False,goal,0,0.5349854056118909
on,81,9.999999999999996,0.5309420280403896,False,goal,0,0.5481805486486844
on,82,10.0,1.0548264325212529,False,goal,0,0.5632201779127239
on,83,9.999999999999998,0.03670725630003924,True,target,0,0.13346041662212152
on,84,8.83139309084667,0.7870190103627532,False,goal,0,0.5111274545763389
on,85,10.065815973750352,1.1594090426277182,False,goal,0,0.5742878567195471
on,86,9.738897568960214,0.4570427385228544,False,goal,0,0.5251531329845751
on,87,10.073354366676945,1.8903711810709838,False,goal,0,0.5578124100297499
on,88,9.318383678891736,0.660787727619307,False,goal,0,0.5613585079887224
on,89,9.999999999999998,0.5039496003729844,False,goal,0,0.5483385117750537
on,90,9.839076820256432,1.8533873149793867,False,goal,0,0.5324381552607708
on,91,10.0,1.3472959214865994,False,goal,0,0.5560848838529641
on,92,9.937502239057377,0.04001909622158317,False,goal,0,0.5671227777638607
on,93,9.82909500208929,1.7471811503729884,False,goal,0,0.5551638170402676
on,94,10.011075420279257,1.3391572103818132,False,goal,0,0.5578213209661081
on,95,9.853404445256638,1.3960193236397112,False,goal,0,0.5611054888507615
