policy,idx,width,bend,coll,engaged_frames,first_cls,first_sense,p_head_on,p_cross_stbd,p_cross_port_sense,ever_port_sense_crossing
model,7,5.0366771833384725,33.02159070968628,False,21,crossing,1,0.0,0.38095238095238093,0.0,False
model,8,4.659191839445868,22.09088059648826,True,28,head_on,1,0.32142857142857145,0.07142857142857142,0.6071428571428571,True
model,9,4.999999999999999,-4.9761759547219375,False,29,crossing,-1,0.27586206896551724,0.034482758620689655,0.6896551724137931,True
model,10,5.0,27.74596505443528,False,22,crossing,-1,0.18181818181818182,0.045454545454545456,0.6818181818181818,True
model,11,4.968751119528688,-16.78141914067757,True,27,crossing,-1,0.2962962962962963,0.037037037037037035,0.6666666666666666,True
model,12,4.914547501044645,-41.82861685752869,True,0,never,0,0.0,0.0,0.0,False
model,13,5.005537710139628,24.46288421027566,False,28,head_on,1,0.10714285714285714,0.2857142857142857,0.0,False
model,14,4.926702222628319,-9.245457058804845,False,22,crossing,-1,0.0,0.0,0.7727272727272727,True
model,15,5.0,27.337535062502525,False,23,head_on,1,0.43478260869565216,0.43478260869565216,0.0,False
model,16,5.081094812806886,-12.579800621547006,True,29,head_on,1,0.5517241379310345,0.4482758620689655,0.0,False
model,17,5.0,47.818204164505005,True,14,crossing,1,0.0,0.42857142857142855,0.0,False
model,18,4.714898798648277,-14.079746443687108,True,31,crossing,-1,0.6774193548387096,0.0967741935483871,0.22580645161290322,True
model,19,4.688847854912078,-33.02159070968628,True,20,crossing,-1,0.0,0.0,0.5,True
model,20,6.053957239938283,3.595296311034113,True,24,head_on,1,0.3333333333333333,0.041666666666666664,0.625,True
model,21,6.0,-31.14206403956255,False,25,crossing,-1,0.2,0.04,0.68,True
model,22,5.999999999999999,8.138851896814414,False,21,crossing,-1,0.0,0.0,0.8571428571428571,True
model,23,5.999999999999999,21.617038249969482,True,27,head_on,1,0.4444444444444444,0.4444444444444444,0.0,False
model,24,5.298835854508,-18.827308416366577,False,26,crossing,-1,0.11538461538461539,0.038461538461538464,0.8461538461538461,True
model,25,6.039489584250211,27.27047324180603,True,26,crossing,-1,0.5384615384615384,0.11538461538461539,0.23076923076923078,True
model,26,5.843338541376127,30.133899450302124,False,20,crossing,-1,0.0,0.0,0.8,True
model,27,6.044012620006167,18.827308416366577,False,28,head_on,1,0.17857142857142858,0.0,0.0,False
model,28,5.591030207335043,22.09088059648826,False,4,crossing,-1,0.0,0.0,0.75,True
model,29,6.0,-4.9761759547219375,False,28,head_on,1,0.5,0.03571428571428571,0.4642857142857143,True
model,30,5.9034460921538585,33.02159070968628,False,23,crossing,1,0.08695652173913043,0.391304347826087,0.0,False
model,31,6.0,21.617038249969482,False,22,crossing,-1,0.18181818181818182,0.045454545454545456,0.6818181818181818,True
model,32,5.962501343434427,-16.78141914067757,True,27,crossing,-1,0.2222222222222222,0.037037037037037035,0.7407407407407407,True
model,33,5.897457001253573,-30.133899450302124,True,31,crossing,-1,0.2903225806451613,0.45161290322580644,0.0967741935483871,True
