policy,idx,width,coll_target,outcome,estops,u_min,ever_port_sense,p_port_sense
model,65,8.052652779000283,False,goal,0,0.5805721170307526,False,0.0
model,66,7.7911180551681705,False,goal,0,0.5432339851014455,False,0.0
model,67,8.058683493341555,False,goal,0,0.5507664897097887,False,0.0
model,68,7.45470694311339,False,goal,0,0.5535916057346045,False,0.0
model,69,8.0,False,goal,0,0.4962373587861972,False,0.0
model,70,7.871261456205144,False,goal,0,0.5506178627291004,False,0.0
model,71,7.999999999999998,False,goal,0,0.5472131730672345,False,0.0
model,72,7.950001791245903,False,goal,0,0.5673621856061783,False,0.0
model,73,7.863276001671432,False,goal,0,0.5101664335752311,False,0.0
model,74,8.008860336223405,False,goal,0,0.5715839541773442,False,0.0
model,75,7.882723556205311,False,goal,0,0.5694151526923951,False,0.0
model,76,7.999999999999998,False,goal,0,0.5413394618345686,False,0.0
model,77,8.005690721163983,False,goal,0,0.5053632205422757,False,0.0
model,78,8.129751700491019,False,goal,0,0.5205229419677011,False,0.0
model,79,7.999999999999998,False,goal,0,0.5328771535353468,False,0.0
model,80,10.089928733230472,False,goal,0,0.531912601197814,False,0.0
model,81,9.999999999999996,False,goal,0,0.5001166701681251,False,0.0
model,82,10.0,False,goal,0,0.5632201779127239,False,0.0
model,83,9.999999999999998,True,target,0,0.45741572452329027,False,0.0
model,84,8.83139309084667,False,goal,0,0.5079476981354842,False,0.0
model,85,10.065815973750352,False,goal,0,0.5617417442625992,False,0.0
model,86,9.738897568960214,False,goal,0,0.5235500123255146,False,0.0
model,87,10.073354366676945,False,goal,0,0.5709657791981035,False,0.0
model,88,9.318383678891736,False,goal,0,0.5613585079887224,False,0.0
model,89,9.999999999999998,False,goal,0,0.5615935527826995,False,0.0
model,90,9.839076820256432,False,goal,0,0.5324381552607708,False,0.0
model,91,10.0,False,goal,0,0.5560848838529641,False,0.0
model,92,9.937502239057377,False,goal,0,0.54730013909108,True,1.0
model,93,9.82909500208929,False,goal,0,0.5344951820794703,False,0.0
model,94,10.011075420279257,False,goal,0,0.5578213209661081,False,0.0
model,95,9.853404445256638,False,goal,0,0.5611054888507615,False,0.0
model,96,10.0,False,goal,0,0.5264211569833738,False,0.0
model,97,10.007113401454978,False,goal,0,0.5457776397990726,False,0.0
model,98,10.162189625613772,False,goal,0,0.5094868823230819,False,0.0
model,99,10.0,False,goal,0,0.5143231340514115,True,1.0
follower,0,5.044964366615236,False,goal,0,0.535911124652905,False,0.0
follower,1,4.999999999999998,False,goal,0,0.544024760602149,False,0.0
follower,2,5.0,False,goal,0,0.5224279025861074,False,0.0
follower,3,4.999999999999999,True,target,0,0.1104967005681916,False,0.0
follower,4,4.415696545423335,False,goal,1,0.014151951357565631,False,0.0
follower,5,5.032907986875176,False,goal,0,0.5111109976922543,False,0.0
follower,6,4.869448784480107,True,target,0,0.5376826673942723,False,0.0
follower,7,5.0366771833384725,True,target,1,0.038361528679698366,False,0.0
follower,8,4.659191839445868,True,target,0,0.11026882711609251,False,0.0
follower,9,4.999999999999999,True,target,0,0.22598735972201187,False,0.0
follower,10,5.0,False,goal,0,0.5359827560786008,False,0.0
follower,11,4.968751119528688,True,target,0,0.44709956861823197,False,0.0
follower,12,4.914547501044645,True,target,0,0.5583142135213255,False,0.0
follower,13,5.005537710139628,False,goal,0,0.5460120928124533,False,0.0
follower,14,4.926702222628319,False,goal,0,0.55322750700973,False,0.0
follower,15,5.0,False,goal,0,0.5340602002130155,False,0.0
follower,16,5.081094812806886,True,target,0,0.3311163723639926,False,0.0
follower,17,5.0,True,target,0,0.44643746405957296,False,0.0
follower,18,4.714898798648277,True,target,0,0.55563343903907,False,0.0
follower,19,4.688847854912078,False,goal,1,0.04325227523029505,True,1.0
follower,20,6.053957239938283,False,goal,1,2.4025937822670966e-05,False,0.0
follower,21,6.0,False,goal,0,0.5384609701303161,False,0.0
follower,22,5.999999999999999,False,goal,0,0.557208323509214,False,0.0
follower,23,5.999999999999999,True,target,0,0.5582236677208772,False,0.0
follower,24,5.298835854508,True,target,1,0.00425918670946228,False,0.0
follower,25,6.039489584250211,False,goal,0,0.541556744936953,False,0.0
follower,26,5.843338541376127,True,target,0,0.22224864133260425,False,0.0
follower,27,6.044012620006167,False,goal,0,0.5502838655031213,False,0.0
follower,28,5.591030207335043,True,target,0,0.3284408050284333,True,1.0
follower,29,6.0,True,target,0,0.5339785404458282,False,0.0
follower,30,5.9034460921538585,False,goal,0,0.5210877486540125,False,0.0
follower,31,6.0,False,goal,0,0.541270350822905,False,0.0
follower,32,5.962501343434427,True,target,0,0.4463494350062902,False,0.0
follower,33,5.897457001253573,False,goal,0,0.538099734904983,False,0.0
follower,34,6.006645252167553,False,goal,0,0.5152287948224049,False,0.0
follower,35,5.912042667153984,False,goal,0,0.5507313035624106,True,0.037037037037037035
follower,36,5.999999999999998,False,goal,0,0.5238980348840244,False,0.0
follower,37,6.004268040872987,False,goal,0,0.4940794152217801,True,1.0
follower,38,6.0973137753682645,True,target,0,0.4358466829429064,True,1.0
follower,39,5.999999999999999,False,goal,0,0.5359372793144853,False,0.0
follower,40,7.06295011326133,False,goal,0,0.5576171228824106,False,0.0
follower,41,6.999999999999999,False,goal,0,0.5319061487060196,False,0.0
follower,42,6.999999999999998,False,goal,0,0.5217598380212681,True,1.0
follower,43,6.999999999999999,True,target,0,0.5583486691131657,False,0.0
follower,44,6.181975163592668,True,target,1,0.0028552739412922874,False,0.0
follower,45,7.046071181625245,False,goal,0,0.5600696986122353,False,0.0
follower,46,6.817228298272148,True,target,0,0.33252477584402446,False,0.0
follower,47,7.05134805667386,False,goal,0,0.5412942680610177,False,0.0
follower,48,6.522868575224217,True,target,0,0.2230974997427444,False,0.0
follower,49,7.0,True,target,0,0.22313628615870162,False,0.0
follower,50,6.887353774179502,True,target,0,0.3123724243721123,False,0.0
follower,51,6.999999999999998,False,goal,0,0.5569120972213677,False,0.0
follower,52,6.956251567340164,True,target,0,0.5394879674823768,False,0.0
follower,53,6.880366501462503,False,goal,0,0.5163850103672032,False,0.0
follower,54,7.007752794195478,False,goal,0,0.5329051822222705,False,0.0
follower,55,6.897383111679649,False,goal,0,0.5565621222330757,False,0.0
follower,56,6.999999999999999,False,goal,0,0.5408768422775487,False,0.0
follower,57,7.004979381018484,True,target,0,0.5419800102659859,False,0.0
follower,58,7.113532737929641,False,goal,1,0.022691599764150697,False,0.0
follower,59,6.999999999999999,True,target,0,0.22427850910973776,False,0.0
follower,60,8.071942986584375,False,goal,0,0.5565206995861741,False,0.0
follower,61,7.999999999999998,True,target,0,0.11852083615275066,False,0.0
follower,62,7.999999999999998,False,goal,0,0.523447472136899,False,0.0
follower,63,7.999999999999998,True,target,0,0.10958081716554229,False,0.0
follower,64,7.065114472677336,False,goal,0,0.5486257270057306,False,0.0
follower,65,8.052652779000283,False,goal,0,0.5582135885988869,False,0.0
