idx,width,bend,dcpa,coll,outcome,pre_frames,p_head_on,p_crossing,p_none,p_true_head_on,ct_dev_med,p_stbd_blocked,u_min,xte_max_stbd,xte_min
79,7.999999999999998,10.60754656791687,0.14137351270705856,False,goal,14,0.21428571428571427,0.7857142857142857,0.0,0.21428571428571427,23.077299162261056,0.0,0.6121683461811598,2.0549728870391846,0.8720175623893738
80,10.089928733230472,0.0,1.1610102603999974,False,goal,12,0.0,1.0,0.0,0.0,19.051502775381763,0.0,0.6456993244697706,-0.10961160808801651,-0.5905088782310486
81,9.999999999999996,0.0,0.5309420280403896,False,goal,12,0.08333333333333333,0.9166666666666666,0.0,0.0,21.47578891353369,0.0,0.5820048687649816,2.1090407371520996,0.7651681303977966
82,10.0,0.0,1.0548264325212529,False,goal,10,0.0,1.0,0.0,0.0,29.33391280566751,0.0,0.6605081740797578,0.9746849536895752,0.11199352145195007
83,9.999999999999998,0.0,0.03670725630003924,True,target,12,0.5,0.5,0.0,0.5,10.350157237827403,0.0,0.13346041662212152,-0.15354090929031372,-0.254699170589447
84,8.83139309084667,0.0,0.7870190103627532,False,goal,11,0.0,1.0,0.0,0.0,29.40571650320254,0.0,0.6685596576935862,1.1380950212478638,0.38451507687568665
85,10.065815973750352,0.0,1.1594090426277182,False,goal,10,0.0,1.0,0.0,0.0,26.197046193335566,0.0,0.7116788459658396,2.6829278469085693,1.2605769634246826
86,9.738897568960214,0.0,0.4570427385228544,False,goal,13,0.0,1.0,0.0,0.0,36.892006821134316,0.0,0.587089330204238,2.300529718399048,0.5941634774208069
87,10.073354366676945,0.0,1.8903711810709838,False,goal,12,0.0,0.9166666666666666,0.08333333333333333,0.0,11.897425962410125,0.0,0.6755074853905261,0.9355103969573975,0.2565067410469055
88,9.318383678891736,0.0,0.660787727619307,False,goal,11,0.0,1.0,0.0,0.0,21.45918236313375,0.0,0.6612868419528563,1.7471553087234497,0.8014584183692932
89,9.999999999999998,0.0,0.5039496003729844,False,goal,16,0.375,0.4375,0.0,0.25,30.085138017871714,0.0,0.5483385117750537,-0.11114297807216644,-0.43091997504234314
90,9.839076820256432,0.0,1.8533873149793867,False,goal,11,0.0,0.9090909090909091,0.09090909090909091,0.0,12.028097157783662,0.0,0.6596077339649092,1.0927263498306274,0.37999746203422546
91,10.0,0.0,1.3472959214865994,False,goal,13,0.0,0.7692307692307693,0.23076923076923078,0.0,17.312024113978026,0.0,0.6810536499750687,1.106207013130188,0.2888607084751129
92,9.937502239057377,0.0,0.04001909622158317,False,goal,11,0.0,1.0,0.0,0.0,24.449057052937803,0.0,0.6861222107863597,1.905117154121399,0.8777015209197998
93,9.82909500208929,0.0,1.7471811503729884,False,goal,12,0.0,1.0,0.0,0.0,17.54708643371221,0.0,0.6623794653478179,0.23326951265335083,-0.45778778195381165
94,10.011075420279257,0.0,1.3391572103818132,False,goal,13,0.0,0.6923076923076923,0.3076923076923077,0.0,15.272966565584142,0.0,0.5718530451586088,-0.4927678108215332,-1.2209792137145996
95,9.853404445256638,0.0,1.3960193236397112,False,goal,12,0.0,1.0,0.0,0.0,20.05223955977317,0.0,0.6285549768488357,1.0930641889572144,0.3140333592891693
96,10.0,0.0,1.8290081990792668,False,goal,14,0.0,0.6428571428571429,0.35714285714285715,0.0,10.446250718937577,0.0,0.5529219703148305,-0.06592977046966553,-0.6387308835983276
97,10.007113401454978,0.0,0.3852504113926303,False,goal,13,0.0,0.7692307692307693,0.23076923076923078,0.0,22.23220283383489,0.0,0.7229221994021506,1.6250253915786743,0.8359875082969666
98,10.162189625613772,0.0,0.6135191627434522,False,goal,14,0.0,0.7857142857142857,0.21428571428571427,0.0,19.084736959747588,0.0,0.6428992213002425,-0.4682331681251526,-1.4410792589187622
99,10.0,0.0,0.14137351270705856,False,goal,14,0.0,1.0,0.0,0.0,25.17059003880884,0.0,0.6175441329858815,2.0962324142456055,0.8702518343925476
