idx,width,bend,ct_drawn,spawn_ct_dev,first_cls,port_frames,ever_port,p_head_on
63,7.999999999999998,0.0,189.0432815749665,9.0432815379842,head_on,0,False,1.0
64,7.065114472677336,0.0,171.75048692996666,-8.249512980043676,head_on,7,True,0.6923076923076923
65,8.052652779000283,0.0,180.5422942339529,0.5422942639033579,head_on,0,False,0.7272727272727273
66,7.7911180551681705,7.9177772998809814,170.45725794523702,-9.542742201746051,head_on,0,False,1.0
67,8.058683493341555,0.0,178.30197630952188,-1.6980236686813726,head_on,0,False,0.4666666666666667
68,7.45470694311339,0.0,172.44223766238824,-7.557762346918878,head_on,4,True,0.782608695652174
69,8.0,-4.9761759547219375,188.56420453082677,8.564204437838157,head_on,2,True,0.6153846153846154
70,7.871261456205144,10.60754656791687,182.17996356264848,2.1799630629740534,head_on,0,False,0.46153846153846156
71,7.999999999999998,0.0,177.51607921353337,-2.4839207942228825,head_on,0,False,0.56
72,7.950001791245903,0.0,170.17254369953372,-9.82745631287753,head_on,0,False,1.0
73,7.863276001671432,-5.253220796585083,181.14451135215666,1.1445112701828748,head_on,0,False,0.5185185185185185
74,8.008860336223405,10.60754656791687,173.57411699786974,-6.425882955064964,head_on,0,False,0.7241379310344828
75,7.882723556205311,0.0,173.86069888618093,-6.139301117303546,head_on,3,True,0.391304347826087
76,7.999999999999998,10.60754656791687,181.3548002648429,1.3548002528249867,head_on,0,False,0.375
77,8.005690721163983,-13.322453498840332,174.13679390515736,-5.863205888437648,head_on,0,False,1.0
78,8.129751700491019,-7.9177772998809814,176.44713421793566,-3.552865842576921,head_on,3,True,0.8666666666666667
79,7.999999999999998,10.60754656791687,170.32558044002377,-9.67441944584482,head_on,0,False,0.8695652173913043
80,10.089928733230472,0.0,187.80749831200077,7.8074983187675855,crossing,0,False,0.0
81,9.999999999999996,0.0,184.23391913967816,4.233919139782387,head_on,0,False,0.9130434782608695
82,10.0,0.0,172.39805249288162,-7.601947560283662,head_on,6,True,0.5
83,9.999999999999998,0.0,189.0432815749665,9.043281572735367,head_on,0,False,1.0
84,8.83139309084667,0.0,171.75048692996666,-8.249513227219182,head_on,6,True,0.6666666666666666
85,10.065815973750352,0.0,180.5422942339529,0.5422942227401961,head_on,0,False,0.6538461538461539
86,9.738897568960214,0.0,170.45725794523702,-9.542742055231969,head_on,0,False,1.0
87,10.073354366676945,0.0,178.30197630952188,-1.6980236755151168,head_on,0,False,0.4482758620689655
88,9.318383678891736,0.0,172.44223766238824,-7.557762321157554,head_on,1,True,0.7
89,9.999999999999998,0.0,188.56420453082677,8.56420455353171,head_on,0,False,0.8947368421052632
90,9.839076820256432,0.0,182.17996356264848,2.179963566536287,head_on,0,False,0.5
91,10.0,0.0,177.51607921353337,-2.483920793465586,head_on,0,False,0.5416666666666666
92,9.937502239057377,0.0,170.17254369953372,-9.827456306737673,head_on,0,False,1.0
93,9.82909500208929,0.0,181.14451135215666,1.1445113533812332,head_on,0,False,0.5185185185185185
94,10.011075420279257,0.0,173.57411699786974,-6.42588299326934,head_on,0,False,0.6923076923076923
95,9.853404445256638,0.0,173.86069888618093,-6.139301136015433,head_on,0,False,0.44
96,10.0,0.0,181.3548002648429,1.3548002653901108,head_on,0,False,0.375
