cls,width,dcpa,tcpa,clamped,clamped_before_cpa,first_clamp_s,jump_m,turn_deg,target_collision
null,9.472351939506785,9.596358425588157,48.81207856872761,True,True,25.5,0.12622421663935623,3.9409470967560196,False
null,8.61263148724731,1.9887933450307789,inf,True,True,25.0,0.13365182508416007,1.1270768060442151,False
null,7.715636756725871,2.762014081009041,299.5036459861837,True,True,24.5,0.14737029078419717,0.4063736062555563,False
null,7.643066319700785,6.330355979488411,140.0686226444992,True,True,25.0,0.14568899658750434,5.301646114803589,False
null,7.958885684444756,4.951431692942184,100.62970017341267,True,True,29.0,0.14096571861886753,6.252128618956618,False
null,8.919597231476935,0.626960535485727,inf,True,True,23.5,0.13292972983465234,3.377117678797674,False
null,7.392424952880393,0.37408620081980476,593.7238253745224,True,True,25.0,0.10092692789793967,0.7022053571200217,False
null,8.211625632198505,1.93888858249201,inf,True,True,15.5,0.11220150724321454,1.3615912338901808,False
null,9.457641443617554,10.004690033584042,inf,True,True,22.0,0.11829929992635435,9.415486285425999,False
null,7.939459934530462,7.476427947356887,inf,True,True,24.5,0.11301695009199486,3.8322546318339903,False
null,7.215085798855989,2.7182057261496078,inf,True,True,23.5,0.16281302614699422,0.19104598519174942,False
null,8.956662509461438,5.673113485616097,98.18209024578175,True,True,28.5,0.11246446252727615,6.037207914043506,False
null,7.341087164074281,4.050003896849897,116.1730809733982,True,True,29.0,0.1178207157112241,0.4719636139186605,False
null,8.017900515989506,7.956631424829709,inf,True,True,23.0,0.10102373260794018,2.239297701783812,False
null,7.7229461986988115,8.603862173067107,inf,True,True,23.5,0.15750807508924192,5.171725639694898,False
null,7.3766880761663485,2.173235525894135,inf,True,True,26.0,0.14379737448199004,0.674161381179033,False
