MASS,THRUST_COEF,DRAG_COEF,TURN_COEF,score_total,speed_peak,speed_accel_0_2,speed_accel_0_5,speed_dist_10,speed_t50,speed_t90,turn_t90,turn_t180,turn_peak_yaw,turn_r90,turn_r180,turn_u10,sim3_peak_u_body_mps,sim3_initial_accel_0_2_after_motion_mps2,sim3_initial_accel_0_5_after_motion_mps2,sim3_distance_at_10s_after_motion_m,sim3_time_to_50pct_peak_u_after_motion_s,sim3_time_to_90pct_peak_u_after_motion_s,sim3_u_body_at_10s_after_motion_mps,sim4_peak_abs_yaw_rate_degps,sim4_time_to_90deg_after_turn_s,sim4_time_to_180deg_after_turn_s,sim4_radius_first_90deg_m,sim4_radius_first_180deg_m,sim4_u_body_10s_after_turn_mps
64.55,0.07,6.0,1600.0,81.04992888450846,0.00017615407247137236,0.671097195424038,0.8826294190109213,0.7431964096365377,8.785292355150535,0.5037531454864268,10.0,10.0,0.9898030661736773,10.0,10.0,0.9999918095599323,2.303423122556551,0.0895466108662585,0.01226362602295079,2.6048664417918763,19.350170999998227,20.551497999993444,0.23742089554640255,0.3354287984104488,,,,,1.5605338698166333e-05
64.55,0.07,6.0,2200.0,81.05547617398366,0.00017615407247137236,0.671097195424038,0.8826294190109213,0.7431964096365378,8.785292355150535,0.5037531454864268,10.0,10.0,0.9925767109112843,10.0,10.0,0.9999918095599323,2.303423122556551,0.0895466108662585,0.01226362602295079,2.6048664417918754,19.350170999998227,20.551497999993444,0.23742089554640255,0.24418957518911527,,,,,1.5605338698166333e-05
64.55,0.06,12.0,200.0,81.05933289783825,0.2510535204448987,0.7321116789293746,0.9351260288857423,0.7952379254750991,8.73580854372469,0.49642319421742986,10.0,10.0,0.9309408448376917,10.0,10.0,0.40334313993091825,1.7254445826546059,0.07293489416562983,0.006778445788242268,2.0769875363763215,19.252317999998922,20.451321000000462,0.17670042355115156,2.271705380252277,,,,,1.1368171076285971
64.55,0.05,8.0,200.0,81.13578825446805,0.27806286168714844,0.7642717290360319,0.9140232173684538,0.8156252402904893,8.785292355150535,0.5037531454864268,10.0,10.0,0.9424507040314097,10.0,10.0,0.2826994778335078,1.663219680342236,0.06417904455816589,0.00898340197317353,1.8701904580111268,19.350170999998227,20.551497999993444,0.17131399985085763,1.8930878168768985,,,,,1.366680850389253
64.55,0.07,8.0,800.0,81.16867720449702,0.06502196538626631,0.6788237753669386,0.9028186505034125,0.7519754843882758,8.73580854372469,0.5037531454864268,10.0,10.0,0.979620510936734,10.0,10.0,0.9999918095684805,2.1540294650742497,0.0874429831748924,0.010154126499064716,2.5158166073311574,19.252317999998922,20.551497999993444,0.2217449738050498,0.6703846121923308,,,,,1.5605322411290286e-05
64.55,0.07,8.0,1200.0,81.18225822750941,0.06502196538626631,0.6788237753669386,0.9028186505034125,0.7519754843882758,8.73580854372469,0.5037531454864268,10.0,10.0,0.9864110224429326,10.0,10.0,0.9999918095684805,2.1540294650742497,0.0874429831748924,0.010154126499064716,2.5158166073311574,19.252317999998922,20.551497999993444,0.2217449738050498,0.44701029654886754,,,,,1.5605322411290286e-05
64.55,0.07,8.0,1600.0,81.18904231497089,0.06502196538626631,0.6788237753669386,0.9028186505034125,0.7519754843882758,8.73580854372469,0.5037531454864268,10.0,10.0,0.9898030661736773,10.0,10.0,0.9999918095684805,2.1540294650742497,0.0874429831748924,0.010154126499064716,2.5158166073311565,19.252317999998922,20.551497999993444,0.2217449738050498,0.3354287984104488,,,,,1.5605322411290286e-05
64.55,0.07,8.0,2200.0,81.19458960444611,0.06502196538626631,0.6788237753669386,0.9028186505034125,0.7519754843882758,8.73580854372469,0.5037531454864268,10.0,10.0,0.9925767109112843,10.0,10.0,0.9999918095684805,2.1540294650742497,0.0874429831748924,0.010154126499064716,2.5158166073311565,19.252317999998922,20.551497999993444,0.2217449738050498,0.24418957518911527,,,,,1.5605322411290286e-05
64.55,0.06,14.0,200.0,81.22965935891541,0.2845775693021573,0.737554718107078,0.9480782084680855,0.8006432778132788,8.73580854372469,0.49642319421742986,10.0,10.0,0.9309408448376917,10.0,10.0,0.468199127057383,1.6482109083288166,0.07145298004269006,0.005425119552302987,2.0221587822617177,19.252317999998922,20.451321000000462,0.16782951884885966,2.271705380252277,,,,,1.0132462570580218
64.55,0.06,12.0,400.0,81.23455326690916,0.2510535204448987,0.7321116789293746,0.9351260288857423,0.7952379254750992,8.73580854372469,0.49642319421742986,10.0,10.0,0.9651332745960474,10.0,10.0,0.5101786494851451,1.7254445826546059,0.07293489416562983,0.006778445788242268,2.076987536376321,19.252317999998922,20.451321000000462,0.17670042355115156,1.1469431895855033,,,,,0.9332621950957861
64.55,0.05,10.0,200.0,81.29337667564177,0.31338119478095944,0.7682369423226838,0.9245225297980042,0.8202212975244285,8.73580854372469,0.5037531454864268,10.0,10.0,0.9424507040314097,10.0,10.0,0.38856156317690976,1.5818522820452212,0.06309948121531357,0.007886366923597466,1.8235707233092149,19.252317999998922,20.551497999993444,0.16300499983839972,1.8930878168768985,,,,,1.1649806140864571
64.55,0.07,10.0,800.0,81.33256802700735,0.11919469828243213,0.6863945511633743,0.9217134920158142,0.7600165129536044,8.73580854372469,0.5037531454864268,10.0,10.0,0.979620510936734,10.0,10.0,0.9999918095770286,2.029224754651137,0.08538177449935938,0.008179873086341282,2.4342530846496038,19.252317999998922,20.551497999993444,0.20798080252769624,0.6703846121923308,,,,,1.5605306124445448e-05
64.55,0.07,10.0,1200.0,81.34614905001975,0.11919469828243213,0.6863945511633743,0.9217134920158142,0.7600165129536043,8.73580854372469,0.5037531454864268,10.0,10.0,0.9864110224429326,10.0,10.0,0.9999918095770286,2.029224754651137,0.08538177449935938,0.008179873086341282,2.4342530846496047,19.252317999998922,20.551497999993444,0.20798080252769624,0.44701029654886754,,,,,1.5605306124445448e-05
64.55,0.07,10.0,1600.0,81.35293313748123,0.11919469828243213,0.6863945511633743,0.9217134920158142,0.7600165129536044,8.73580854372469,0.5037531454864268,10.0,10.0,0.9898030661736773,10.0,10.0,0.9999918095770286,2.029224754651137,0.08538177449935938,0.008179873086341282,2.4342530846496038,19.252317999998922,20.551497999993444,0.20798080252769624,0.3354287984104488,,,,,1.5605306124445448e-05
64.55,0.07,10.0,2200.0,81.35848042695645,0.11919469828243213,0.6863945511633743,0.9217134920158142,0.7600165129536042,8.73580854372469,0.5037531454864268,10.0,10.0,0.9925767109112843,10.0,10.0,0.9999918095770286,2.029224754651137,0.08538177449935938,0.008179873086341282,2.4342530846496055,19.252317999998922,20.551497999993444,0.20798080252769624,0.24418957518911527,,,,,1.5605306124445448e-05
64.55,0.06,14.0,400.0,81.39648396739702,0.2845775693021573,0.737554718107078,0.9480782084680855,0.8006432778132788,8.73580854372469,0.49642319421742986,10.0,10.0,0.9651332745960474,10.0,10.0,0.5666388760222771,1.6482109083288166,0.07145298004269006,0.005425119552302987,2.0221587822617186,19.252317999998922,20.451321000000462,0.16782951884885966,1.1469431895855033,,,,,0.8256878827505525
64.55,0.06,6.0,800.0,81.41466586090306,0.1140382640693595,0.7152031475595013,0.8916145576651455,0.7764393252377281,8.785292355150535,0.5037531454864268,10.0,10.0,0.9825318665172005,10.0,10.0,0.9999929796196589,2.0411042970772475,0.07753838692346755,0.011324801495618696,2.267669616956592,19.350170999998227,20.551497999993444,0.2098500611785485,0.5746153818791406,,,,,1.3376010581370534e-05
64.55,0.06,6.0,1200.0,81.42630673777083,0.1140382640693595,0.7152031475595013,0.8916145576651455,0.7764393252377281,8.785292355150535,0.5037531454864268,10.0,10.0,0.9883523049510851,10.0,10.0,0.9999929796196589,2.0411042970772475,0.07753838692346755,0.011324801495618696,2.2676696169565917,19.350170999998227,20.551497999993444,0.2098500611785485,0.3831516827561721,,,,,1.3376010581370534e-05
64.55,0.06,6.0,1600.0,81.43212166988067,0.1140382640693595,0.7152031475595013,0.8916145576651455,0.776439325237728,8.785292355150535,0.5037531454864268,10.0,10.0,0.991259771006009,10.0,10.0,0.9999929796196589,2.0411042970772475,0.07753838692346755,0.011324801495618696,2.2676696169565935,19.350170999998227,20.551497999993444,0.2098500611785485,0.28751039863752753,,,,,1.3376010581370534e-05
64.55,0.06,6.0,2200.0,81.43687648943086,0.1140382640693595,0.7152031475595013,0.8916145576651455,0.7764393252377282,8.785292355150535,0.5037531454864268,10.0,10.0,0.993637180781101,10.0,10.0,0.9999929796196589,2.0411042970772475,0.07753838692346755,0.011324801495618696,2.2676696169565913,19.350170999998227,20.551497999993444,0.2098500611785485,0.20930535016209875,,,,,1.3376010581370534e-05
64.55,0.05,12.0,200.0,81.46032436334742,0.34389494692853306,0.772144686347338,0.9345315534154369,0.824531136754507,8.73580854372469,0.5037531454864268,10.0,10.0,0.9424507040314097,10.0,10.0,0.4651879642668374,1.511553816431534,0.06203556437218478,0.00684056037254615,1.7798542177725893,19.252317999998922,20.551497999993444,0.15545223736023742,1.8930878168768985,,,,,1.0189834598009024
64.55,0.07,12.0,800.0,81.4700358410151,0.16534049751918362,0.6938138377915911,0.9394245765461001,0.7674171574488253,8.73580854372469,0.49642319421742986,10.0,10.0,0.979620510936734,10.0,10.0,0.9999918095855767,1.922912726383619,0.08336181004980504,0.0063293061443534535,2.359185245972004,19.252317999998922,20.451321000000462,0.19580110532366957,0.6703846121923308,,,,,1.5605289837631828e-05
64.55,0.07,12.0,1200.0,81.4836168640275,0.16534049751918362,0.6938138377915911,0.9394245765461001,0.7674171574488254,8.73580854372469,0.49642319421742986,10.0,10.0,0.9864110224429326,10.0,10.0,0.9999918095855767,1.922912726383619,0.08336181004980504,0.0063293061443534535,2.359185245972003,19.252317999998922,20.451321000000462,0.19580110532366957,0.44701029654886754,,,,,1.5605289837631828e-05
64.55,0.07,12.0,1600.0,81.490400951489,0.16534049751918362,0.6938138377915911,0.9394245765461001,0.7674171574488253,8.73580854372469,0.49642319421742986,10.0,10.0,0.9898030661736773,10.0,10.0,0.9999918095855767,1.922912726383619,0.08336181004980504,0.0063293061443534535,2.3591852459720033,19.252317999998922,20.451321000000462,0.19580110532366957,0.3354287984104488,,,,,1.5605289837631828e-05
64.55,0.07,12.0,2200.0,81.49594824096421,0.16534049751918362,0.6938138377915911,0.9394245765461001,0.7674171574488253,8.73580854372469,0.49642319421742986,10.0,10.0,0.9925767109112843,10.0,10.0,0.9999918095855767,1.922912726383619,0.08336181004980504,0.0063293061443534535,2.359185245972004,19.252317999998922,20.451321000000462,0.19580110532366957,0.24418957518911527,,,,,1.5605289837631828e-05
