rpm,THRUST_COEF,DRAG_COEF,TURN_COEF,MASS,score_total,err_peak_u_body_mps,err_initial_accel_0_2_after_motion_mps2,err_initial_accel_0_5_after_motion_mps2,err_distance_at_10s_after_motion_m,err_time_to_50pct_peak_u_after_motion_s,err_time_to_90pct_peak_u_after_motion_s,rpm_start_idx,rpm_start_t_sec,motion_start_idx,motion_start_t_sec,motion_lag_s,u_body_at_2s_after_motion_mps,u_body_at_5s_after_motion_mps,u_body_at_10s_after_motion_mps,distance_at_5s_after_motion_m,distance_at_10s_after_motion_m,initial_accel_0_2_after_motion_mps2,initial_accel_0_5_after_motion_mps2,peak_u_body_mps,time_to_50pct_peak_u_after_motion_s,time_to_90pct_peak_u_after_motion_s,u_body_at_2s_after_rpm_mps,u_body_at_5s_after_rpm_mps,u_body_at_10s_after_rpm_mps,distance_at_5s_after_rpm_m,distance_at_10s_after_rpm_m
14.0,0.05,1.25,1.0,64.55,8.478744084046197,0.0009504860964534103,0.5963335959573764,0.0071237746701195885,0.44681146528669435,5.11891427198924,1.2609530553707284,0,0.0,4,0.4,0.4,0.2768501466932823,0.576363682534163,1.0038318399759019,1.6254352863817665,5.611223145358841,0.10990164236875131,0.10374203324134239,2.30601870879554,12.1,30.900000000000002,0.23427048394023098,0.5383944456319855,0.9726834983428353,1.4162894692123993,5.229728733805475
15.0,0.04,1.5,1.0,64.55,8.519917933999587,0.173885715918149,0.6332008929725491,0.10782632772690497,0.5041034166176932,4.5626493381720366,1.173149053220409,0,0.0,4,0.4,0.4,0.25195983142970113,0.5190538317006497,0.8891304458759997,1.4732647469392623,5.0300868723197025,0.09986420439747987,0.09321998896212313,1.903226004839973,11.0,29.700000000000003,0.21351380707321724,0.4855297847215012,0.8626464296472608,1.2850081903706967,4.692395407139875
12.7,0.06,1.25,1.0,64.55,8.541177517570791,0.010925655549386045,0.6013811012609855,0.019519132798863772,0.4537089886958918,5.11891427198924,1.2609530553707284,0,0.0,4,0.4,0.4,0.2733881877624493,0.5691674653761792,0.9913555128159066,1.605121130286194,5.541258674711593,0.10852741573711654,0.10244688725816278,2.2786581098408254,12.1,30.900000000000002,0.2313406104562025,0.5316705225654387,0.9605889626422953,1.3985866410655046,5.1645057030706205
18.0,0.06,1.5,1.0,64.55,8.672603392291922,0.6886813580233245,0.20279252458029867,0.9400662839329876,0.031229254297562622,4.3098016409824,1.107296051607669,0,0.0,2,0.2,0.2,0.5026622643144129,1.0825943107089606,1.8773592632125264,2.9763420808628998,10.460190507897094,0.21704657603365932,0.20271048473470435,3.890433002318159,10.500000000000002,28.8,0.4610083654211692,1.0464752220318132,1.8493290453301365,2.772585088067155,10.096672614697532
15.0,0.05,1.25,1.0,64.55,8.695503576051067,0.14027172619152478,0.5357706808276992,0.14591477337945136,0.3759981373813339,5.11891427198924,1.253636055191535,0,0.0,3,0.30000000000000004,0.30000000000000004,0.30564340496571746,0.6506229540483845,1.1423770404107538,1.8059894235763854,6.329512407713805,0.12639041570419102,0.11973247568918167,2.6269910152727167,12.1,30.8,0.2689206065313575,0.6178967699940597,1.115585687715006,1.625632985760784,6.000740881194618
12.7,0.07,1.25,1.0,64.55,8.701554646881123,0.14411425469427128,0.5341085964655696,0.15001065652716666,0.3737713162949578,5.11891427198924,1.253636055191535,0,0.0,3,0.30000000000000004,0.30000000000000004,0.3067377792240859,0.6529484567707744,1.1464387618767238,1.8124516012599865,6.352099987239333,0.12684293243415443,0.12016043965369473,2.635843543683957,12.1,30.8,0.2698835955337833,0.6201058057229404,1.11955367788106,1.631450521625648,6.022159547316204
14.0,0.06,1.25,1.0,64.55,8.721280491747649,0.18878272343371583,0.5147373262665194,0.19774378266443768,0.3478219653038372,5.068344732551313,1.253636055191535,0,0.0,3,0.30000000000000004,0.30000000000000004,0.31949253877747785,0.6800496770348401,1.1937625615913223,1.8877650190273758,6.6153151295485975,0.13211692697103858,0.12514790076124688,2.73875205518098,12.0,30.8,0.28110713476949384,0.6458499942491787,1.165786192262827,1.6992513364921311,6.271755501896615
12.7,0.08,1.25,1.0,64.55,8.832733604264545,0.2966147505887427,0.46759330584185327,0.31388461808406026,0.28469815807576804,5.017775193113385,1.2463190550123417,0,0.0,3,0.30000000000000004,0.30000000000000004,0.3505342125538917,0.745990276670205,1.3088213225894223,2.0710404632190214,7.25560636104507,0.14495229107527965,0.1372830351328818,2.9871786012298114,11.9,30.7,0.30842264445976325,0.7084908086131919,1.2781977977496375,1.8642476993534112,6.878934431584134
18.0,0.04,1.25,1.0,64.55,8.841083290007232,0.3019400274937963,0.46525108370434587,0.31965373643754363,0.281563107414453,5.017775193113385,1.2463190550123417,0,0.0,3,0.30000000000000004,0.30000000000000004,0.3520764449546771,0.7492657694251972,1.3145335114232914,2.080145433382718,7.287406493782384,0.14558998115086327,0.13788582937120838,2.9994471283379416,11.9,30.7,0.3097797665814871,0.711602465232268,1.2837787912964786,1.872444685865904,6.9090906817406035
16.0,0.05,1.25,1.0,64.55,8.86811720829772,0.2869314652277044,0.47184892475365675,0.3034023718387903,0.2903945415065794,5.068344732551313,1.2463190550123417,0,0.0,3,0.30000000000000004,0.30000000000000004,0.3477321098998165,0.74003884225669,1.298441745427819,2.0544973666747635,7.197825556588642,0.14379366230900428,0.1361877832669612,2.9648699680703,12.0,30.7,0.30595687487580686,0.7028370759133653,1.2680566690503339,1.8493543714699305,6.8241407156461324
