#{"t_start": 1787072221.770387, "env_id": "None"}
r,l,t
-981.0956,96,192.178146
-979.1125,101,192.578772
-962.2021,149,192.630261
-965.9353,178,192.958668
-990.9701,70,257.291442
-991.37085,70,257.380344
-989.6171,157,257.405879
-972.2217,118,257.405879
-992.5546,66,257.978092
-972.65643,167,258.311327
82.836815,201,258.868327
-991.9907,71,259.181034
-980.7922,99,329.567026
-976.25037,106,329.749441
-981.98846,92,329.871006
-978.0783,230,330.025899
-970.08936,152,330.475215
-979.37866,99,330.75665
-992.5974,66,330.790184
-971.2509,163,331.183716
-980.508,98,331.379783
-983.7568,197,332.08627
-963.96783,138,332.166198
-993.3105,64,332.18544
-981.62946,105,332.427442
103.14016,188,332.506262
-983.23694,89,332.832466
-969.9477,188,333.422598
-985.34424,86,333.486439
-985.109,86,333.564891
-999.0154,182,333.623952
-976.99054,112,334.216215
-972.0378,117,334.356761
-986.8321,133,334.84389
-978.4272,186,335.056086
-973.70197,120,335.322811
-994.4417,142,335.554947
-982.5258,91,335.625094
-990.1572,72,336.272359
-961.76105,213,336.480889
-973.4651,212,336.642927
-997.45123,129,336.830492
-984.4407,133,337.356399
-978.12305,187,337.398863
-980.3249,133,337.44122
-957.91,240,337.53875
-986.5502,82,337.631364
-981.32666,97,337.683728
-980.5076,96,338.321905
-972.33093,137,338.74082
-982.09406,92,338.883831
-978.966,105,339.342412
-983.3631,91,339.729715
-968.26166,140,339.78993
-968.0633,152,339.876026
-988.1132,78,340.069279
-978.07874,192,340.417544
-986.1024,199,340.745456
-989.52924,76,340.823069
-993.8716,63,341.367549
-967.4867,181,341.473806
-973.4785,113,341.473806
-983.92224,133,341.875276
-988.5728,76,341.933958
-991.2698,89,342.209031
-969.8616,197,342.306864
-979.6525,211,343.34962
-986.3497,125,343.389706
-988.57886,76,343.478134
-965.7331,136,343.652356
-990.71564,137,344.117533
-967.3739,142,344.133772
-984.8582,174,344.234471
-986.8282,94,344.826387
-981.7839,96,344.903714
-977.54333,176,345.134861
-981.6185,95,345.653591
-981.26337,97,345.69451
-970.89764,129,346.298634
-984.67554,172,346.384668
-980.92847,99,346.476299
105.66655,208,346.791443
-966.6956,132,347.237048
-979.52124,99,347.267502
-974.9085,110,348.017003
83.14309,204,348.043513
-992.44934,66,348.274075
-986.3083,82,348.476076
