policy,class,width,dcpa_m,ct_deg,crossing_side,dcpa_below_floor,crossing_escapable,outcome,collided,collided_target,steps,return,colregs_integral,frames_v_port,frames_v_bow,frames_v_side,frames_v_hold,frames_v_r8,integral_v_port,integral_v_bow,integral_v_side,integral_v_hold,integral_v_r8,mean_speed,max_speed,min_target_range,estops,estop_reasons,estop_then_target_collision,first_engaged_cls,engaged_frames,p_port_sense,ever_port_sense_non_overtaking,r_path_max,set,scenario
model,being_overtaken,9.924433511599638,1.8595356156267682,-5.761505074223892,,False,,goal,False,False,53,-8.743317747525609,-44.22753071944988,7,1,7,12,9,2.718175275692353,0.004500819966167715,1.4477549212013718,3.940942613620823,2.12834416543354,0.752604820544786,1.0058003741142054,2.4824982203218267,0,,False,being_overtaken,21,0.0,False,0.0,development,63
model,being_overtaken,7.777153961253272,1.4989473412166083,5.817347188610187,,False,,goal,False,False,71,60.16701257245174,-11.124087677505946,0,0,0,5,0,0.0,0.0,0.0,2.746688315433566,0.0,0.5496165742747761,0.8292759137693132,2.31333048593181,0,,False,being_overtaken,15,0.0,False,0.0,development,64
model,being_overtaken,9.472351939506785,1.9738570974627374,7.020402118408914,,False,,goal,False,False,65,85.01618226134985,-25.940746991134034,0,0,0,18,0,0.0,0.0,0.0,6.405122713860255,0.0,0.5833818565183111,0.8291657591116837,2.3044170638746815,0,,False,being_overtaken,19,0.0,False,0.0,development,65
model,being_overtaken,6.791254452278463,1.5734762792775023,4.906307916812494,,False,,collision:obstacle,True,False,56,-404.1415922859851,-17.858026865923932,0,0,0,11,0,0.0,0.0,0.0,4.409389349610847,0.0,0.4792592403240513,0.9210912607911216,2.5396172631801788,0,,False,being_overtaken,20,0.0,False,0.0,development,66
model,being_overtaken,7.618572716555467,0.56048132483702,9.634710761628313,,True,,goal,False,False,63,-9.770934228720535,-24.733508366521132,0,0,2,8,1,0.0,0.0,0.7122452774690494,5.2394245447133585,0.21105688034298845,0.6205161245753329,0.7944933730385576,1.6944403654585636,0,,False,being_overtaken,19,0.0,False,0.0,development,67
model,being_overtaken,8.61263148724731,1.404032640487198,-3.382325262425738,,False,,goal,False,False,59,58.2759163294444,-17.032725360445234,0,1,4,8,0,0.0,0.15680786621650183,0.7573026719843707,3.340799210748102,0.0,0.649838813037954,0.9913506180405967,2.2192331160574166,0,,False,being_overtaken,26,0.0,False,0.0,development,68
model,being_overtaken,7.715636756725871,1.4454487561777294,5.5446980820429825,,False,,goal,False,False,65,76.48127639966037,-13.424469915029555,0,0,0,6,0,0.0,0.0,0.0,3.3146839296369275,0.0,0.5952206242936932,0.7750017379647745,2.3978372907955734,0,,False,being_overtaken,15,0.0,False,0.0,development,69
model,being_overtaken,7.643066319700785,1.904501364148537,4.629622213453132,,False,,goal,False,False,66,116.02640283409671,-9.971262577004111,0,0,0,6,0,0.0,0.0,0.0,2.4620401424701512,0.0,0.585865876236458,0.8382033679849722,2.3684649751254296,0,,False,being_overtaken,14,0.0,False,0.0,development,70
model,being_overtaken,7.958885684444756,1.982710486307465,9.96521668439594,,False,,goal,False,False,64,96.70962697092199,-12.14438998718493,0,0,0,8,0,0.0,0.0,0.0,2.9986148116506004,0.0,0.5976518791570373,0.811847722881321,2.336590605948794,0,,False,being_overtaken,17,0.0,False,0.0,development,71
model,being_overtaken,8.919597231476935,1.87257929162381,2.993931110256792,,False,,goal,False,False,67,92.21249176070042,-14.809115517668623,0,0,1,9,0,0.0,0.0,0.37437686663029096,3.323792295752981,0.0,0.5699297964512616,0.6943281899187324,2.559989237184258,0,,False,being_overtaken,18,0.0,False,0.0,development,72
