mode,set,scenario,true_range,pos_err,course_err,speed_err,dis_err,clears_disagree
centroid,head_on_width,1,3.185900808795724,0.666528858990034,8.815777600335224,0.12699316586895693,0.6302408449972727,False
centroid,head_on_width,1,3.746450760461786,0.641343813488656,2.295461275140667,0.04111116847061358,0.6254984772866665,False
centroid,head_on_width,1,4.317563394178024,0.6792912544907972,0.06130793200142648,0.05686567502642892,0.6704540158131613,False
centroid,head_on_width,1,4.895548393375834,0.6912539776608937,0.9094104826345699,0.04233449899475883,0.6844851872168123,False
centroid,head_on_width,1,5.478234828002393,0.687723902392136,2.3279211121060257,0.012811121081482968,0.6864791961018417,False
centroid,head_on_width,1,6.064270637656818,0.7140391615768982,2.3942614624890552,0.03823657266456937,0.7103043217712468,False
centroid,head_on_width,1,6.652773104147439,0.7650897238436978,2.002370808949536,0.07031372760423205,0.7611325579338208,False
centroid,head_on_width,1,7.243142858858252,0.8106414929335305,8.275694452135667,0.07928746452047053,0.7967583330074488,False
centroid,head_on_width,1,7.834959270963745,0.8608229609357434,3.3019301697109142,0.0913634204660485,0.8498280495616823,False
centroid,head_on_width,1,8.427918746975143,0.8620637979477763,1.3734580369225284,0.047194699698007936,0.8568674097434155,False
centroid,head_on_width,1,9.021796823503342,0.838084433225791,0.15317915884142508,0.00141297514068206,0.8335262021310648,False
centroid,head_on_width,1,9.616424041166047,0.8257312423886058,2.417768978239451,0.010690991483359613,0.8187050258985948,False
centroid,head_on_width,1,10.211670110006148,0.8526903159640296,4.95638664245385,0.0186588980809147,0.8400549097448007,False
centroid,head_on_width,1,10.807433232636026,0.8257956428028622,3.8429689520855845,0.017328278257738194,0.8114654438591273,False
centroid,head_on_width,1,11.403632731450612,0.839743222139109,0.3960886284706078,0.0060891170001180495,0.8308854426042345,False
centroid,head_on_width,1,12.00020384837802,0.8410613655392084,0.0782718495613608,0.0044049762302963424,0.8326870277403025,False
centroid,head_on_width,1,12.597094006791142,0.8682169315604957,2.5859677703851673,0.027913507773378754,0.863628462123355,False
centroid,head_on_width,1,13.194260078256468,0.8499056535359925,3.2904848716611923,0.004869495012549185,0.8478554289719487,False
centroid,head_on_width,1,13.791666352970555,0.8638545922263855,2.7588510699744972,0.010278174498748238,0.8626700378773666,False
centroid,head_on_width,1,14.389283011477225,0.8705466137063108,1.2026196613997229,0.013219339826409437,0.8675126468436591,False
centroid,head_on_width,1,14.987084959073213,0.8140860539504017,1.514268284642469,0.04920256482587104,0.8132290689451587,False
centroid,head_on_width,1,15.585050926382348,0.8566396765215615,0.6639273789514277,0.016837982086680303,0.8547822054601593,False
centroid,head_on_width,1,16.183162767827543,0.8649559078223988,0.6639273789514277,0.016837982086680303,0.862993124418205,False
centroid,head_on_width,1,16.781404909017002,0.8732889138252335,0.6639273789514277,0.016837982086680303,0.8712093771225202,False
centroid,head_on_width,1,17.36102840023826,1.1126191039800974,1.845457039769144,0.016837982086680303,0.8606953981170413,False
centroid,head_on_width,2,14.56008717564678,0.6720038636922516,3.156489141066686,0.05443534831554231,0.7482060734785394,False
centroid,head_on_width,2,14.07311002895016,0.7539404640262332,2.650736834562508,0.04948576455491116,0.6119577705935914,False
centroid,head_on_width,2,13.587277823327364,0.7337854737986469,5.1105838351682,0.00755684700006426,1.1657876968929082,True
centroid,head_on_width,2,13.102483263414511,0.7446503923619632,1.8932687105632908,0.014177404788492054,0.4169225849337972,False
centroid,head_on_width,2,12.61863235628364,0.758331373717504,1.5509775748341497,0.020547733513409883,0.33444524192996816,False
centroid,head_on_width,2,12.135643211843245,0.781156294408719,2.1314743381946357,0.03269626271491566,0.44695066155437835,False
centroid,head_on_width,2,11.653445062961556,0.8140782916864872,0.38061846939103816,0.04879467255989278,0.09116229536432263,False
centroid,head_on_width,2,11.171977496199183,0.7471078318053251,3.2732708432510833,0.0390032817292269,0.5972610940809547,False
centroid,head_on_width,2,10.691189892814304,0.685184213355511,2.892748824001842,0.08045304202040271,0.52897732256626,False
centroid,head_on_width,2,10.211041089964402,0.7208674015245048,2.588127045801457,0.007002935773313401,0.46279633832999373,False
centroid,head_on_width,2,9.73149928493764,0.7305224577075246,3.497773587349002,0.00535765817412831,0.6007300865339753,False
centroid,head_on_width,2,9.252542222519814,0.7321131846027951,8.207496665807014,0.0032126638081171333,0.416804722626121,False
centroid,head_on_width,2,8.774157729887007,0.7006158408529428,1.8952128106723194,0.02880842893384611,0.3490629286479988,False
centroid,head_on_width,2,8.296344698936785,0.6842736158799373,1.4163897531262535,0.031171760550281036,0.2734212921249356,False
centroid,head_on_width,2,7.819114669689906,0.6941318809301635,0.26417209503895833,0.005627812970531942,0.046108650992022215,False
centroid,head_on_width,2,7.342494252086458,0.6887054507794488,4.190835505031345,0.004277610602482329,0.4327933909937166,False
centroid,head_on_width,2,6.866528757682164,0.7266492377825645,4.665644073315633,0.036754779024832485,0.46724542894369003,False
centroid,head_on_width,2,6.391287634269048,0.6959183816746503,2.152413918962793,0.013601193972935799,0.2737129339867844,False
centroid,head_on_width,2,5.916872673716403,0.638169603655607,3.002560948458921,0.0640929331160488,0.34732061030695305,False
centroid,head_on_width,2,5.4434306281427425,0.6212406243084548,8.383662935381466,0.0528462203877168,0.8221451290482371,False
centroid,head_on_width,2,4.971173086409769,0.5915281244759447,5.09073853838845,0.05821055976841144,0.5103160132878962,False
centroid,head_on_width,2,4.500408787955327,0.5286012005473865,3.2961070223957165,0.09336831771518911,0.35242858945773226,False
centroid,head_on_width,2,4.031598216017574,0.49255573280532156,4.327725573372106,0.08801173998107592,0.4068274956170691,False
centroid,head_on_width,2,3.565450213586155,0.4756692226984484,1.081901801433446,0.060956671274730645,0.19343368740383693,False
centroid,head_on_width,2,3.103102788371334,0.48829829852158296,1.7222626155406715,0.02109267340548482,0.22150557710425633,False
