policy,class,width,dcpa_m,ct_deg,crossing_side,dcpa_below_floor,crossing_escapable,outcome,collided,collided_target,steps,return,colregs_integral,frames_v_port,frames_v_bow,frames_v_side,frames_v_hold,frames_v_r8,integral_v_port,integral_v_bow,integral_v_side,integral_v_hold,integral_v_r8,mean_speed,max_speed,min_target_range,estops,estop_reasons,estop_then_target_collision,first_engaged_cls,engaged_frames,p_port_sense,ever_port_sense_non_overtaking,r_path_max,set,scenario
model,being_overtaken,9.263701505753867,1.7168351782568199,-7.287049367728528,,False,,goal,False,False,45,99.59241129131178,-28.908817376743826,0,0,0,14,0,0.0,0.0,0.0,7.137979599196006,0.0,0.5370355574676813,0.7178687981516897,1.519748694696773,0,,False,being_overtaken,23,0.0,False,0.0,development,62
model,being_overtaken,9.201657506973971,1.3384111803369196,0.9603339048021038,,False,,goal,False,False,60,-28.890681213417352,-6.594949182354815,0,0,0,3,0,0.0,0.0,0.0,1.628382514161683,0.0,0.4051639684663611,0.861361040024034,1.603495130818665,0,,False,being_overtaken,12,0.0,False,0.0,development,63
model,being_overtaken,9.419592259148496,1.3554472627926804,-3.5826469593876826,,False,,goal,False,False,53,86.81350888243301,-20.602842443595062,0,0,0,7,0,0.0,0.0,0.0,5.087121591011126,0.0,0.4836730878806249,0.6691314291713423,1.634559784133514,0,,False,being_overtaken,16,0.0,False,0.0,development,64
model,being_overtaken,9.201353859109185,1.26594027665971,3.0836699396428067,,False,,goal,False,False,45,107.9304392565076,-15.659180520973159,0,0,0,8,0,0.0,0.0,0.0,3.8664643261662124,0.0,0.5377200272995182,0.7402898519460993,1.7484150915776335,0,,False,being_overtaken,18,0.0,False,0.0,development,65
model,being_overtaken,9.352354251818824,1.8649907102640115,-9.542742054762993,,False,,goal,False,False,44,120.36409928699223,-7.639551984048818,0,0,0,7,0,0.0,0.0,0.0,1.886309131863906,0.0,0.552029179597446,0.7280139922465376,1.6837047883868026,0,,False,being_overtaken,16,0.0,False,0.0,development,66
model,being_overtaken,9.226265367820247,1.1780699883974688,-1.698023690478136,,False,,goal,False,False,44,100.10194903600565,-18.390162035104535,0,0,0,14,0,0.0,0.0,0.0,4.540780749408526,0.0,0.5476160634500096,0.7780961512470252,1.35157261844182,0,,False,being_overtaken,22,0.0,False,0.0,development,67
model,being_overtaken,9.228035830753342,1.1978143228060183,-2.6363731345039128,,False,,goal,False,False,55,92.51905388016016,-18.23963579749416,0,0,0,8,0,0.0,0.0,0.0,4.503613777159051,0.0,0.49239833965800656,0.5981241597716525,1.5814088129140111,0,,False,being_overtaken,17,0.0,False,0.0,development,68
model,being_overtaken,9.200193065365328,0.19086248924666288,1.2060094728909476,,True,,collision:target,True,True,13,-312.8443321888711,-19.33664857031466,0,0,0,6,0,0.0,0.0,0.0,4.774481128472756,0.0,0.48473098715859214,0.5723050715084512,1.839942169383433,0,,False,being_overtaken,12,0.0,False,0.0,development,69
model,being_overtaken,9.33910709037673,1.4967787552906244,8.105707539753652,,False,,goal,False,False,52,102.16359378952934,-13.398082799866852,0,0,0,6,0,0.0,0.0,0.0,3.3081685925597166,0.0,0.49295118287820416,0.6306433878589435,1.3650892033526711,0,,False,being_overtaken,14,0.0,False,0.0,development,70
model,being_overtaken,9.201918994820689,1.403376455442556,-3.9325578846514597,,False,,goal,False,False,45,106.77263603843335,-17.99681349102776,0,0,0,11,0,0.0,0.0,0.0,4.443657652105619,0.0,0.53689412022497,0.6338053116870286,1.9913421725977418,0,,False,being_overtaken,20,0.0,False,0.0,development,71
