policy,class,width,dcpa_m,ct_deg,crossing_side,dcpa_below_floor,outcome,collided,collided_target,steps,return,colregs_integral,frames_v_port,frames_v_bow,frames_v_side,frames_v_hold,frames_v_r8,integral_v_port,integral_v_bow,integral_v_side,integral_v_hold,integral_v_r8,mean_speed,max_speed,min_target_range,estops,estop_reasons,estop_then_target_collision,first_engaged_cls,engaged_frames,p_port_sense,ever_port_sense_non_overtaking,r_path_max,scenario
compliant,being_overtaken,7.715636756725871,1.0153730961261043,-20.115703048698954,,False,collision:target,True,True,16,-282.3150037958461,-1.7203254833090427,0,0,0,11,0,0.0,0.0,0.0,0.42477172427383775,0.0,0.545408380265378,0.5600452658841135,1.7867307701760629,0,,False,being_overtaken,14,0.0,False,0.0,45
compliant,being_overtaken,7.643066319700785,1.428419899787731,30.035851887711317,,False,collision:target,True,True,68,-280.5684248706412,-29.27770778952583,0,2,4,5,4,0.0,0.8574284936489072,0.38744088508140495,4.3667997747923195,1.322913438169286,0.5458097509311227,0.5579226638858188,0.6836449682129814,0,,False,being_overtaken,17,0.0,False,0.0,46
compliant,being_overtaken,7.958885684444756,1.2954947425930026,13.360187385941856,,False,collision:target,True,True,12,-287.88848633791775,-1.936864944808498,0,0,0,3,0,0.0,0.0,0.0,0.4782382579774068,0.0,0.5295885374851151,0.5581024724298835,1.868771623381246,0,,False,being_overtaken,10,0.0,False,0.0,47
compliant,null,9.556232149411287,7.415079221008671,3.2202052079999497,,,goal,False,False,69,171.74158153125683,-5.536657586217713,0,0,3,0,3,0.0,0.0,0.43302899822308316,0.0,0.8839451539143586,0.541929174590157,0.557215453268749,4.861676351540411,0,,False,overtaking,4,0.0,False,0.0,48
compliant,null,7.111260720178818,8.273866545950307,-13.430990414865116,,,goal,False,False,68,173.11836968609373,-10.156680897900062,0,1,3,0,3,0.0,0.9418883744377138,0.5130235795102779,0.0,0.8105441240436395,0.5548415063728626,0.5579941683373266,4.702823172608226,0,,False,overtaking,3,0.0,False,0.0,49
compliant,null,9.924433511599638,8.480442251715623,-7.349722634774217,,,goal,False,False,68,170.8074986095191,-8.017130746603831,0,1,4,0,0,0.0,0.904486192179688,0.9833122486984376,0.0,0.0,0.5511701167308739,0.5579600596001368,4.851470973155539,0,,False,overtaking,4,0.0,False,0.0,50
compliant,null,7.777153961253272,8.19210853540256,1.5450735276472507,,,goal,False,False,68,176.8401301099408,-5.239699380983474,0,0,5,0,4,0.0,0.0,0.9914625334807269,0.0,0.3712076134339683,0.5572652294461818,0.5586246441793747,4.631622345803543,0,,False,overtaking,5,0.0,False,0.0,51
compliant,null,9.472351939506785,9.833754847651186,-7.881894193512018,,,goal,False,False,67,179.13096609069936,-2.086576346579596,0,0,2,0,3,0.0,0.0,0.05438986333564576,0.0,0.42017174190472695,0.5616151797798359,0.5640071557932842,4.792027533857692,0,,False,overtaking,4,0.0,False,0.0,52
compliant,null,7.618572716555467,5.737909351285462,19.269421523256625,,,goal,False,False,67,177.72214453376085,-5.642594711969053,0,0,4,0,4,0.0,0.0,0.22474261105674762,0.0,1.074115847147725,0.5575073761098529,0.5581516832419999,4.875668003800954,0,,False,overtaking,4,0.0,False,0.0,53
compliant,null,8.61263148724731,4.994217003827502,-2.2541536120884516,,,goal,False,False,68,176.56252762160938,-4.934694334464975,0,1,4,0,3,0.0,0.010898049959917902,1.0598163829585834,0.0,0.23675777966944023,0.5564099678019776,0.5596491084135025,4.708368061610687,0,,False,overtaking,4,0.0,False,0.0,54
compliant,null,7.715636756725871,10.985401796677808,11.51508315874964,,,goal,False,False,69,173.46112769992683,-2.8935521345661765,0,1,0,0,2,0.0,0.4345171051011241,0.0,0.0,0.16504276984791377,0.543795659130723,0.5575025757615211,4.923872584134567,0,,False,overtaking,4,0.0,False,0.0,55
compliant,null,7.643066319700785,9.246526787441258,17.067746299587732,,,goal,False,False,69,172.4257185576859,-3.3769654438721455,0,1,3,0,3,0.0,0.17346845461036017,0.4662233203338354,0.0,0.18664280896645657,0.5451715397502027,0.5578001340230037,4.80453673834014,0,,False,overtaking,5,0.0,False,0.0,56
compliant,null,7.958885684444756,5.9745539334029605,12.504257237913222,,,goal,False,False,69,172.09137120588625,-5.05497715286076,0,0,4,0,4,0.0,0.0,0.477938607247912,0.0,0.7409773703929502,0.5426205072449581,0.5572710041158868,4.83319369405879,0,,False,overtaking,4,0.0,False,0.0,57
compliant,null,8.919597231476935,3.3691456368695802,-6.754235357595295,,,goal,False,False,68,174.63756739918057,-6.891102114479861,0,1,4,0,2,0.0,0.5036785650786738,1.0956400038663021,0.0,0.10079760076038613,0.5566282530715657,0.5599769722855257,4.676862687851625,0,,False,overtaking,4,0.0,False,0.0,58
compliant,null,6.8745535936065325,8.528906801734072,-14.670613064706771,,,goal,False,False,68,176.47861841101656,-5.58832415980096,0,2,0,0,4,0.0,0.5027223366954229,0.0,0.0,0.6888552429241371,0.5514843786922374,0.5577890440509781,4.826568038484137,0,,False,overtaking,4,0.0,False,0.0,59
wrong_way,head_on,9.556232149411287,0.7589141160070894,188.5960326544994,,,goal,False,False,78,71.595790958131,-44.05151091135703,11,0,21,0,2,3.8583156169408963,0.0,6.758596773206484,0.0,0.13820004976805422,0.527522198085619,0.5576958521762974,2.049819075420274,0,,False,head_on,21,0.0,False,0.0,0
