scenario,policy,class,mode,slant,w_eff_at_cpa,n_obstacles,layout_redraws,layout_thinned,feasible,outcome,steps,min_target_range,wall_s
21,follower,crossing,basin,0.47813993842962804,9.20032035773287,0,0,0,True,collision:target,16,1.4474066954307028,0.5115444660186768
22,follower,crossing,basin,-11.984321328102748,9.404986784563922,3,0,0,True,collision:target,16,1.4791883584436905,0.8771238327026367
23,follower,crossing,basin,-1.1115832236299705,9.201731668071002,2,0,0,True,collision:target,17,1.3923856471774323,0.7328488826751709
24,follower,crossing,channel,0.0,4.54573294348049,0,0,0,True,goal,69,2.509249648765573,3.091318130493164
25,follower,crossing,basin,4.308918023564345,9.226077960588572,0,0,0,True,collision:target,16,1.7503996417243397,0.6082804203033447
26,follower,crossing,basin,0.4935858570712943,9.20034139048352,1,0,0,True,collision:obstacle,43,2.4026930488924227,2.2287051677703857
27,follower,crossing,channel,0.0,6.924787073852162,2,0,0,True,collision:target,19,1.5119560495237954,1.6556060314178467
28,follower,crossing,basin,-6.314457709114938,9.25615492557701,3,0,0,True,collision:target,14,1.7740798348736135,0.7671732902526855
29,follower,crossing,basin,-3.5006387316710077,9.217198206135695,2,0,0,True,collision:target,18,1.6025527304863096,0.8171384334564209
30,follower,crossing,basin,1.2540318950318274,9.202204024537643,2,0,0,True,collision:obstacle,32,2.2469144467632263,1.6798720359802246
31,follower,crossing,basin,-1.9901097838549926,9.205552454429636,2,0,0,True,collision:target,18,1.6208633091517703,0.8176147937774658
32,follower,crossing,basin,0.3190687311401172,9.200142654891936,0,0,0,True,goal,69,1.637678374515448,3.196784496307373
33,follower,crossing,basin,5.752376597574879,9.246562343954048,1,0,0,True,collision:target,20,1.4310450430111379,0.7202093601226807
34,follower,crossing,basin,-4.191033590600253,9.224667440555244,0,0,0,True,collision:target,23,1.2697686520441611,0.776470422744751
35,follower,crossing,basin,-4.171708857616648,9.224439980944133,1,0,0,True,collision:target,18,1.6017786767413897,1.3966405391693115
36,follower,crossing,basin,-7.594162483206879,9.281407130030928,3,0,0,True,collision:obstacle,25,2.4223843550380053,2.0104405879974365
37,follower,crossing,basin,9.090608154277248,9.317024449463851,0,0,0,True,collision:target,15,1.3112664523947755,0.5039925575256348
38,follower,crossing,basin,1.9263711857456087,9.205202320612552,1,0,0,True,collision:obstacle,34,2.2442979205906006,2.6223812103271484
39,follower,crossing,basin,2.316338378887101,9.207523370043628,2,0,0,True,collision:target,16,1.8284712502660705,1.4554204940795898
